Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";38.8;Volts;
"Line-Line Terminal Voltage (rms)";27.61;Volts;
"Phase Terminal Voltage (peak)";23.35;Volts;
"Phase Terminal Voltage (rms)";15.97;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.834;%;
"Harmonic Distortion Phase Terminal Voltage";6.776;%;
"Back EMF Line-Line Voltage (peak)";34.71;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";34.61;Volts;
"Back EMF Phase Voltage (peak)";19.87;Volts;
"Back EMF Line-Line Voltage (rms)";24.47;Volts;
"Back EMF Phase Voltage (rms)";14.13;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.7206;%;
"Harmonic Distortion Back EMF Phase Voltage";0.7829;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.18;Amps;
"Line Current (peak)";29.36;Amps;
"Line Current (rms)";20.76;Amps;
"Phase Current (peak)";29.36;Amps;
"Phase Current (rms)";20.76;Amps;
"Phase Advance";2.619;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";2.734;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1288;mH;
"Q Axis Inductance";0.1492;mH;
"Line-Line Inductance (DQ)";0.278;mH;
"Self Inductance";0.2756;mH;
"Mutual Inductance";-0.02799;mH;
"Line-Line Inductance";0.6071;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008856;mH;
"D Axis Phase Current (average rms)";-0.9486;Amps;
"Q Axis Phase Current (average rms)";20.74;Amps;
"Torque Constant (Kt)";0.09367;Nm/A;
"Motor Constant (Km)";0.2859;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1105;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1102;Vs/Rad;
"Electrical Constant";1.942;msec;
"Mechanical Constant";0.8672;msec;
"Electrical Loading";4.804E004;Amps/m;
"Stall Current";335.2;Amps;
"Stall Torque";31.4;Nm;
"Short Circuit Line Current (peak)";91.89;Amps;
"Short Circuit Current Density (peak)";58.03;Amps/mm©÷;
"Short Circuit Current Density (rms)";41.03;Amps/mm©÷;
"Short Circuit Braking Torque";-2.887;Nm;
"Short Circuit Max Braking Torque";-4.605;Nm;
"Short Circuit Max Braking Torque Speed";1061;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 2.734 EDeg)";2.7644;Nm;
"Average torque (virtual work)";2.7558;Nm;
"Average torque (loop torque)";2.7426;Nm;
"Torque Ripple (MsVw)";0.04127;Nm;
"Torque Ripple (MsVw) [%]";1.5006;%;
"Cogging Torque Ripple (Vw)";0.021644;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.619 EDeg)";3740.6;rpm;
"No load speed";4148.6;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";864;Watts;
"Input Power";957.88;Watts;
"Total Losses (on load)";146.47;Watts;
"Output Power";811.41;Watts;
"Converter Efficiency";98.912;%;
"Motor Efficiency";84.709;%;
"System Efficiency";83.787;%;
"Shaft Torque";2.5828;Nm;
"Power Factor [Waveform] (lagging)";0.96558;;
"Power Factor Angle [Waveform]";15.076;EDeg;
"Power Factor [THD]";0.96337;;
"Power Factor [Phasor] (lagging)";0.96593;;
"Power Factor Angle [Phasor]";15;EDeg;
"Load Angle [Phasor]";17.726;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";16.19;Volts;
"Rotor Inertia";0.00012536;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00013137;kg.m©÷;
"Torque per rotor volume";37.185;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.6215;m/s;
"Flux Linkage D (Q axis current)";12.5403;mVs;
"Flux Linkage Q (Q axis current)";4.29961;mVs;
"Flux linkage D (On load)";12.363;mVs;
"Flux linkage Q (On load)";4.30832;mVs;
"Torque Constant (Kt)";0.0936747;Nm/A;
"Motor Constant (Km)";0.28585;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.110487;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.110157;Vs/Rad;
"Stall Current";335.224;Amps;
"Stall Torque";31.402;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
