Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";27.85;Volts;
"Line-Line Terminal Voltage (rms)";19.74;Volts;
"Phase Terminal Voltage (peak)";15.76;Volts;
"Phase Terminal Voltage (rms)";11.4;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.452;%;
"Harmonic Distortion Phase Terminal Voltage";2.388;%;
"Back EMF Line-Line Voltage (peak)";25.1;Volts;
"Back EMF Phase Voltage (peak)";14.49;Volts;
"Back EMF Line-Line Voltage (rms)";17.75;Volts;
"Back EMF Phase Voltage (rms)";10.25;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.514;Amps;
"Line Current (peak)";14.86;Amps;
"Line Current (rms)";10.51;Amps;
"Phase Current (peak)";14.86;Amps;
"Phase Current (rms)";10.51;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.218;mH;
"Q Axis Inductance";0.2085;mH;
"Line-Line Inductance (DQ)";0.4265;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007223;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";10.51;Amps;
"Torque Constant (Kt)";0.09382;Nm/A;
"Motor Constant (Km)";0.2606;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1089;Vs/Rad;
"Electrical Constant";2.468;msec;
"Electrical Loading";2.635E004;Amps/m;
"Stall Current";277.8;Amps;
"Stall Torque";26.06;Nm;
"Short Circuit Line Current (peak)";54.56;Amps;
"Short Circuit Current Density (peak)";42.88;Amps/mm©÷;
"Short Circuit Current Density (rms)";30.32;Amps/mm©÷;
"Short Circuit Braking Torque";-1.675;Nm;
"Short Circuit Max Braking Torque";-2.723;Nm;
"Short Circuit Max Braking Torque Speed";756.9;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4023;Nm;
"Average torque (virtual work)";1.3984;Nm;
"Average torque (loop torque)";1.3911;Nm;
"Torque Ripple (MsVw)";0.027317;Nm;
"Torque Ripple (MsVw) [%]";1.9589;%;
"Cogging Torque Ripple (Vw)";0.017553;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3901.2;rpm;
"No load speed";4207.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";321.28;Watts;
"Input Power";350.13;Watts;
"Total Losses (on load)";61.619;Watts;
"Output Power";288.51;Watts;
"Converter Efficiency";97.078;%;
"Motor Efficiency";82.401;%;
"System Efficiency";79.993;%;
"Shaft Torque";1.2523;Nm;
"Power Factor [Waveform] (lagging)";0.97621;;
"Power Factor Angle [Waveform]";12.524;EDeg;
"Power Factor [THD]";0.97593;;
"Power Factor [Phasor] (lagging)";0.97437;;
"Power Factor Angle [Phasor]";13;EDeg;
"Load Angle [Phasor]";12.749;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";11.437;Volts;
"Rotor Inertia";8.251E-005;kg.m©÷;
"Shaft Inertia";7.2089E-006;kg.m©÷;
"Total Inertia";8.9719E-005;kg.m©÷;
"Torque per rotor volume";22.216;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.1491;m/s;
"Flux Linkage D (Q axis current)";12.5798;mVs;
"Flux Linkage Q (Q axis current)";3.03769;mVs;
"Flux linkage D (On load)";12.5704;mVs;
"Flux linkage Q (On load)";3.03898;mVs;
"Torque Constant (Kt)";0.0938238;Nm/A;
"Motor Constant (Km)";0.260611;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.108944;Vs/Rad;
"Stall Current";277.754;Amps;
"Stall Torque";26.06;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
"Magnetic Axial Length (Slice3)";5.53;mm;
"Magnetic Axial Length (Slice4)";5.53;mm;
"Magnetic Axial Length (Slice5)";5.53;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4023;Nm;
"Average torque (virtual work)";1.3984;Nm;
"Average torque (loop torque)";1.3911;Nm;
"Torque Ripple (MsVw)";0.027317;Nm;
"Torque Ripple (MsVw) [%]";1.9589;%;
