Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";463.2;Volts;
"Line-Line Terminal Voltage (rms)";321.3;Volts;
"Phase Terminal Voltage (peak)";234.2;Volts;
"Phase Terminal Voltage (rms)";187.9;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";8.427;%;
"Harmonic Distortion Phase Terminal Voltage";18.13;%;
"Back EMF Line-Line Voltage (peak)";72.26;Volts;
"Back EMF Phase Voltage (peak)";41.72;Volts;
"Back EMF Line-Line Voltage (rms)";51.09;Volts;
"Back EMF Phase Voltage (rms)";29.5;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";212.6;Amps;
"Line Current (peak)";500;Amps;
"Line Current (rms)";353.6;Amps;
"Phase Current (peak)";500;Amps;
"Phase Current (rms)";353.6;Amps;
"Phase Advance";40;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";40;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1822;mH;
"Q Axis Inductance";0.3462;mH;
"Line-Line Inductance (DQ)";0.5225;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01794;mH;
"D Axis Phase Current (average rms)";-227.3;Amps;
"Q Axis Phase Current (average rms)";270.8;Amps;
"Torque Constant (Kt)";0.5117;Nm/A;
"Motor Constant (Km)";3.744;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.23;Vs/Rad;
"Electrical Constant";21.23;msec;
"Electrical Loading";1.247E005;Amps/m;
"Stall Current";1.607E004;Amps;
"Stall Torque";8221;Nm;
"Short Circuit Line Current (peak)";123.8;Amps;
"Short Circuit Current Density (peak)";5.503;Amps/mm©÷;
"Short Circuit Current Density (rms)";3.892;Amps/mm©÷;
"Short Circuit Braking Torque";-0.9114;Nm;
"Short Circuit Max Braking Torque";-13.59;Nm;
"Short Circuit Max Braking Torque Speed";105.4;rpm;
"Fundamental Frequency";300;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 40 EDeg)";258;Nm;
"Average torque (virtual work)";257.57;Nm;
"Average torque (loop torque)";256.12;Nm;
"Torque Ripple (MsVw)";16.514;Nm;
"Torque Ripple (MsVw) [%]";6.4547;%;
"Speed limit for constant torque_(For Phase Advance of 40 EDeg)";2641.8;rpm;
"No load speed";16607;rpm;
"Speed limit for zero q axis current";5328.7;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";80373;Watts;
"Input Power";85042;Watts;
"Total Losses (on load)";5297.5;Watts;
"Output Power_Operating point outside voltage limit.";79744;Watts;
"System Efficiency";93.771;%;
"Shaft Torque";253.83;Nm;
"Power Factor [Waveform] (lagging)";0.43637;;
"Power Factor Angle [Waveform]";64.128;EDeg;
"Power Factor [THD]";0.42936;;
"Power Factor [Phasor] (lagging)";0.43837;;
"Power Factor Angle [Phasor]";64;EDeg;
"Load Angle [Phasor]";104.12;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";185.18;Volts;
"Rotor Inertia";0.079099;kg.m©÷;
"Shaft Inertia";0.00045938;kg.m©÷;
"Total Inertia";0.079558;kg.m©÷;
"Torque per rotor volume";97.873;kNm/m©ø;
"Rotor peripheral velocity (on load)";40.527;m/s;
"Flux Linkage D (Q axis current)";22.1324;mVs;
"Flux Linkage Q (Q axis current)";136.649;mVs;
"Flux linkage D (On load)";-36.4306;mVs;
"Flux linkage Q (On load)";132.612;mVs;
"Torque Constant (Kt)";0.511673;Nm/A;
"Motor Constant (Km)";3.74447;Nm/(Watts^0.5);
