Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";635.3;Volts;
"Line-Line Terminal Voltage (rms)";446.9;Volts;
"Phase Terminal Voltage (peak)";356.2;Volts;
"Phase Terminal Voltage (rms)";258.2;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";3.307;%;
"Harmonic Distortion Phase Terminal Voltage";5.288;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";8.777;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";45;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";45;EDeg;
"Phasor Offset Angle";10;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";78.35;mH;
"Q Axis Inductance";142;mH;
"Line-Line Inductance (DQ)";220.5;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.888;mH;
"D Axis Phase Current (average rms)";-2.5;Amps;
"Q Axis Phase Current (average rms)";2.5;Amps;
"Torque Constant (Kt)";0.4773;Nm/A;
"Motor Constant (Km)";0.2111;Nm/(Watts^0.5);
"Electrical Constant";32.31;msec;
"Electrical Loading";2.532E004;Amps/m;
"Stall Current";14.66;Amps;
"Stall Torque";6.998;Nm;
"Short Circuit Line Current (peak)";0.0007785;Amps;
"Short Circuit Current Density (peak)";0.001135;Amps/mm©÷;
"Short Circuit Current Density (rms)";0.0008028;Amps/mm©÷;
"Short Circuit Braking Torque";-9.868E-009;Nm;
"Short Circuit Max Braking Torque";-7.765E-008;Nm;
"Short Circuit Max Braking Torque Speed";199.4;rpm;
"Fundamental Frequency";100;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 45 EDeg)";2.3879;Nm;
"Average torque (virtual work)";2.387;Nm;
"Average torque (loop torque)";2.3705;Nm;
"Torque Ripple (MsVw)";0.42438;Nm;
"Torque Ripple (MsVw) [%]";17.781;%;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";421.58;rpm;
"No load speed";4.5008E006;rpm;
"Speed limit for zero q axis current";703.79;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";749.81;Watts;
"Input Power";877.7;Watts;
"Total Losses (on load)";167.95;Watts;
"Output Power_Operating point outside voltage limit.";709.76;Watts;
"System Efficiency";80.865;%;
"Shaft Torque";2.2592;Nm;
"Power Factor [Waveform] (lagging)";0.32028;;
"Power Factor Angle [Waveform]";71.32;EDeg;
"Power Factor [THD]";0.31983;;
"Power Factor [Phasor] (lagging)";0.32557;;
"Power Factor Angle [Phasor]";71;EDeg;
"Load Angle [Phasor]";116.31;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";258.36;Volts;
"Rotor Inertia";0.0015197;kg.m©÷;
"Shaft Inertia";7.4782E-005;kg.m©÷;
"Total Inertia";0.0015945;kg.m©÷;
"Torque per rotor volume";5.5499;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.252;m/s;
"Flux Linkage D (Q axis current)";0.0612481;mVs;
"Flux Linkage Q (Q axis current)";563.196;mVs;
"Flux linkage D (On load)";-276.944;mVs;
"Flux linkage Q (On load)";502.081;mVs;
"Torque Constant (Kt)";0.477346;Nm/A;
"Motor Constant (Km)";0.21105;Nm/(Watts^0.5);
"Stall Current";14.6611;Amps;
"Stall Torque";6.99841;Nm;
"Fundamental Frequency";100;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";10;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";90;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 45 EDeg)";2.3879;Nm;
"Average torque (virtual work)";2.387;Nm;
"Average torque (loop torque)";2.3705;Nm;
"Torque Ripple (MsVw)";0.42438;Nm;
"Torque Ripple (MsVw) [%]";17.781;%;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";421.58;rpm;
"No load speed";4.5008E006;rpm;
"Speed limit for zero q axis current";703.79;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";749.81;Watts;
"Input Power";877.7;Watts;
"Total Losses (on load)";167.95;Watts;
"Output Power_Operating point outside voltage limit.";709.76;Watts;
"System Efficiency";80.865;%;
"Shaft Torque";2.2592;Nm;
"Power Factor [Waveform] (lagging)";0.32028;;
"Power Factor Angle [Waveform]";71.32;EDeg;
"Power Factor [THD]";0.31983;;
"Power Factor [Phasor] (lagging)";0.32557;;
"Power Factor Angle [Phasor]";71;EDeg;
"Load Angle [Phasor]";116.31;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";258.36;Volts;
"Rotor Inertia";0.0015197;kg.m©÷;
"Shaft Inertia";7.4782E-005;kg.m©÷;
"Total Inertia";0.0015945;kg.m©÷;
"Torque per rotor volume";5.5499;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.252;m/s;
"Flux Linkage D (Q axis current)";0.0612481;mVs;
"Flux Linkage Q (Q axis current)";563.196;mVs;
"Flux linkage D (On load)";-276.944;mVs;
"Flux linkage Q (On load)";502.081;mVs;
"Torque Constant (Kt)";0.477346;Nm/A;
"Motor Constant (Km)";0.21105;Nm/(Watts^0.5);
"Stall Current";14.6611;Amps;
"Stall Torque";6.99841;Nm;
"Fundamental Frequency";100;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";10;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";90;mm;

Flux Densities
"Airgap flux density (mean)";0.3373;Tesla;
"Airgap Flux Density (peak)";0.6685;Tesla;
"Stator Tooth Flux Density (peak)";1.177;Tesla;
"Stator Tooth Tip Flux Density (peak)";1.1;Tesla;
"Stator Back Iron Flux Density (peak)";1.601;Tesla;
"Rotor Back Iron Flux Density (peak)";0.5559;Tesla;

Losses
"Armature DC Copper Loss (on load)";127.9;Watts;
"Stator iron Loss [total] (on load)";35.45;Watts;
"Rotor iron Loss [total] (on load)";4.611;Watts;
"Wedge Loss (on load)";0;Watts;
"Windage Loss (user input)";0;Watts;
"Friction Loss (user input)";0;Watts;
"Shaft Loss [total] (on load)";0;Watts;
"Total Losses (on load)";167.9;Watts;
"Stator back iron Loss [hysteresis - fundamental] (on load)";21.52;Watts;
"Stator back iron Loss [hysteresis - minor loops] (on load)";0.02212;Watts;
"Stator back iron Loss [hysteresis] (on load)";21.54;Watts;
"Stator back iron Loss [eddy] (on load)";5.465;Watts;
"Stator back iron Loss [excess] (on load)";0;Watts;
"Stator back iron Loss [total] (on load)";27.01;Watts;
"Stator tooth Loss [hysteresis - fundamental] (on load)";6.12;Watts;
"Stator tooth Loss [hysteresis - minor loops] (on load)";0.004492;Watts;
"Stator tooth Loss [hysteresis] (on load)";6.124;Watts;
"Stator tooth Loss [eddy] (on load)";2.317;Watts;
"Stator tooth Loss [excess] (on load)";0;Watts;
"Stator tooth Loss [total] (on load)";8.441;Watts;
"Stator iron Loss [total] (on load)";35.45;Watts;
"Rotor back iron Loss [hysteresis] (on load)";0.01978;Watts;
"Rotor back iron Loss [eddy] (on load)";0.01018;Watts;
"Rotor back iron Loss [excess] (on load)";0;Watts;
"Rotor back iron Loss [total] (on load)";0.02996;Watts;
"Rotor magnet pole Loss [hysteresis] (on load)";3.445;Watts;
"Rotor magnet pole Loss [eddy] (on load)";1.136;Watts;
