Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";35.46;Volts;
"Line-Line Terminal Voltage (rms)";25.03;Volts;
"Phase Terminal Voltage (peak)";20.27;Volts;
"Phase Terminal Voltage (rms)";14.45;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.6299;%;
"Harmonic Distortion Phase Terminal Voltage";1.053;%;
"Back EMF Line-Line Voltage (peak)";34.11;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";34.06;Volts;
"Back EMF Phase Voltage (peak)";19.65;Volts;
"Back EMF Line-Line Voltage (rms)";24.08;Volts;
"Back EMF Phase Voltage (rms)";13.9;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.2739;%;
"Harmonic Distortion Back EMF Phase Voltage";0.316;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";4.823;Amps;
"Line Current (peak)";7.248;Amps;
"Line Current (rms)";5.125;Amps;
"Phase Current (peak)";7.248;Amps;
"Phase Current (rms)";5.125;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.05437;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2302;mH;
"Q Axis Inductance";0.2322;mH;
"Line-Line Inductance (DQ)";0.4624;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008188;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";5.125;Amps;
"Torque Constant (Kt)";0.1123;Nm/A;
"Motor Constant (Km)";0.2939;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1303;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1301;Vs/Rad;
"Electrical Constant";2.375;msec;
"Mechanical Constant";0.6567;msec;
"Electrical Loading";1.199E004;Amps/m;
"Stall Current";246.6;Amps;
"Stall Torque";27.69;Nm;
"Short Circuit Line Current (peak)";61.92;Amps;
"Short Circuit Current Density (peak)";43.68;Amps/mm©÷;
"Short Circuit Current Density (rms)";30.89;Amps/mm©÷;
"Short Circuit Braking Torque";-2.138;Nm;
"Short Circuit Max Braking Torque";-3.655;Nm;
"Short Circuit Max Braking Torque Speed";807.6;rpm;
"Fundamental Frequency";208.3;Hz;
"Shaft Speed";2500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.05437 EDeg)";0.81427;Nm;
"Average torque (virtual work)";0.81395;Nm;
"Average torque (loop torque)";0.81421;Nm;
"Torque Ripple (MsVw)";0.0068883;Nm;
"Torque Ripple (MsVw) [%]";0.84625;%;
"Cogging Torque Ripple (Vw)";0.0017949;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3422.4;rpm;
"No load speed";3518.1;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";213.1;Watts;
"Input Power";220.98;Watts;
"Total Losses (on load)";49.673;Watts;
"Output Power";171.31;Watts;
"Converter Efficiency";95.448;%;
"Motor Efficiency";77.522;%;
"System Efficiency";73.993;%;
"Shaft Torque";0.65436;Nm;
"Power Factor [Waveform] (lagging)";0.99433;;
"Power Factor Angle [Waveform]";6.1037;EDeg;
"Power Factor [THD]";0.99428;;
"Power Factor [Phasor] (lagging)";0.99452;;
"Power Factor Angle [Phasor]";6;EDeg;
"Load Angle [Phasor]";6.1717;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";14.487;Volts;
"Rotor Inertia";9.8719E-005;kg.m©÷;
"Shaft Inertia";1.0263E-005;kg.m©÷;
"Total Inertia";0.00010898;kg.m©÷;
"Torque per rotor volume";14.994;kNm/m©ø;
"Rotor peripheral velocity (on load)";6.2832;m/s;
"Flux Linkage D (Q axis current)";14.9795;mVs;
"Flux Linkage Q (Q axis current)";1.66796;mVs;
"Flux linkage D (On load)";14.9853;mVs;
"Flux linkage Q (On load)";1.6601;mVs;
"Torque Constant (Kt)";0.112307;Nm/A;
"Motor Constant (Km)";0.29391;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.130287;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.130091;Vs/Rad;
"Stall Current";246.556;Amps;
"Stall Torque";27.6901;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2500;Hz;
"Fundamental Frequency";208.333;Hz;
"Mechanical Frequency";41.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
"Magnetic Axial Length (Slice4)";5.6;mm;
