Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";71;Volts;
"Line-Line Terminal Voltage (rms)";48.16;Volts;
"Phase Terminal Voltage (peak)";41.76;Volts;
"Phase Terminal Voltage (rms)";28.01;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";6.505;%;
"Harmonic Distortion Phase Terminal Voltage";13.72;%;
"Back EMF Line-Line Voltage (peak)";54.57;Volts;
"Back EMF Phase Voltage (peak)";31.5;Volts;
"Back EMF Line-Line Voltage (rms)";38.58;Volts;
"Back EMF Phase Voltage (rms)";22.28;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";47.06;Amps;
"Line Current (peak)";42.43;Amps;
"Line Current (rms)";30;Amps;
"Phase Current (peak)";42.43;Amps;
"Phase Current (rms)";30;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2255;mH;
"Q Axis Inductance";0.2231;mH;
"Line-Line Inductance (DQ)";0.4486;mH;
"Armature End Winding Inductance (Calculated)_(Rosa and Grover)";0.008094;mH;
"Armature End Winding Inductance Factor (User adjustment)";0;;
"Armature End Winding Inductance (Used)_(Rosa and Grover)";0;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";30;Amps;
"Torque Constant (Kt)";0.1291;Nm/A;
"Motor Constant (Km)";0.3555;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1489;Vs/Rad;
"Electrical Constant";2.553;msec;
"Electrical Loading";7.016E004;Amps/m;
"Stall Current";273.1;Amps;
"Stall Torque";35.25;Nm;
"Short Circuit Line Current (peak)";74.57;Amps;
"Short Circuit Current Density (peak)";47.47;Amps/mm©÷;
"Short Circuit Current Density (rms)";33.57;Amps/mm©÷;
"Short Circuit Braking Torque";-2;Nm;
"Short Circuit Max Braking Torque";-4.915;Nm;
"Short Circuit Max Braking Torque Speed";744.2;rpm;
"Fundamental Frequency";291.7;Hz;
"Shaft Speed";3500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";5.4706;Nm;
"Average torque (virtual work)";5.4768;Nm;
"Average torque (loop torque)";5.4829;Nm;
"Torque Ripple (MsVw)";0.26115;Nm;
"Torque Ripple (MsVw) [%]";4.7681;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2373.4;rpm;
"No load speed";3078.8;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";2007.4;Watts;
"Input Power";2248.4;Watts;
"Total Losses (on load)";314.8;Watts;
"Output Power_Operating point outside voltage limit.";1933.6;Watts;
"Converter Efficiency";99.533;%;
"Motor Efficiency";85.999;%;
"System Efficiency";85.597;%;
"Shaft Torque";5.2755;Nm;
"Power Factor [Waveform] (lagging)";0.89991;;
"Power Factor Angle [Waveform]";25.854;EDeg;
"Power Factor [THD]";0.89156;;
"Power Factor [Phasor] (lagging)";0.89879;;
"Power Factor Angle [Phasor]";26;EDeg;
"Load Angle [Phasor]";26.217;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";27.77;Volts;
"Rotor Inertia";9.8719E-005;kg.m©÷;
"Shaft Inertia";1.0263E-005;kg.m©÷;
"Total Inertia";0.00010898;kg.m©÷;
"Torque per rotor volume";100.89;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.7965;m/s;
"Flux Linkage D (Q axis current)";17.1909;mVs;
"Flux Linkage Q (Q axis current)";9.21354;mVs;
"Flux linkage D (On load)";17.2376;mVs;
"Flux linkage Q (On load)";9.33989;mVs;
"Torque Constant (Kt)";0.129081;Nm/A;
"Motor Constant (Km)";0.355535;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.148878;Vs/Rad;
"Stall Current";273.114;Amps;
"Stall Torque";35.2538;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3500;Hz;
"Fundamental Frequency";291.667;Hz;
"Mechanical Frequency";58.3333;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";28;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";5.4706;Nm;
"Average torque (virtual work)";5.4768;Nm;
"Average torque (loop torque)";5.4829;Nm;
"Torque Ripple (MsVw)";0.26115;Nm;
"Torque Ripple (MsVw) [%]";4.7681;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2373.4;rpm;
"No load speed";3078.8;rpm;
