Drive
"DC Bus Voltage";375;Volts;
"Line-Line Supply Voltage (rms)";265.2;Volts;
"Phase Supply Voltage (rms)";153.1;Volts;
"Line-Line Terminal Voltage (peak)";266.9;Volts;
"Line-Line Terminal Voltage (rms)";191.1;Volts;
"Phase Terminal Voltage (peak)";144.4;Volts;
"Phase Terminal Voltage (rms)";111.1;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";9.171;%;
"Harmonic Distortion Phase Terminal Voltage";14.94;%;
"Back EMF Line-Line Voltage (peak)";199.6;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";191.9;Volts;
"Back EMF Phase Voltage (peak)";112.1;Volts;
"Back EMF Line-Line Voltage (rms)";135.8;Volts;
"Back EMF Phase Voltage (rms)";78.77;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";3.667;%;
"Harmonic Distortion Back EMF Phase Voltage";10.5;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";251.7;Amps;
"Line Current (peak)";480;Amps;
"Line Current (rms)";339.4;Amps;
"Phase Current (peak)";480;Amps;
"Phase Current (rms)";339.4;Amps;
"Phase Advance";48.73;EDeg;
"Drive Offset Angle (Open Circuit)";0;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";33.45;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1624;mH;
"Q Axis Inductance";0.378;mH;
"Line-Line Inductance (DQ)";0.5486;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005136;mH;
"D Axis Phase Current (average rms)";-255.1;Amps;
"Q Axis Phase Current (average rms)";223.9;Amps;
"Torque Constant (Kt)";0.5988;Nm/A;
"Motor Constant (Km)";4.825;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.6353;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.6108;Vs/Rad;
"Electrical Constant";26.32;msec;
"Mechanical Constant";0.762;msec;
"Electrical Loading";1.179E005;Amps/m;
"Stall Current";1.826E004;Amps;
"Stall Torque";1.094E004;Nm;
"Short Circuit Line Current (peak)";455.3;Amps;
"Short Circuit Current Density (peak)";22.64;Amps/mm©÷;
"Short Circuit Current Density (rms)";16.01;Amps/mm©÷;
"Short Circuit Braking Torque";-10.16;Nm;
"Short Circuit Max Braking Torque";-118.4;Nm;
"Short Circuit Max Braking Torque Speed";137.2;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 33.45 EDeg)";314;Nm;
"Average torque (virtual work)";287.63;Nm;
"Average torque (loop torque)";285.52;Nm;
"Torque Ripple (MsVw)";19.008;Nm;
"Torque Ripple (MsVw) [%]";6.6137;%;
"Speed limit for constant torque_(For Phase Advance of 48.73 EDeg)";4204.4;rpm;
"No load speed";5636.3;rpm;
"Speed limit for zero q axis current";1.3153E005;rpm;
"Electromagnetic Power";90290;Watts;
"Input Power";94398;Watts;
"Total Losses (on load)";4859;Watts;
"Output Power";89539;Watts;
"System Efficiency";94.853;%;
"Shaft Torque";285.01;Nm;
"Power Factor [Waveform] (lagging)";0.8378;;
"Power Factor Angle [Waveform]";33.092;EDeg;
"Power Factor [THD]";0.8286;;
"Power Factor [Phasor] (lagging)";0.89879;;
"Power Factor Angle [Phasor]";26;EDeg;
"Load Angle [Phasor]";75.096;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";112.75;Volts;
"Rotor Inertia";0.028234;kg.m©÷;
"Shaft Inertia";0.00049545;kg.m©÷;
"Total Inertia";0.028729;kg.m©÷;
"Torque per rotor volume";144.35;kNm/m©ø;
"Rotor peripheral velocity (on load)";20.42;m/s;
"Flux Linkage D (Q axis current)";73.6485;mVs;
"Flux Linkage Q (Q axis current)";111.998;mVs;
"Flux linkage D (On load)";15.0428;mVs;
"Flux linkage Q (On load)";119.668;mVs;
"Torque Constant (Kt)";0.598757;Nm/A;
"Motor Constant (Km)";4.82496;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.635347;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.610845;Vs/Rad;
"Stall Current";18263.3;Amps;
"Stall Torque";10935.3;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";2400;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 33.45 EDeg)";314;Nm;
"Average torque (virtual work)";287.63;Nm;
"Average torque (loop torque)";285.52;Nm;
"Torque Ripple (MsVw)";19.008;Nm;
"Torque Ripple (MsVw) [%]";6.6137;%;
"Speed limit for constant torque_(For Phase Advance of 48.73 EDeg)";4204.4;rpm;
"No load speed";5636.3;rpm;
"Speed limit for zero q axis current";1.3153E005;rpm;
"Electromagnetic Power";90290;Watts;
"Input Power";94398;Watts;
"Total Losses (on load)";4859;Watts;
"Output Power";89539;Watts;
"System Efficiency";94.853;%;
"Shaft Torque";285.01;Nm;
"Power Factor [Waveform] (lagging)";0.8378;;
"Power Factor Angle [Waveform]";33.092;EDeg;
"Power Factor [THD]";0.8286;;
"Power Factor [Phasor] (lagging)";0.89879;;
"Power Factor Angle [Phasor]";26;EDeg;
"Load Angle [Phasor]";75.096;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";112.75;Volts;
"Rotor Inertia";0.028234;kg.m©÷;
"Shaft Inertia";0.00049545;kg.m©÷;
"Total Inertia";0.028729;kg.m©÷;
"Torque per rotor volume";144.35;kNm/m©ø;
"Rotor peripheral velocity (on load)";20.42;m/s;
"Flux Linkage D (Q axis current)";73.6485;mVs;
"Flux Linkage Q (Q axis current)";111.998;mVs;
"Flux linkage D (On load)";15.0428;mVs;
"Flux linkage Q (On load)";119.668;mVs;
"Torque Constant (Kt)";0.598757;Nm/A;
"Motor Constant (Km)";4.82496;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.635347;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.610845;Vs/Rad;
"Stall Current";18263.3;Amps;
"Stall Torque";10935.3;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";2400;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Equivalent Circuit
"Phase Resistance";0.01027;Ohms;
"D Axis Inductance";0.1624;mH;
"Q Axis Inductance";0.378;mH;
"Stator Slot Leakage Inductance";0.04725;mH;
"Stator Differential Leakage Inductance";0.02023;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005136;mH;
"Stator Leakage Inductance (Total)";0.07261;mH;
"Magnetizing Inductance (D Axis)";0.08983;mH;
"Magnetizing Inductance (Q Axis)";0.3054;mH;
"D Axis Reactance";0.2041;Ohms;
"Q Axis Reactance";0.475;Ohms;
"Stator Slot Leakage Reactance";0.05937;Ohms;
"Stator Differential Leakage Reactance";0.02542;Ohms;
"Armature End Winding Reactance";0.006454;Ohms;
"Stator Leakage Reactance (Total)";0.09125;Ohms;
"Magnetizing Reactance (D Axis)";0.1129;Ohms;
"Magnetizing Reactance (Q Axis)";0.3837;Ohms;
"Rotor Referred Resistance";0.5775;Ohms;
"First Order Transient Reactance (D Axis)";0.09125;Ohms;
"First Order Transient Reactance (Q Axis)";0.475;Ohms;
"Excitation Time Constant (Te)";0.0001556;secs;
"First Order Transient Time Constant (Td')";6.953E-005;secs;
"Armature Time Constant (Ta)";0.02194;secs;

Flux Densities
"Airgap flux density (mean)";0.7156;Tesla;
"Airgap Flux Density (peak)";1.434;Tesla;
"Stator Tooth Flux Density (peak)";1.874;Tesla;
"Stator Tooth Tip Flux Density (peak)";1.921;Tesla;
"Stator Back Iron Flux Density (peak)";1.663;Tesla;
"Rotor Back Iron Flux Density (peak)";0.27;Tesla;

Losses
"Armature DC Copper Loss (on load)";3548;Watts;
"AC Loss (Total Proximity) (Hybrid)";556.2;Watts;
"Magnet Loss (on load)";3.271;Watts;
"Stator iron Loss [total] (on load)";690.2;Watts;
"Rotor iron Loss [total] (on load)";61.26;Watts;
"Wedge Loss (on load)";0;Watts;
"Windage Loss (user input)";0;Watts;
"Friction Loss (user input)";0;Watts;
"Shaft Loss [total] (on load)";0;Watts;
"Total Losses (on load)";4859;Watts;
"Magnet Block Width";13.9;mm;
"Magnet Loss Factor";0.1983;;
"Magnet Loss (on load)";3.271;Watts;
"Stator back iron Loss [hysteresis - fundamental] (on load)";196.9;Watts;
"Stator back iron Loss [hysteresis - minor loops] (on load)";0.6582;Watts;
"Stator back iron Loss [hysteresis] (on load)";197.5;Watts;
"Stator back iron Loss [eddy] (on load)";108.1;Watts;
"Stator back iron Loss [excess] (on load)";0;Watts;
"Stator back iron Loss [total] (on load)";305.6;Watts;
"Stator tooth Loss [hysteresis - fundamental] (on load)";205.8;Watts;
"Stator tooth Loss [hysteresis - minor loops] (on load)";20.8;Watts;
"Stator tooth Loss [hysteresis] (on load)";226.6;Watts;
"Stator tooth Loss [eddy] (on load)";158;Watts;
"Stator tooth Loss [excess] (on load)";0;Watts;
"Stator tooth Loss [total] (on load)";384.6;Watts;
"Stator iron Loss [total] (on load)";690.2;Watts;
"Rotor back iron Loss [hysteresis] (on load)";0.3571;Watts;
"Rotor back iron Loss [eddy] (on load)";0.06731;Watts;
