Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";17.54;Volts;
"Line-Line Terminal Voltage (rms)";11.97;Volts;
"Phase Terminal Voltage (peak)";9.817;Volts;
"Phase Terminal Voltage (rms)";6.915;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";3.564;%;
"Harmonic Distortion Phase Terminal Voltage";3.943;%;
"Back EMF Line-Line Voltage (peak)";16.89;Volts;
"Back EMF Phase Voltage (peak)";9.752;Volts;
"Back EMF Line-Line Voltage (rms)";11.94;Volts;
"Back EMF Phase Voltage (rms)";6.896;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";0.7442;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";0.1648;EDeg;
"Phasor Offset Angle";15;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.005864;mH;
"Q Axis Inductance";0.01479;mH;
"Line-Line Inductance (DQ)";0.02066;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0002683;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.536;Amps;
"Torque Constant (Kt)";0.0467;Nm/A;
"Motor Constant (Km)";0.9228;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.05377;Vs/Rad;
"Electrical Constant";6.049;msec;
"Electrical Loading";506.4;Amps/m;
"Stall Current";2.928E004;Amps;
"Stall Torque";1368;Nm;
"Short Circuit Line Current (peak)";2480;Amps;
"Short Circuit Current Density (peak)";101.8;Amps/mm©÷;
"Short Circuit Current Density (rms)";71.97;Amps/mm©÷;
"Short Circuit Braking Torque";-50.14;Nm;
"Short Circuit Max Braking Torque";-73.71;Nm;
"Short Circuit Max Braking Torque Speed";1240;rpm;
"Fundamental Frequency";100;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.1648 EDeg)";0.23282;Nm;
"Average torque (virtual work)";0.23355;Nm;
"Average torque (loop torque)";0.23178;Nm;
"Torque Ripple (MsVw)";1.5929;Nm;
"Torque Ripple (MsVw) [%]";682.2;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";17758;rpm;
"No load speed";17760;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";73.355;Watts;
"Input Power";74.417;Watts;
"Total Losses (on load)";64.322;Watts;
"Output Power";10.095;Watts;
"System Efficiency";13.565;%;
"Shaft Torque";0.032133;Nm;
"Power Factor [Waveform] (lagging)";0.99999;;
"Power Factor Angle [Waveform]";0.26038;EDeg;
"Power Factor [THD]";0.99921;;
"Power Factor [Phasor] (lagging)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0.27279;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";6.902;Volts;
"Rotor Inertia";0.0023158;kg.m©÷;
"Shaft Inertia";7.4782E-005;kg.m©÷;
"Total Inertia";0.0023906;kg.m©÷;
"Torque per rotor volume";0.54295;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.252;m/s;
"Flux Linkage D (Q axis current)";15.5213;mVs;
"Flux Linkage Q (Q axis current)";0.0739516;mVs;
"Flux linkage D (On load)";15.5657;mVs;
"Flux linkage Q (On load)";0.0707668;mVs;
"Torque Constant (Kt)";0.0466995;Nm/A;
"Motor Constant (Km)";0.922764;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.0537674;Vs/Rad;
"Stall Current";29283.2;Amps;
"Stall Torque";1367.51;Nm;
"Cogging Period";15;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";100;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";15;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";90;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0.1648 EDeg)";0.23282;Nm;
"Average torque (virtual work)";0.23355;Nm;
"Average torque (loop torque)";0.23178;Nm;
"Torque Ripple (MsVw)";1.5929;Nm;
"Torque Ripple (MsVw) [%]";682.2;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";17758;rpm;
"No load speed";17760;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";73.355;Watts;
"Input Power";74.417;Watts;
"Total Losses (on load)";64.322;Watts;
"Output Power";10.095;Watts;
"System Efficiency";13.565;%;
"Shaft Torque";0.032133;Nm;
"Power Factor [Waveform] (lagging)";0.99999;;
"Power Factor Angle [Waveform]";0.26038;EDeg;
"Power Factor [THD]";0.99921;;
"Power Factor [Phasor] (lagging)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0.27279;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";6.902;Volts;
"Rotor Inertia";0.0023158;kg.m©÷;
"Shaft Inertia";7.4782E-005;kg.m©÷;
"Total Inertia";0.0023906;kg.m©÷;
"Torque per rotor volume";0.54295;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.252;m/s;
"Flux Linkage D (Q axis current)";15.5213;mVs;
"Flux Linkage Q (Q axis current)";0.0739516;mVs;
"Flux linkage D (On load)";15.5657;mVs;
"Flux linkage Q (On load)";0.0707668;mVs;
"Torque Constant (Kt)";0.0466995;Nm/A;
"Motor Constant (Km)";0.922764;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.0537674;Vs/Rad;
"Stall Current";29283.2;Amps;
"Stall Torque";1367.51;Nm;
"Cogging Period";15;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";100;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";15;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";90;mm;

Equivalent Circuit
"Phase Resistance";0.001707;Ohms;
"D Axis Inductance";0.005864;mH;
"Q Axis Inductance";0.01479;mH;
"Stator Slot Leakage Inductance";0.002691;mH;
"Stator Differential Leakage Inductance";0.001743;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0002683;mH;
"Stator Leakage Inductance (Total)";0.004702;mH;
"Magnetizing Inductance (D Axis)";0.001162;mH;
"Magnetizing Inductance (Q Axis)";0.01009;mH;
"D Axis Reactance";0.003685;Ohms;
"Q Axis Reactance";0.009295;Ohms;
"Stator Slot Leakage Reactance";0.001691;Ohms;
"Stator Differential Leakage Reactance";0.001095;Ohms;
"Armature End Winding Reactance";0.0001686;Ohms;
"Stator Leakage Reactance (Total)";0.002955;Ohms;
"Magnetizing Reactance (D Axis)";0.0007299;Ohms;
"Magnetizing Reactance (Q Axis)";0.00634;Ohms;
"Rotor Referred Resistance";0.0557;Ohms;
"First Order Transient Reactance (D Axis)";0.002955;Ohms;
"First Order Transient Reactance (Q Axis)";0.009295;Ohms;
"Excitation Time Constant (Te)";2.086E-005;secs;
"First Order Transient Time Constant (Td')";1.673E-005;secs;
"Armature Time Constant (Ta)";0.005709;secs;

Flux Densities
"Airgap flux density (mean)";0.5394;Tesla;
"Airgap Flux Density (peak)";0.8054;Tesla;
"Stator Tooth Flux Density (peak)";1.266;Tesla;
"Stator Tooth Tip Flux Density (peak)";1.305;Tesla;
