Drive
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"No Load Line Current (rms)";1.038;Amps;
"No Load Phase Current (rms)";1.038;Amps;
"No Load Phase Current (peak)";1.468;Amps;
"No Load Input active power";0.004413;kW;
"Fundamental Frequency";50;Hz;
"Synchronous speed";1000;rpm;
"Shaft Speed";970;rpm;
Slip_(Motoring);0.03;;
"Drive frequency";50;Hz;
"Slip Frequency";48.5;Hz;
"Mechanical Frequency";16.17;Hz;
"Locked rotor airgap torque";5.728;Nm;
"Locked rotor line current (rms)";16.46;Amps;
"Locked rotor phase current (rms)";16.46;Amps;
"Locked rotor input power";1.328;kW;
"Breakdown airgap torque";7.719;Nm;
"Breakdown shaft torque";7.306;Nm;
"Breakdown line current (rms)";11.7;Amps;
"Breakdown phase current (rms)";11.7;Amps;
"Breakdown slip";0.32;p.u.;
"Breakdown speed";680;rpm;
"Breakdown input active power";1.176;kW;
"Breakdown output active power";0.5203;kW;
"Ratio Locked rotor / on load airgap torque";2.979;p.u.;
"Ratio Locked rotor / on load current";7.953;p.u.;
"Ratio Breakdown / on load airgap torque";4.014;p.u.;
"Ratio Breakdown / on load current";5.652;p.u.;
"Ratio Breakdown / locked rotor airgap torque";1.348;p.u.;
"Ratio Breakdown / locked rotor current";0.7107;p.u.;

E-Magnetics
"Airgap Torque (on load)";1.9229;Nm;
"Shaft Torque";1.8702;Nm;
"Output Mechanical Power";0.18997;kW;
"Input Active Electrical Power (from Power Balance)";0.21417;kW;
"Input Active Electrical Power (ideal)";0.21424;kW;
"Input Reactive Power (on load)";135.46;VA;
"Apparent Power";253.47;VA;
"Power Factor (on load) (Phasor)";0.84523;;
"Power Factor (on load) (from Power Balance)";0.84494;;
"System Efficiency";88.702;%;
"Rotor Inertia";0.077848;kg.m©÷;
"Shaft Inertia";0.0014877;kg.m©÷;
"Total Inertia";0.079335;kg.m©÷;
"Torque per rotor volume";0.6739;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.8373;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";66.212;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";68.021;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";38.228;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";39.272;Volts;
"Stator Terminal Line Voltage (rms) (on load)";70.711;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";40.825;Volts;
"Voltage drop across stator phase resistance (rms)";1.8517;Volts;
"Voltage drop across rotor leakage reactance (rms)";1.721;Volts;
"Ideal Back EMF Phase Voltage (rms)";54.352;Volts;
"Line Current (rms) (on load)";2.0696;Amps;
"Phase Current (rms) (on load)";2.0696;Amps;
"Referred Rotor Current (rms) (on load)";1.7577;Amps;
"Rotor Bar Current (rms) (on load)";21.642;Amps;
"Endring Current (rms) (on load)";96.646;Amps;
"Magnetizing Current (no load)";1.4211;Amps;
"Magnetizing Current (rms) (on load)";0.9979;Amps;
"Core Loss Current (rms) (on load) (T circuit)";0.011355;Amps;
"Core Loss Current (rms) (on load) (L circuit)";0.011053;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated)";130.7;mH;
"Magnetizing Inductance (Saturated) (on load)";122;mH;
"Magnetizing Reactance (Unsaturated)";41.07;Ohms;
"Magnetizing Reactance (Saturated) (on load)";38.32;Ohms;
"Saturation Factor (on load)";0.9329;;
"Core Loss Resistance (no load)";3921;Ohms;
"Core Loss Resistance (Analytic on load)";3367;Ohms;
"Rotor to Stator Transform for Impedance";4245;;
"Rotor to Stator Transform for Current";12.31;;
"Leakage Factor";1.024;;
"Phase Resistance";0.8947;Ohms;
"Rotor Bar Resistance (no skin effects)";0.0001336;Ohms;
"Rotor Bar Resistance (skin effects)";0.0001337;Ohms;
"Endring Resistance";4.984E-007;Ohms;
"Rotor Resistance (total)";0.0001535;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.5673;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.5674;Ohms;
"Referred Endring Resistance";0.002116;Ohms;
"Referred Rotor Resistance (Total)";0.6518;Ohms;
"K Rotor";1;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.97;mm©÷;
"Top Rotor Bar cross sectional area";42.97;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";1.504;mH;
"Stator Differential Leakage Inductance";1.05;mH;
"Stator End Winding Inductance_(Rosa and Grover)";0.4321;mH;
"Stator Leakage Inductance (Total)";2.986;mH;
"Stator Slot Leakage Reactance";0.4724;Ohms;
"Stator Differential Leakage Reactance";0.33;Ohms;
"Armature End Winding Reactance";0.1357;Ohms;
"Stator Leakage Reactance (Total)";0.9381;Ohms;
"Rotor Slot leakage inductance (top bar)";0.0005103;mH;
"Rotor Slot leakage inductance (bottom bar)";0;mH;
"Rotor Slot Leakage Inductance (Total)";0.0005103;mH;
"Rotor Differential Leakage Inductance";0.0001285;mH;
"End Ring Inductance (Richter)";9.542E-005;mH;
"Inter-Bar End Ring Inductance";2.392E-006;mH;
"Rotor Leakage Inductance (Total)";0.0007342;mH;
"Referred End Ring Inductance (Richter)";0.405;mH;
"Referred Rotor Leakage Inductance (Total)";3.117;mH;
"Rotor Slot Leakage Reactance";0.0001603;Ohms;
"Rotor Differential Leakage Reactance";4.037E-005;Ohms;
"End Ring Reactance (Richter)";2.998E-005;Ohms;
"Rotor Leakage Reactance (Total)";0.0002307;Ohms;
"Referred Rotor Differential Leakage Reactance";0.1714;Ohms;
"Referred End Ring Reactance (Richter)";0.1273;Ohms;
"Referred Rotor Leakage Reactance (Total)";0.9791;Ohms;
"T to L circuit conversion factor";1.024;;

Flux Densities
"Airgap Flux Density (mean) (Analytic on load)";0.1011;Tesla;
"Airgap Flux Density (peak) (Analytic on load)";0.143;Tesla;
"Stator Tooth Flux Density (peak) (Analytic on load)";0.2488;Tesla;
"Stator Back Iron Flux Density (peak) (Analytic on load)";0.2318;Tesla;
"Rotor Tooth Flux Density (peak) (Analytic on load)";0.2715;Tesla;
"Rotor Back Iron Flux Density (peak) (Analytic on load)";0.1114;Tesla;

Losses
"Stator Copper Losses (Analytic on load)";0.0115;kW;
"Rotor Copper Losses (Analytic on load)";0.006041;kW;
"Stray Load Losses (Analytic on load)";0.005356;kW;
"Stator iron Loss [total] (Analytic on load)";0.001281;kW;
