Drive
"Line-Line Supply Voltage (rms)";400;Volts;
"Phase Supply Voltage (rms)";230.9;Volts;
"No Load Line Current (rms)";6.837;Amps;
"No Load Phase Current (rms)";6.837;Amps;
"No Load Phase Current (peak)";9.668;Amps;
"No Load Input active power";0.3015;kW;
"Fundamental Frequency";50;Hz;
"Synchronous speed";1000;rpm;
"Shaft Speed";983;rpm;
Slip_(Motoring);0.01699;;
"Drive frequency";50;Hz;
"Slip Frequency";49.15;Hz;
"Mechanical Frequency";16.38;Hz;
"Skew factor of first harmonic";0.9971;;
"Locked rotor airgap torque";148.3;Nm;
"Locked rotor line current (rms)";87.46;Amps;
"Locked rotor phase current (rms)";87.46;Amps;
"Locked rotor input power";40.61;kW;
"Breakdown airgap torque";222;Nm;
"Breakdown shaft torque";213.5;Nm;
"Breakdown line current (rms)";60.21;Amps;
"Breakdown phase current (rms)";60.21;Amps;
"Breakdown slip";0.26;p.u.;
"Breakdown speed";740;rpm;
"Breakdown input active power";35.18;kW;
"Breakdown output active power";16.54;kW;
"Ratio Locked rotor / on load airgap torque";3.721;p.u.;
"Ratio Locked rotor / on load current";9.485;p.u.;
"Ratio Breakdown / on load airgap torque";5.572;p.u.;
"Ratio Breakdown / on load current";6.53;p.u.;
"Ratio Breakdown / locked rotor airgap torque";1.497;p.u.;
"Ratio Breakdown / locked rotor current";0.6884;p.u.;

E-Magnetics
"Airgap Torque (on load)";39.846;Nm;
"Shaft Torque";38.868;Nm;
"Requested on load power";4;kW;
"Output Mechanical Power";4.0011;kW;
"Input Active Electrical Power (from Power Balance)";4.582;kW;
"Input Active Electrical Power (ideal)";4.588;kW;
"Input Reactive Power (on load)";4445.1;VA;
"Apparent Power";6388.1;VA;
"Power Factor (on load) (Phasor)";0.7182;;
"Power Factor (on load) (from Power Balance)";0.71727;;
"System Efficiency";87.322;%;
"Rotor Inertia";0.077848;kg.m©÷;
"Shaft Inertia";0.0014877;kg.m©÷;
"Total Inertia";0.079335;kg.m©÷;
"Torque per rotor volume";13.964;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.9558;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";379.69;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";387.68;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";219.21;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";223.83;Volts;
"Stator Terminal Line Voltage (rms) (on load)";400;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";230.94;Volts;
"Voltage drop across stator phase resistance (rms)";10.053;Volts;
"Voltage drop across rotor leakage reactance (rms)";7.7352;Volts;
"Ideal Back EMF Phase Voltage (rms)";298.71;Volts;
"Line Current (rms) (on load)";9.2205;Amps;
"Phase Current (rms) (on load)";9.2205;Amps;
"Referred Rotor Current (rms) (on load)";6.3489;Amps;
"Rotor Bar Current (rms) (on load)";77.95;Amps;
"Endring Current (rms) (on load)";348.1;Amps;
"Magnetizing Current (no load)";7.9904;Amps;
"Magnetizing Current (rms) (on load)";6.2703;Amps;
"Core Loss Current (rms) (on load) (T circuit)";0.19963;Amps;
"Core Loss Current (rms) (on load) (L circuit)";0.19552;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";130;mH;
"Magnetizing Inductance (Unsaturated)";130;mH;
"Magnetizing Inductance (Saturated) (on load)";111.1;mH;
"Magnetizing Reactance (Unsaturated)";40.84;Ohms;
"Magnetizing Reactance (Saturated) (on load)";34.92;Ohms;
"Saturation Factor (on load)";0.8549;;
"Core Loss Resistance (no load)";1208;Ohms;
"Core Loss Resistance (Analytic on load)";1098;Ohms;
"Rotor to Stator Transform for Impedance";4221;;
"Rotor to Stator Transform for Current";12.28;;
"Leakage Factor";1.02;;
"Phase Resistance";1.09;Ohms;
"Rotor Bar Resistance (no skin effects)";0.0001203;Ohms;
"Rotor Bar Resistance (skin effects)";0.0001203;Ohms;
"Endring Resistance";4.468E-007;Ohms;
"Rotor Resistance (total)";0.0001381;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.5076;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.5077;Ohms;
"Referred Endring Resistance";0.001886;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.5863;Ohms;
"K Rotor";1;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.97;mm©÷;
"Top Rotor Bar cross sectional area";42.97;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";1.504;mH;
"Stator Differential Leakage Inductance";0.3065;mH;
"Stator End Winding Inductance_(Rosa and Grover)";0.4321;mH;
"Stator Leakage Inductance (Skewed)";0;mH;
"Stator Leakage Inductance (Total)";2.242;mH;
"Stator Slot Leakage Reactance";0.4724;Ohms;
"Stator Differential Leakage Reactance";0.0963;Ohms;
"Armature End Winding Reactance";0.1357;Ohms;
"Stator Leakage Reactance (Skewed)";1E-012;Ohms;
"Stator Leakage Reactance (Total)";0.7044;Ohms;
"Rotor Slot leakage inductance (top bar)";0.0005396;mH;
"Rotor Slot leakage inductance (bottom bar)";0;mH;
"Rotor Slot Leakage Inductance (Total)";0.0005396;mH;
"Rotor Differential Leakage Inductance";0.0001285;mH;
"End Ring Inductance (Richter)";9.542E-005;mH;
"Inter-Bar End Ring Inductance";2.392E-006;mH;
"Rotor Leakage Inductance (Skewed)";0.0001509;mH;
"Rotor Leakage Inductance (Total)";0.0009188;mH;
"Referred End Ring Inductance (Richter)";0.4027;mH;
"Referred Rotor Leakage Inductance (Total)";3.878;mH;
"Rotor Slot Leakage Reactance";0.0001695;Ohms;
"Rotor Differential Leakage Reactance";4.037E-005;Ohms;
"End Ring Reactance (Richter)";2.998E-005;Ohms;
"Rotor Leakage Reactance (Skewed)";4.741E-005;Ohms;
"Rotor Leakage Reactance (Total)";0.0002887;Ohms;
"Referred Rotor Differential Leakage Reactance";0.1704;Ohms;
"Referred End Ring Reactance (Richter)";0.1265;Ohms;
"Referred Rotor Leakage Reactance (Total)";1.218;Ohms;
"T to L circuit conversion factor";1.02;;

Flux Densities
"Airgap Flux Density (mean) (Analytic on load)";0.5816;Tesla;
"Airgap Flux Density (peak) (Analytic on load)";0.8225;Tesla;
"Stator Tooth Flux Density (peak) (Analytic on load)";1.431;Tesla;
"Stator Back Iron Flux Density (peak) (Analytic on load)";1.333;Tesla;
"Rotor Tooth Flux Density (peak) (Analytic on load)";1.561;Tesla;
"Rotor Back Iron Flux Density (peak) (Analytic on load)";0.6405;Tesla;

Losses
"Stator Copper Losses (Analytic on load)";0.2781;kW;
"Rotor Copper Losses (Analytic on load)";0.07089;kW;
"Stray Load Losses (Analytic on load)";0.1006;kW;
"Stator iron Loss [total] (Analytic on load)";0.1301;kW;
"Rotor iron Loss [total] (Analytic on load)";0.001215;kW;
"Windage Loss (user input)";0;kW;
"Friction Loss (user input)";0;kW;
"Total Losses (Analytic on load)";0.5809;kW;
"Stator back iron Loss [hysteresis] (Analytic on load)";0.07763;kW;
"Stator back iron Loss [eddy] (Analytic on load)";0.005892;kW;
"Stator back iron Loss [excess] (Analytic on load)";0;kW;
"Stator back iron Loss [total] (Analytic on load)";0.08352;kW;
"Stator tooth Loss [hysteresis] (Analytic on load)";0.04342;kW;
"Stator tooth Loss [eddy] (Analytic on load)";0.003129;kW;
"Stator tooth Loss [excess] (Analytic on load)";0;kW;
"Stator tooth Loss [total] (Analytic on load)";0.04655;kW;
"Stator iron Loss [total] (Analytic on load)";0.1301;kW;
"Rotor back iron Loss [hysteresis] (Analytic on load)";0.0001491;kW;
"Rotor back iron Loss [eddy] (Analytic on load)";1.943E-005;kW;
"Rotor back iron Loss [excess] (Analytic on load)";0;kW;
"Rotor back iron Loss [total] (Analytic on load)";0.0001686;kW;
"Rotor tooth Loss [hysteresis] (Analytic on load)";0.0009801;kW;
"Rotor tooth Loss [eddy] (Analytic on load)";6.62E-005;kW;
"Rotor tooth Loss [excess] (Analytic on load)";0;kW;
"Rotor tooth Loss [total] (Analytic on load)";0.001046;kW;
"Rotor iron Loss [total] (Analytic on load)";0.001215;kW;

Winding
"Armature Conductor CSA";0.6374;mm©÷;
"Armature Turn CSA";1.912;mm©÷;
"Armature Conductor Current Density";4.822;Amps/mm©÷;
"Armature Conductor MLT";511.1;mm;
"Armature Turns per Phase";180;;
"Armature Turns per Coil";15;;
"Length of phase";9.2E004;mm;
"Phase Resistance";1.09;Ohms;
"Line-Line Resistance";2.181;Ohms;
"Armature Conductor Temperature";100;¡ÆC;
"Mean Coil Pitch (Calculated)";85.02;mm;
"Mean Coil Pitch (Used)";85.02;mm;
"Fundamental Winding Factor";0.9549;;
"Winding Factor Sum";0.00215;;
"Wire Ins Thickness";0.03453;mm;
"Copper Diameter";0.9008;mm;
Conductors/Slot;45;;
"Armature End Winding MLT (Used)";271.1;mm;
"Copper Slot Fill (Wdg Area)";0.4658;;
"Wire Slot Fill (Slot Area)";0.4637;;
"Copper Slot Fill (Slot Area)";0.4;;
"Heavy Build Slot Fill";0.6875;;
"Slot Area (Slot 1)";71.7;mm©÷;
"Winding Area (+ Liner) (Slot 1)";71.4;mm©÷;
"Slot Area (FEA)";0;mm©÷;
"Wedge Area";0.302;mm©÷;
"Slot Opening Area";2.974;mm©÷;
"Liner-Lam Imp Area (Slot 1)";0;mm©÷;
"Impreg Area (Slot 1)";28.33;mm©÷;
"Liner Area (Slot 1)";9.825;mm©÷;
"Coil Divider Area (Slot 1)";0;mm©÷;
"Volume Copper EWdg Front";1.407E005;mm©ø;
"Volume Copper Active";2.478E005;mm©ø;
"Volume Copper EWdg Rear";1.407E005;mm©ø;

Miscellaneous
"FEA Mesh Nodes";0;;
"FEA Mesh Elements";0;;
"Airgap Mesh Layers Used";4;;
"FEA Max Element Length";0;mm;

Materials
"Armature Conductor Resistivity";2.266E-008;Ohm.m;
"Armature Conductor Resistivity at Ref Temp (20¡ÆC)";1.724E-008;Ohm.m;
"Armature Conductor Temperature";100;¡ÆC;
"Stator Lamination Resistivity";4.4E-007;Ohm.m;
"Number of stator laminations";232.8;;
"Rotor Lamination Resistivity";4.4E-007;Ohm.m;
"Number of rotor laminations";232.8;;
"Shaft Resistivity";0;Ohm.m;
"Shaft Resistivity at Ref Temp (20¡ÆC)";0;Ohm.m;
"Shaft Temperature";20;¡ÆC;
"Total Motor Weight";52.62;kg;
"Weight Stator Lam";17.5;kg;
"Armature Copper [Total] Weight";4.714;kg;
"Slot Wedge Weight";0.002609;kg;
"Weight Rotor Lam";15.84;kg;
"Weight Rotor Cage";2.857;kg;
"Weight Shaft Total";4.779;kg;
"Conductivity Rotor Bar";0;W/m/¡ÆC;
"Cp Rotor Bar";0;kJ/kg/¡ÆC;
"Density Rotor Bar";0;kg/m©ø;
"Rotor Bar Resistivity";4.29E-008;Ohm.m;
"Rotor Bar Resistivity at Ref Temp (20¡ÆC)";3.3E-008;Ohm.m;
"Rotor Bar Temperature";100;¡ÆC;
"End Ring Resistivity";4.29E-008;Ohm.m;
"End Ring Resistivity at Ref Temp (20¡ÆC)";3.3E-008;Ohm.m;
"End Ring Temperature";100;¡ÆC;

