Drive
"Line-Line Supply Voltage (rms)";400;Volts;
"Phase Supply Voltage (rms)";230.9;Volts;
"No Load Line Current (rms)";5.453;Amps;
"No Load Phase Current (rms)";5.453;Amps;
"No Load Phase Current (peak)";7.712;Amps;
"No Load Input active power";0.2356;kW;
"Fundamental Frequency";50;Hz;
"Synchronous speed";1000;rpm;
"Shaft Speed";980.5;rpm;
Slip_(Motoring);0.01953;;
"Drive frequency";50;Hz;
"Slip Frequency";49.02;Hz;
"Mechanical Frequency";16.34;Hz;
"Skew factor of first harmonic";0.9971;;
"Locked rotor airgap torque";128.7;Nm;
"Locked rotor line current (rms)";76.53;Amps;
"Locked rotor phase current (rms)";76.53;Amps;
"Locked rotor input power";35.33;kW;
"Breakdown airgap torque";194.7;Nm;
"Breakdown shaft torque";187.1;Nm;
"Breakdown line current (rms)";52.75;Amps;
"Breakdown phase current (rms)";52.75;Amps;
"Breakdown slip";0.258;p.u.;
"Breakdown speed";742;rpm;
"Breakdown input active power";30.8;kW;
"Breakdown output active power";14.54;kW;
"Ratio Locked rotor / on load airgap torque";3.221;p.u.;
"Ratio Locked rotor / on load current";8.959;p.u.;
"Ratio Breakdown / on load airgap torque";4.874;p.u.;
"Ratio Breakdown / on load current";6.174;p.u.;
"Ratio Breakdown / locked rotor airgap torque";1.513;p.u.;
"Ratio Breakdown / locked rotor current";0.6892;p.u.;

E-Magnetics
"Airgap Torque (on load)";39.941;Nm;
"Shaft Torque";38.965;Nm;
"Requested on load power";4;kW;
"Output Mechanical Power";4.0007;kW;
"Input Active Electrical Power (from Power Balance)";4.5637;kW;
"Input Active Electrical Power (ideal)";4.5682;kW;
"Total Losses (Analytic on load)";0.56296;kW;
"Input Reactive Power (on load)";3763.3;VA;
"Apparent Power";5918.7;VA;
"Power Factor (on load) (Phasor)";0.77182;;
"Power Factor (on load) (from Power Balance)";0.77106;;
"System Efficiency";87.664;%;
"Rotor Inertia";0.077848;kg.m©÷;
"Shaft Inertia";0.0014877;kg.m©÷;
"Total Inertia";0.079335;kg.m©÷;
"Torque per rotor volume";12.914;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.9327;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";378.29;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";386.01;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";218.41;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";222.86;Volts;
"Stator Terminal Line Voltage (rms) (on load)";400;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";230.94;Volts;
"Voltage drop across stator phase resistance (rms)";10.598;Volts;
"Voltage drop across rotor leakage reactance (rms)";8.9712;Volts;
"Ideal Back EMF Phase Voltage (rms)";313.36;Volts;
"Line Current (rms) (on load)";8.5429;Amps;
"Phase Current (rms) (on load)";8.5429;Amps;
"Referred Rotor Current (rms) (on load)";6.389;Amps;
"Rotor Bar Current (rms) (on load)";83.671;Amps;
"Endring Current (rms) (on load)";373.65;Amps;
"Magnetizing Current (no load)";7.1928;Amps;
"Magnetizing Current (rms) (on load)";5.2211;Amps;
"Core Loss Current (rms) (on load) (T circuit)";0.16707;Amps;
"Core Loss Current (rms) (on load) (L circuit)";0.16373;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";147.9;mH;
"Magnetizing Inductance (Unsaturated)";147.9;mH;
"Magnetizing Inductance (Saturated) (on load)";133;mH;
"Magnetizing Reactance (Unsaturated)";46.47;Ohms;
"Magnetizing Reactance (Saturated) (on load)";41.79;Ohms;
"Saturation Factor (on load)";0.8995;;
"Core Loss Resistance (no load)";1502;Ohms;
"Core Loss Resistance (Analytic on load)";1307;Ohms;
"Rotor to Stator Transform for Impedance";4802;;
"Rotor to Stator Transform for Current";13.1;;
"Leakage Factor";1.019;;
"Phase Resistance";1.241;Ohms;
"Rotor Bar Resistance (no skin effects)";0.0001203;Ohms;
"Rotor Bar Resistance (skin effects)";0.0001203;Ohms;
"Endring Resistance";4.468E-007;Ohms;
"Rotor Resistance (total)";0.0001381;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.5776;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.5777;Ohms;
"Referred Endring Resistance";0.002146;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.667;Ohms;
"K Rotor";1;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.97;mm©÷;
"Top Rotor Bar cross sectional area";42.97;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";1.711;mH;
"Stator Differential Leakage Inductance";0.3488;mH;
"Stator End Winding Inductance_(Rosa and Grover)";0.4948;mH;
"Stator Leakage Inductance (Skewed)";0;mH;
"Stator Leakage Inductance (Total)";2.554;mH;
"Stator Slot Leakage Reactance";0.5375;Ohms;
"Stator Differential Leakage Reactance";0.1096;Ohms;
"Armature End Winding Reactance";0.1554;Ohms;
"Stator Leakage Reactance (Skewed)";1E-012;Ohms;
"Stator Leakage Reactance (Total)";0.8025;Ohms;
"Rotor Slot leakage inductance (top bar)";0.0005436;mH;
"Rotor Slot leakage inductance (bottom bar)";0;mH;
"Rotor Slot Leakage Inductance (Total)";0.0005436;mH;
"Rotor Differential Leakage Inductance";0.0001285;mH;
"End Ring Inductance (Richter)";9.542E-005;mH;
"Inter-Bar End Ring Inductance";2.392E-006;mH;
"Rotor Leakage Inductance (Skewed)";0.0001588;mH;
"Rotor Leakage Inductance (Total)";0.0009307;mH;
"Referred End Ring Inductance (Richter)";0.4582;mH;
"Referred Rotor Leakage Inductance (Total)";4.47;mH;
"Rotor Slot Leakage Reactance";0.0001708;Ohms;
"Rotor Differential Leakage Reactance";4.037E-005;Ohms;
"End Ring Reactance (Richter)";2.998E-005;Ohms;
"Rotor Leakage Reactance (Skewed)";4.988E-005;Ohms;
"Rotor Leakage Reactance (Total)";0.0002924;Ohms;
"Referred Rotor Differential Leakage Reactance";0.1939;Ohms;
"Referred End Ring Reactance (Richter)";0.144;Ohms;
"Referred Rotor Leakage Reactance (Total)";1.404;Ohms;
"T to L circuit conversion factor";1.019;;

Flux Densities
"Airgap Flux Density (mean) (Analytic on load)";0.5432;Tesla;
"Airgap Flux Density (peak) (Analytic on load)";0.7682;Tesla;
"Stator Tooth Flux Density (peak) (Analytic on load)";1.336;Tesla;
"Stator Back Iron Flux Density (peak) (Analytic on load)";1.245;Tesla;
"Rotor Tooth Flux Density (peak) (Analytic on load)";1.459;Tesla;
"Rotor Back Iron Flux Density (peak) (Analytic on load)";0.5983;Tesla;
"Airgap flux density (mean) (FEA on load - skewed)";0.4852;Tesla;
"Airgap Flux Density (peak) (FEA on load - skewed)";0.7371;Tesla;
"Stator Tooth Flux Density (peak) (FEA on load)";1.275;Tesla;
"Stator Tooth Tip Flux Density (peak) (FEA on load)";1.213;Tesla;
"Stator Back Iron Flux Density (peak) (FEA on load)";1.193;Tesla;
"Rotor Tooth Flux Density (peak) (FEA on load)";1.386;Tesla;
"Rotor Tooth Tip Flux Density (peak) (FEA on load)";2.143;Tesla;
"Rotor Back Iron Flux Density (peak) (FEA on load)";0.499;Tesla;

Single Load Point (FEA)
"Peak Current (FEA on load)";12.08;Amps;
"Core Loss Resistance";1315;Ohms;
"Stored Magnetic Energy (FEA on load)";5.655;Joules;
"Stored Magnetic Conergy (FEA on load)";7.218;Joules;
"Peak Back EMF Phase Voltage (FEA on load)";315.9;Volts;
"Peak Back EMF Line Voltage (FEA on load)";539.1;Volts;
"Back EMF Phase Voltage (rms) (FEA on load)";219.8;Volts;
"Back EMF Line-Line Voltage (rms) (FEA on load)";381.6;Volts;
"D-Axis Flux Linkage (FEA on load)";679.7;mVs;
"Q-Axis Flux Linkage (FEA on load)";726.4;mVs;
"D-Axis Stator Current (FEA on load)";0;Amps;
"Q-Axis Stator Current (FEA on load)";12.08;Amps;
"Torque (Maxwell stress) (FEA on load)";36.61;Nm;
"Torque (Virtual work) (FEA on load)";36.66;Nm;
"Torque (dq) (FEA on load)";36.85;Nm;
"Torque (Power balance) (FEA on load)";45.74;Nm;
"Torque Ripple (MsVw)";1.704;Nm;
"Torque Ripple (MsVw) [%]";4.653;%;
"Shaft Torque (FEA on load)";35.93;Nm;
"Output Power (FEA on load)";3.69;kW;
"Input Power (FEA on load)";4.247;kW;
"Power Factor (FEA on load)";0.7226;;
"System Efficiency (FEA on load)";86.88;%;
"Series Equivalent Resistance (FEA on load)";0.3721;Ohms;
"Series Equivalent Inductance (FEA on load)";58.8;mH;
"Parallel Equivalent Resistance (FEA on load)";0.7035;Ohms;
"Parallel Equivalent Inductance (FEA on load)";23.47;mH;
"Referred Rotor Bar Leakage Inductance (FEA on load)";15.96;mH;
"Referred Rotor Bar Resistance (FEA on load)";0.646;Ohms;
"Referred Rotor Leakage Inductance (FEA on load)";16.42;mH;
"Referred Rotor Resistance (FEA on load)";0.7316;Ohms;
"Magnetizing Inductance (Unsaturated)";147.9;mH;
"Stator Slot leakage permeance factor";1.847;;
"Rotor Slot leakage permeance factor (top bar)";3.605;;
"Rotor Slot leakage permeance factor (bottom bar)";0;;
"Phase Inductance (FEA on load)";140.2;mH;
"Stator leakage inductance";2.554;mH;
"Endring Resistance";4.468E-007;Ohms;
"End Ring Inductance (Richter)";9.542E-005;mH;

Losses
"Stator Copper Losses (Analytic on load)";0.2716;kW;
"Rotor Bar Losses (FEA on load)";0.08148;kW;
"Rotor Endring Losses (FEA on load)";0.01207;kW;
"Rotor Cage Losses (FEA on load)";0.09355;kW;
"Stray Load Losses (FEA on load)";0.0939;kW;
"Stator iron Loss [total] (on load)";0.08177;kW;
"Rotor iron Loss [total] (on load)";0.02842;kW;
"Loss [Windage]";0;kW;
"Friction Loss (user input)";0;kW;
"Shaft Loss [total] (on load)";0;kW;
"Total Losses (FEA on load)";0.5572;kW;
"Stator back iron Loss [hysteresis - fundamental] (on load)";0.03856;kW;
"Stator back iron Loss [hysteresis - minor loops] (on load)";0.0007064;kW;
"Stator back iron Loss [hysteresis] (on load)";0.03927;kW;
"Stator back iron Loss [eddy] (on load)";0.006172;kW;
"Stator back iron Loss [excess] (on load)";0;kW;
"Stator back iron Loss [total] (on load)";0.04544;kW;
"Stator tooth Loss [hysteresis - fundamental] (on load)";0.02241;kW;
"Stator tooth Loss [hysteresis - minor loops] (on load)";0.00867;kW;
"Stator tooth Loss [hysteresis] (on load)";0.03108;kW;
"Stator tooth Loss [eddy] (on load)";0.005249;kW;
"Stator tooth Loss [excess] (on load)";0;kW;
"Stator tooth Loss [total] (on load)";0.03633;kW;
"Stator iron Loss [total] (on load)";0.08177;kW;
"Rotor back iron Loss [hysteresis] (on load)";6.838E-006;kW;
"Rotor back iron Loss [eddy] (on load)";9.359E-007;kW;
"Rotor back iron Loss [excess] (on load)";0;kW;
"Rotor back iron Loss [total] (on load)";7.774E-006;kW;
"Rotor tooth Loss [hysteresis] (on load)";0.01732;kW;
"Rotor tooth Loss [eddy] (on load)";0.01109;kW;
"Rotor tooth Loss [excess] (on load)";0;kW;
"Rotor tooth Loss [total] (on load)";0.02841;kW;
"Rotor iron Loss [total] (on load)";0.02842;kW;
"Shaft Loss [eddy] (on load)";0;kW;

Winding
"Armature Conductor CSA";0.5975;mm©÷;
"Armature Turn CSA";1.793;mm©÷;
"Armature Conductor Current Density";4.766;Amps/mm©÷;
"Armature Conductor MLT";511.1;mm;
"Armature Turns per Phase";192;;
"Armature Turns per Coil";16;;
"Length of phase";9.813E004;mm;
"Phase Resistance";1.241;Ohms;
