Drive
"Line-Line Supply Voltage (rms)";400;Volts;
"Phase Supply Voltage (rms)";230.9;Volts;
"No Load Line Current (rms)";5.549;Amps;
"No Load Phase Current (rms)";5.549;Amps;
"No Load Phase Current (peak)";7.848;Amps;
"No Load Input active power";0.2311;kW;
"Fundamental Frequency";50;Hz;
"Synchronous speed";1000;rpm;
"Shaft Speed";981.5;rpm;
Slip_(Motoring);0.01847;;
"Drive frequency";50;Hz;
"Slip Frequency";49.08;Hz;
"Mechanical Frequency";16.36;Hz;
"Skew factor of first harmonic";0.9971;;
"Locked rotor airgap torque";132.2;Nm;
"Locked rotor line current (rms)";78.84;Amps;
"Locked rotor phase current (rms)";78.84;Amps;
"Locked rotor input power";35.34;kW;
"Breakdown airgap torque";201.9;Nm;
"Breakdown shaft torque";194.4;Nm;
"Breakdown line current (rms)";54.19;Amps;
"Breakdown phase current (rms)";54.19;Amps;
"Breakdown slip";0.25;p.u.;
"Breakdown speed";750;rpm;
"Breakdown input active power";31.33;kW;
"Breakdown output active power";15.26;kW;
"Ratio Locked rotor / on load airgap torque";3.315;p.u.;
"Ratio Locked rotor / on load current";9.174;p.u.;
"Ratio Breakdown / on load airgap torque";5.062;p.u.;
"Ratio Breakdown / on load current";6.305;p.u.;
"Ratio Breakdown / locked rotor airgap torque";1.527;p.u.;
"Ratio Breakdown / locked rotor current";0.6873;p.u.;

E-Magnetics
"Airgap Torque (on load)";39.894;Nm;
"Shaft Torque";38.923;Nm;
"Requested on load power";4;kW;
"Output Mechanical Power";4.0007;kW;
"Input Active Electrical Power (from Power Balance)";4.5425;kW;
"Input Active Electrical Power (ideal)";4.5471;kW;
"Input Reactive Power (on load)";3843.5;VA;
"Apparent Power";5953.9;VA;
"Power Factor (on load) (Phasor)";0.76372;;
"Power Factor (on load) (from Power Balance)";0.76295;;
"System Efficiency";88.073;%;
"Rotor Inertia";0.077848;kg.m©÷;
"Shaft Inertia";0.0016447;kg.m©÷;
"Total Inertia";0.079492;kg.m©÷;
"Torque per rotor volume";13.981;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.9423;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";379.22;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";387.09;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";218.95;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";223.49;Volts;
"Stator Terminal Line Voltage (rms) (on load)";400;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";230.94;Volts;
"Voltage drop across stator phase resistance (rms)";9.8801;Volts;
"Voltage drop across rotor leakage reactance (rms)";8.9319;Volts;
"Ideal Back EMF Phase Voltage (rms)";313.36;Volts;
"Line Current (rms) (on load)";8.5937;Amps;
"Phase Current (rms) (on load)";8.5937;Amps;
"Referred Rotor Current (rms) (on load)";6.3657;Amps;
"Rotor Bar Current (rms) (on load)";83.366;Amps;
"Endring Current (rms) (on load)";372.29;Amps;
"Magnetizing Current (no load)";7.193;Amps;
"Magnetizing Current (rms) (on load)";5.3299;Amps;
"Core Loss Current (rms) (on load) (T circuit)";0.16767;Amps;
"Core Loss Current (rms) (on load) (L circuit)";0.16426;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";147.9;mH;
"Magnetizing Inductance (Unsaturated)";147.9;mH;
"Magnetizing Inductance (Saturated) (on load)";132.6;mH;
"Magnetizing Reactance (Unsaturated)";46.47;Ohms;
"Magnetizing Reactance (Saturated) (on load)";41.66;Ohms;
"Saturation Factor (on load)";0.8965;;
"Core Loss Resistance (no load)";1502;Ohms;
"Core Loss Resistance (Analytic on load)";1306;Ohms;
"Rotor to Stator Transform for Impedance";4802;;
"Rotor to Stator Transform for Current";13.1;;
"Leakage Factor";1.019;;
"Phase Resistance";1.15;Ohms;
"Rotor Bar Resistance (no skin effects)";0.0001145;Ohms;
"Rotor Bar Resistance (skin effects)";0.0001145;Ohms;
"Endring Resistance";4.247E-007;Ohms;
"Rotor Resistance (total)";0.0001315;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.5498;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.5499;Ohms;
"Referred Endring Resistance";0.00204;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.6349;Ohms;
"K Rotor";1;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.97;mm©÷;
"Top Rotor Bar cross sectional area";42.97;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";1.711;mH;
"Stator Differential Leakage Inductance";0.3488;mH;
"Stator End Winding Inductance_(Rosa and Grover)";0.4948;mH;
"Stator Leakage Inductance (Skewed)";0;mH;
"Stator Leakage Inductance (Total)";2.554;mH;
"Stator Slot Leakage Reactance";0.5375;Ohms;
"Stator Differential Leakage Reactance";0.1096;Ohms;
"Armature End Winding Reactance";0.1554;Ohms;
"Stator Leakage Reactance (Skewed)";1E-012;Ohms;
"Stator Leakage Reactance (Total)";0.8025;Ohms;
"Rotor Slot leakage inductance (top bar)";0.0005435;mH;
"Rotor Slot leakage inductance (bottom bar)";0;mH;
"Rotor Slot Leakage Inductance (Total)";0.0005435;mH;
"Rotor Differential Leakage Inductance";0.0001285;mH;
"End Ring Inductance (Richter)";9.542E-005;mH;
"Inter-Bar End Ring Inductance";2.392E-006;mH;
"Rotor Leakage Inductance (Skewed)";0.0001583;mH;
"Rotor Leakage Inductance (Total)";0.00093;mH;
"Referred End Ring Inductance (Richter)";0.4582;mH;
"Referred Rotor Leakage Inductance (Total)";4.466;mH;
"Rotor Slot Leakage Reactance";0.0001707;Ohms;
"Rotor Differential Leakage Reactance";4.037E-005;Ohms;
"End Ring Reactance (Richter)";2.998E-005;Ohms;
"Rotor Leakage Reactance (Skewed)";4.972E-005;Ohms;
"Rotor Leakage Reactance (Total)";0.0002922;Ohms;
"Referred Rotor Differential Leakage Reactance";0.1939;Ohms;
"Referred End Ring Reactance (Richter)";0.144;Ohms;
"Referred Rotor Leakage Reactance (Total)";1.403;Ohms;
"T to L circuit conversion factor";1.019;;

Flux Densities
"Airgap Flux Density (mean) (Analytic on load)";0.5446;Tesla;
"Airgap Flux Density (peak) (Analytic on load)";0.7701;Tesla;
"Stator Tooth Flux Density (peak) (Analytic on load)";1.34;Tesla;
"Stator Back Iron Flux Density (peak) (Analytic on load)";1.248;Tesla;
"Rotor Tooth Flux Density (peak) (Analytic on load)";1.462;Tesla;
"Rotor Back Iron Flux Density (peak) (Analytic on load)";0.5998;Tesla;

Losses
"Stator Copper Losses (Analytic on load)";0.2547;kW;
"Rotor Copper Losses (Analytic on load)";0.07718;kW;
"Stray Load Losses (Analytic on load)";0.09974;kW;
"Stator iron Loss [total] (Analytic on load)";0.109;kW;
"Rotor iron Loss [total] (Analytic on load)";0.001107;kW;
"Windage Loss (user input)";0;kW;
"Friction Loss (user input)";0;kW;
"Total Losses (Analytic on load)";0.5418;kW;
"Stator back iron Loss [hysteresis] (Analytic on load)";0.06484;kW;
"Stator back iron Loss [eddy] (Analytic on load)";0.005166;kW;
"Stator back iron Loss [excess] (Analytic on load)";0;kW;
"Stator back iron Loss [total] (Analytic on load)";0.07001;kW;
"Stator tooth Loss [hysteresis] (Analytic on load)";0.03627;kW;
"Stator tooth Loss [eddy] (Analytic on load)";0.002743;kW;
"Stator tooth Loss [excess] (Analytic on load)";0;kW;
"Stator tooth Loss [total] (Analytic on load)";0.03902;kW;
"Stator iron Loss [total] (Analytic on load)";0.109;kW;
"Rotor back iron Loss [hysteresis] (Analytic on load)";0.0001355;kW;
"Rotor back iron Loss [eddy] (Analytic on load)";1.852E-005;kW;
"Rotor back iron Loss [excess] (Analytic on load)";0;kW;
"Rotor back iron Loss [total] (Analytic on load)";0.000154;kW;
"Rotor tooth Loss [hysteresis] (Analytic on load)";0.0008902;kW;
"Rotor tooth Loss [eddy] (Analytic on load)";6.312E-005;kW;
"Rotor tooth Loss [excess] (Analytic on load)";0;kW;
"Rotor tooth Loss [total] (Analytic on load)";0.0009533;kW;
"Rotor iron Loss [total] (Analytic on load)";0.001107;kW;

Winding
"Armature Conductor CSA";0.5975;mm©÷;
"Armature Turn CSA";1.793;mm©÷;
"Armature Conductor Current Density";4.794;Amps/mm©÷;
"Armature Conductor MLT";511.1;mm;
"Armature Turns per Phase";192;;
"Armature Turns per Coil";16;;
"Length of phase";9.813E004;mm;
"Phase Resistance";1.15;Ohms;
"Line-Line Resistance";2.299;Ohms;
"Armature Conductor Temperature";75.51;¡ÆC;
"Mean Coil Pitch (Calculated)";85.02;mm;
"Mean Coil Pitch (Used)";85.02;mm;
"Fundamental Winding Factor";0.9549;;
"Winding Factor Sum";0.00215;;
"Wire Ins Thickness";0.03527;mm;
"Copper Diameter";0.8722;mm;
Conductors/Slot;48;;
"Armature End Winding MLT (Used)";271.1;mm;
"Copper Slot Fill (Wdg Area)";0.4658;;
"Wire Slot Fill (Slot Area)";0.4673;;
"Copper Slot Fill (Slot Area)";0.4;;
"Heavy Build Slot Fill";0.6928;;
"Slot Area (Slot 1)";71.7;mm©÷;
"Winding Area (+ Liner) (Slot 1)";71.4;mm©÷;
"Slot Area (FEA)";71.4;mm©÷;
"Wedge Area";0.302;mm©÷;
"Slot Opening Area";2.974;mm©÷;
"Liner-Lam Imp Area (Slot 1)";0;mm©÷;
"Impreg Area (Slot 1)";28.07;mm©÷;
"Liner Area (Slot 1)";9.825;mm©÷;
"Coil Divider Area (Slot 1)";0;mm©÷;
"Volume Copper EWdg Front";1.407E005;mm©ø;
"Volume Copper Active";2.478E005;mm©ø;
"Volume Copper EWdg Rear";1.407E005;mm©ø;

Miscellaneous
"FEA Mesh Nodes";1.261E004;;
"FEA Mesh Elements";2.491E004;;
"Airgap Mesh Layers Used";4;;
"FEA Max Element Length";0.8333;mm;

Materials
"Armature Conductor Resistivity";2.1E-008;Ohm.m;
"Armature Conductor Resistivity at Ref Temp (20¡ÆC)";1.724E-008;Ohm.m;
"Armature Conductor Temperature";75.51;¡ÆC;
"Stator Lamination Resistivity";4.4E-007;Ohm.m;
"Number of stator laminations";232.8;;
"Rotor Lamination Resistivity";4.4E-007;Ohm.m;
"Number of rotor laminations";232.8;;
"Shaft Resistivity";0;Ohm.m;
"Shaft Resistivity at Ref Temp (20¡ÆC)";0;Ohm.m;
"Shaft Temperature";80.17;¡ÆC;
"Total Motor Weight";64.22;kg;
"Weight Stator Lam";17.5;kg;
"Armature Copper [Total] Weight";4.714;kg;
"Slot Wedge Weight";0.002609;kg;
"Weight Rotor Lam";15.84;kg;
"Weight Rotor Cage";2.857;kg;
"Weight Shaft Total";5.4;kg;
"Conductivity Rotor Bar";0;W/m/¡ÆC;
"Cp Rotor Bar";0;kJ/kg/¡ÆC;
"Density Rotor Bar";0;kg/m©ø;
"Rotor Bar Resistivity";4.084E-008;Ohm.m;
"Rotor Bar Resistivity at Ref Temp (20¡ÆC)";3.3E-008;Ohm.m;
"Rotor Bar Temperature";83.35;¡ÆC;
"End Ring Resistivity";4.078E-008;Ohm.m;
"End Ring Resistivity at Ref Temp (20¡ÆC)";3.3E-008;Ohm.m;
"End Ring Temperature";82.86;¡ÆC;

