Drive
"Line-Line Supply Voltage (rms)";400;Volts;
"Phase Supply Voltage (rms)";230.9;Volts;
"No Load Line Current (rms)";5.454;Amps;
"No Load Phase Current (rms)";5.454;Amps;
"No Load Phase Current (peak)";7.714;Amps;
"No Load Input active power";0.2274;kW;
"Fundamental Frequency";50;Hz;
"Synchronous speed";1000;rpm;
"Shaft Speed";981.6;rpm;
Slip_(Motoring);0.01844;;
"Drive frequency";50;Hz;
"Slip Frequency";49.08;Hz;
"Mechanical Frequency";16.36;Hz;
"Skew factor of first harmonic";0.9971;;
"Locked rotor airgap torque";132.2;Nm;
"Locked rotor line current (rms)";78.85;Amps;
"Locked rotor phase current (rms)";78.85;Amps;
"Locked rotor input power";35.32;kW;
"Breakdown airgap torque";202;Nm;
"Breakdown shaft torque";194.4;Nm;
"Breakdown line current (rms)";54.21;Amps;
"Breakdown phase current (rms)";54.21;Amps;
"Breakdown slip";0.25;p.u.;
"Breakdown speed";750;rpm;
"Breakdown input active power";31.34;kW;
"Breakdown output active power";15.27;kW;
"Ratio Locked rotor / on load airgap torque";3.315;p.u.;
"Ratio Locked rotor / on load current";9.24;p.u.;
"Ratio Breakdown / on load airgap torque";5.064;p.u.;
"Ratio Breakdown / on load current";6.354;p.u.;
"Ratio Breakdown / locked rotor airgap torque";1.528;p.u.;
"Ratio Breakdown / locked rotor current";0.6876;p.u.;

E-Magnetics
"Airgap Torque (on load)";39.891;Nm;
"Shaft Torque";38.922;Nm;
"Requested on load power";4;kW;
"Output Mechanical Power";4.0007;kW;
"Input Active Electrical Power (from Power Balance)";4.5384;kW;
"Input Active Electrical Power (ideal)";4.543;kW;
"Total Losses (Analytic on load)";0.53773;kW;
"Input Reactive Power (on load)";3782.9;VA;
"Apparent Power";5911.8;VA;
"Power Factor (on load) (Phasor)";0.76846;;
"Power Factor (on load) (from Power Balance)";0.7677;;
"System Efficiency";88.152;%;
"Rotor Inertia";0.077848;kg.m©÷;
"Shaft Inertia";0.0016447;kg.m©÷;
"Total Inertia";0.079492;kg.m©÷;
"Torque per rotor volume";12.868;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.9426;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";379.37;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";387.11;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";219.03;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";223.5;Volts;
"Stator Terminal Line Voltage (rms) (on load)";400;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";230.94;Volts;
"Voltage drop across stator phase resistance (rms)";9.7972;Volts;
"Voltage drop across rotor leakage reactance (rms)";8.9318;Volts;
"Ideal Back EMF Phase Voltage (rms)";313.36;Volts;
"Line Current (rms) (on load)";8.5329;Amps;
"Phase Current (rms) (on load)";8.5329;Amps;
"Referred Rotor Current (rms) (on load)";6.3628;Amps;
"Rotor Bar Current (rms) (on load)";83.328;Amps;
"Endring Current (rms) (on load)";372.12;Amps;
"Magnetizing Current (no load)";7.193;Amps;
"Magnetizing Current (rms) (on load)";5.2388;Amps;
"Core Loss Current (rms) (on load) (T circuit)";0.16777;Amps;
"Core Loss Current (rms) (on load) (L circuit)";0.16442;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";147.9;mH;
"Magnetizing Inductance (Unsaturated)";147.9;mH;
"Magnetizing Inductance (Saturated) (on load)";133;mH;
"Magnetizing Reactance (Unsaturated)";46.47;Ohms;
"Magnetizing Reactance (Saturated) (on load)";41.77;Ohms;
"Saturation Factor (on load)";0.899;;
"Core Loss Resistance (no load)";1502;Ohms;
"Core Loss Resistance (Analytic on load)";1306;Ohms;
"Rotor to Stator Transform for Impedance";4802;;
"Rotor to Stator Transform for Current";13.1;;
"Leakage Factor";1.019;;
"Phase Resistance";1.148;Ohms;
"Rotor Bar Resistance (no skin effects)";0.0001144;Ohms;
"Rotor Bar Resistance (skin effects)";0.0001144;Ohms;
"Endring Resistance";4.244E-007;Ohms;
"Rotor Resistance (total)";0.0001313;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.5493;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.5494;Ohms;
"Referred Endring Resistance";0.002038;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.6343;Ohms;
"K Rotor";1;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.97;mm©÷;
"Top Rotor Bar cross sectional area";42.97;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";1.711;mH;
"Stator Differential Leakage Inductance";0.3488;mH;
"Stator End Winding Inductance_(Rosa and Grover)";0.4948;mH;
"Stator Leakage Inductance (Skewed)";0;mH;
"Stator Leakage Inductance (Total)";2.554;mH;
"Stator Slot Leakage Reactance";0.5375;Ohms;
"Stator Differential Leakage Reactance";0.1096;Ohms;
"Armature End Winding Reactance";0.1554;Ohms;
"Stator Leakage Reactance (Skewed)";1E-012;Ohms;
"Stator Leakage Reactance (Total)";0.8025;Ohms;
"Rotor Slot leakage inductance (top bar)";0.0005435;mH;
"Rotor Slot leakage inductance (bottom bar)";0;mH;
"Rotor Slot Leakage Inductance (Total)";0.0005435;mH;
"Rotor Differential Leakage Inductance";0.0001285;mH;
"End Ring Inductance (Richter)";9.542E-005;mH;
"Inter-Bar End Ring Inductance";2.392E-006;mH;
"Rotor Leakage Inductance (Skewed)";0.0001587;mH;
"Rotor Leakage Inductance (Total)";0.0009305;mH;
"Referred End Ring Inductance (Richter)";0.4582;mH;
"Referred Rotor Leakage Inductance (Total)";4.468;mH;
"Rotor Slot Leakage Reactance";0.0001707;Ohms;
"Rotor Differential Leakage Reactance";4.037E-005;Ohms;
"End Ring Reactance (Richter)";2.998E-005;Ohms;
"Rotor Leakage Reactance (Skewed)";4.985E-005;Ohms;
"Rotor Leakage Reactance (Total)";0.0002923;Ohms;
"Referred Rotor Differential Leakage Reactance";0.1939;Ohms;
"Referred End Ring Reactance (Richter)";0.144;Ohms;
"Referred Rotor Leakage Reactance (Total)";1.404;Ohms;
"T to L circuit conversion factor";1.019;;

Flux Densities
"Airgap Flux Density (mean) (Analytic on load)";0.5448;Tesla;
"Airgap Flux Density (peak) (Analytic on load)";0.7705;Tesla;
"Stator Tooth Flux Density (peak) (Analytic on load)";1.34;Tesla;
"Stator Back Iron Flux Density (peak) (Analytic on load)";1.249;Tesla;
"Rotor Tooth Flux Density (peak) (Analytic on load)";1.463;Tesla;
"Rotor Back Iron Flux Density (peak) (Analytic on load)";0.6;Tesla;
"Airgap flux density (mean) (FEA on load - skewed)";0.4836;Tesla;
"Airgap Flux Density (peak) (FEA on load - skewed)";0.788;Tesla;
"Stator Tooth Flux Density (peak) (FEA on load)";1.366;Tesla;
"Stator Tooth Tip Flux Density (peak) (FEA on load)";1.299;Tesla;
"Stator Back Iron Flux Density (peak) (FEA on load)";1.19;Tesla;
"Rotor Tooth Flux Density (peak) (FEA on load)";1.382;Tesla;
"Rotor Tooth Tip Flux Density (peak) (FEA on load)";2.123;Tesla;
"Rotor Back Iron Flux Density (peak) (FEA on load)";0.4989;Tesla;

Single Load Point (FEA)
"Peak Current (FEA on load)";12.07;Amps;
"Core Loss Resistance";1319;Ohms;
"Stored Magnetic Energy (FEA on load)";5.643;Joules;
"Stored Magnetic Conergy (FEA on load)";7.215;Joules;
"Peak Back EMF Phase Voltage (FEA on load)";319.1;Volts;
"Peak Back EMF Line Voltage (FEA on load)";543.8;Volts;
"Back EMF Phase Voltage (rms) (FEA on load)";220;Volts;
"Back EMF Line-Line Voltage (rms) (FEA on load)";382.1;Volts;
"D-Axis Flux Linkage (FEA on load)";678.2;mVs;
"Q-Axis Flux Linkage (FEA on load)";729.8;mVs;
"D-Axis Stator Current (FEA on load)";0;Amps;
"Q-Axis Stator Current (FEA on load)";12.07;Amps;
"Torque (Maxwell stress) (FEA on load)";36.47;Nm;
"Torque (Virtual work) (FEA on load)";36.5;Nm;
"Torque (dq) (FEA on load)";36.72;Nm;
"Torque (Power balance) (FEA on load)";45.98;Nm;
"Torque Ripple (MsVw)";1.61;Nm;
"Torque Ripple (MsVw) [%]";4.413;%;
"Shaft Torque (FEA on load)";35.81;Nm;
"Output Power (FEA on load)";3.681;kW;
"Input Power (FEA on load)";4.213;kW;
"Power Factor (FEA on load)";0.7185;;
"System Efficiency (FEA on load)";87.39;%;
"Series Equivalent Resistance (FEA on load)";0.3541;Ohms;
"Series Equivalent Inductance (FEA on load)";58.87;mH;
"Parallel Equivalent Resistance (FEA on load)";0.668;Ohms;
"Parallel Equivalent Inductance (FEA on load)";23.81;mH;
"Referred Rotor Bar Leakage Inductance (FEA on load)";16.27;mH;
"Referred Rotor Bar Resistance (FEA on load)";0.6134;Ohms;
"Referred Rotor Leakage Inductance (FEA on load)";16.73;mH;
"Referred Rotor Resistance (FEA on load)";0.6947;Ohms;
"Magnetizing Inductance (Unsaturated)";147.9;mH;
"Stator Slot leakage permeance factor";1.847;;
"Rotor Slot leakage permeance factor (top bar)";3.604;;
"Rotor Slot leakage permeance factor (bottom bar)";0;;
"Phase Inductance (FEA on load)";140.2;mH;
"Stator leakage inductance";2.554;mH;
"Endring Resistance";4.244E-007;Ohms;
"End Ring Inductance (Richter)";9.542E-005;mH;

Losses
"Stator Copper Losses (Analytic on load)";0.2508;kW;
"Rotor Bar Losses (FEA on load)";0.07735;kW;
"Rotor Endring Losses (FEA on load)";0.01144;kW;
"Rotor Cage Losses (FEA on load)";0.0888;kW;
"Stray Load Losses (FEA on load)";0.09316;kW;
"Stator iron Loss [total] (on load)";0.08192;kW;
"Rotor iron Loss [total] (on load)";0.02815;kW;
"Loss [Windage]";0;kW;
"Friction Loss (user input)";0;kW;
"Shaft Loss [total] (on load)";0;kW;
"Total Losses (FEA on load)";0.5314;kW;
"Stator back iron Loss [hysteresis - fundamental] (on load)";0.03857;kW;
"Stator back iron Loss [hysteresis - minor loops] (on load)";0.000719;kW;
"Stator back iron Loss [hysteresis] (on load)";0.03929;kW;
"Stator back iron Loss [eddy] (on load)";0.006188;kW;
"Stator back iron Loss [excess] (on load)";0;kW;
"Stator back iron Loss [total] (on load)";0.04548;kW;
"Stator tooth Loss [hysteresis - fundamental] (on load)";0.02237;kW;
"Stator tooth Loss [hysteresis - minor loops] (on load)";0.008795;kW;
"Stator tooth Loss [hysteresis] (on load)";0.03117;kW;
"Stator tooth Loss [eddy] (on load)";0.005277;kW;
"Stator tooth Loss [excess] (on load)";0;kW;
"Stator tooth Loss [total] (on load)";0.03645;kW;
"Stator iron Loss [total] (on load)";0.08192;kW;
"Rotor back iron Loss [hysteresis] (on load)";5.027E-006;kW;
"Rotor back iron Loss [eddy] (on load)";8.095E-007;kW;
"Rotor back iron Loss [excess] (on load)";0;kW;
"Rotor back iron Loss [total] (on load)";5.836E-006;kW;
"Rotor tooth Loss [hysteresis] (on load)";0.01707;kW;
"Rotor tooth Loss [eddy] (on load)";0.01108;kW;
"Rotor tooth Loss [excess] (on load)";0;kW;
"Rotor tooth Loss [total] (on load)";0.02815;kW;
"Rotor iron Loss [total] (on load)";0.02815;kW;
"Shaft Loss [eddy] (on load)";0;kW;

Winding
"Armature Conductor CSA";0.5975;mm©÷;
"Armature Turn CSA";1.793;mm©÷;
"Armature Conductor Current Density";4.76;Amps/mm©÷;
"Armature Conductor MLT";511.1;mm;
"Armature Turns per Phase";192;;
"Armature Turns per Coil";16;;
"Length of phase";9.813E004;mm;
"Phase Resistance";1.148;Ohms;
"Line-Line Resistance";2.296;Ohms;
