Drive
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"No Load Line Current (rms)";3232;Amps;
"No Load Phase Current (rms)";3232;Amps;
"No Load Phase Current (peak)";4571;Amps;
"No Load Input active power";1.297E005;Watts;
"Fundamental Frequency";50;Hz;
"Synchronous speed";1000;rpm;
"Shaft Speed";970;rpm;
Slip_(Motoring);0.03;;
"Drive frequency";50;Hz;
"Slip Frequency";48.5;Hz;
"Mechanical Frequency";16.17;Hz;
"Locked rotor airgap torque";997;Nm;
"Locked rotor line current (rms)";4035;Amps;
"Locked rotor phase current (rms)";4035;Amps;
"Locked rotor input power";3.052E005;Watts;
"Breakdown airgap torque";1335;Nm;
"Breakdown shaft torque";1278;Nm;
"Breakdown line current (rms)";3461;Amps;
"Breakdown phase current (rms)";3461;Amps;
"Breakdown slip";0.284;p.u.;
"Breakdown speed";716;rpm;
"Breakdown input active power";2.879E005;Watts;
"Breakdown output active power";9.581E004;Watts;
"Ratio Locked rotor / on load airgap torque";2.95;p.u.;
"Ratio Locked rotor / on load current";1.3;p.u.;
"Ratio Breakdown / on load airgap torque";3.951;p.u.;
"Ratio Breakdown / on load current";1.115;p.u.;
"Ratio Breakdown / locked rotor airgap torque";1.34;p.u.;
"Ratio Breakdown / locked rotor current";0.8578;p.u.;

E-Magnetics
"Airgap Torque (on load)";338;Nm;
"Shaft Torque";311.58;Nm;
"Output Mechanical Power";31649;Watts;
"Input Active Electrical Power (from Power Balance)";1.5425E005;Watts;
"Input Active Electrical Power (ideal)";1.5495E005;Watts;
"Input Reactive Power (on load)";3.4703E005;VA;
"Apparent Power";3.8005E005;VA;
"Power Factor (on load) (Phasor)";0.40771;;
"Power Factor (on load) (from Power Balance)";0.40586;;
"System Efficiency";20.519;%;
"Rotor Inertia";0.10197;kg.m©÷;
"Shaft Inertia";0.0022423;kg.m©÷;
"Total Inertia";0.10421;kg.m©÷;
"Torque per rotor volume";118.45;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.8373;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";42.631;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";64.925;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";24.613;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";37.485;Volts;
"Stator Terminal Line Voltage (rms) (on load)";70.711;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";40.825;Volts;
"Voltage drop across stator phase resistance (rms)";12.71;Volts;
"Voltage drop across rotor leakage reactance (rms)";2.1274;Volts;
"Ideal Back EMF Phase Voltage (rms)";11.854;Volts;
"Line Current (rms) (on load)";3103.1;Amps;
"Phase Current (rms) (on load)";3103.1;Amps;
"Referred Rotor Current (rms) (on load)";481.2;Amps;
"Rotor Bar Current (rms) (on load)";394.99;Amps;
"Endring Current (rms) (on load)";1763.9;Amps;
"Magnetizing Current (no load)";149.31;Amps;
"Magnetizing Current (rms) (on load)";3023.4;Amps;
"Core Loss Current (rms) (on load) (T circuit)";7.2371;Amps;
"Core Loss Current (rms) (on load) (L circuit)";4.7521;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated)";0.5811;mH;
"Magnetizing Inductance (Saturated) (on load)";0.02616;mH;
"Magnetizing Reactance (Unsaturated)";0.1825;Ohms;
"Magnetizing Reactance (Saturated) (on load)";0.008219;Ohms;
"Saturation Factor (on load)";0.04502;;
"Core Loss Resistance (no load)";0.911;Ohms;
"Core Loss Resistance (Analytic on load)";3.401;Ohms;
"Rotor to Stator Transform for Impedance";18.87;;
"Rotor to Stator Transform for Current";0.8209;;
"Leakage Factor";1.509;;
"Phase Resistance";0.004096;Ohms;
"Rotor Bar Resistance (no skin effects)";7.049E-005;Ohms;
"Rotor Bar Resistance (skin effects)";7.054E-005;Ohms;
"Endring Resistance";2.628E-007;Ohms;
"Rotor Resistance (total)";8.102E-005;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.00133;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.001331;Ohms;
"Referred Endring Resistance";4.958E-006;Ohms;
"Referred Rotor Resistance (Total)";0.001529;Ohms;
"K Rotor";1.001;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.95;mm©÷;
"Top Rotor Bar cross sectional area";42.95;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";0.006683;mH;
"Stator Differential Leakage Inductance";0.004668;mH;
"Stator End Winding Inductance_(Rosa and Grover)";0.001964;mH;
"Stator Leakage Inductance (Total)";0.01332;mH;
"Stator Slot Leakage Reactance";0.0021;Ohms;
"Stator Differential Leakage Reactance";0.001467;Ohms;
"Armature End Winding Reactance";0.0006171;Ohms;
"Stator Leakage Reactance (Total)";0.004183;Ohms;
"Rotor Slot leakage inductance (top bar)";0.0005221;mH;
"Rotor Slot leakage inductance (bottom bar)";0;mH;
"Rotor Slot Leakage Inductance (Total)";0.0005221;mH;
"Rotor Differential Leakage Inductance";0.0001285;mH;
"End Ring Inductance (Richter)";9.542E-005;mH;
"Inter-Bar End Ring Inductance";2.392E-006;mH;
"Rotor Leakage Inductance (Total)";0.0007459;mH;
"Referred End Ring Inductance (Richter)";0.0018;mH;
"Referred Rotor Leakage Inductance (Total)";0.01407;mH;
"Rotor Slot Leakage Reactance";0.000164;Ohms;
"Rotor Differential Leakage Reactance";4.037E-005;Ohms;
"End Ring Reactance (Richter)";2.998E-005;Ohms;
"Rotor Leakage Reactance (Total)";0.0002343;Ohms;
"Referred Rotor Differential Leakage Reactance";0.0007616;Ohms;
"Referred End Ring Reactance (Richter)";0.0005656;Ohms;
"Referred Rotor Leakage Reactance (Total)";0.004421;Ohms;
"T to L circuit conversion factor";1.509;;

Flux Densities
"Airgap Flux Density (mean) (Analytic on load)";0.9767;Tesla;
"Airgap Flux Density (peak) (Analytic on load)";1.381;Tesla;
"Stator Tooth Flux Density (peak) (Analytic on load)";2.403;Tesla;
"Stator Back Iron Flux Density (peak) (Analytic on load)";2.239;Tesla;
"Rotor Tooth Flux Density (peak) (Analytic on load)";2.622;Tesla;
"Rotor Back Iron Flux Density (peak) (Analytic on load)";1.076;Tesla;

Losses
"Stator Copper Losses (Analytic on load)";1.183E005;Watts;
"Rotor Copper Losses (Analytic on load)";1062;Watts;
"Stray Load Losses (Analytic on load)";2684;Watts;
"Stator iron Loss [total] (Analytic on load)";525.7;Watts;
