Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line Current (rms)";261.9;Amps;
"Line Current (peak)";370.4;Amps;
"No Load Input active power";3093;Watts;
"Fundamental Frequency";326;Hz;
"Synchronous speed";6520;rpm;
"Shaft Speed";6500;rpm;
Slip_(Motoring);0.003072;;
"Drive frequency";326;Hz;
"Slip Frequency";325;Hz;
"Mechanical Frequency";108.3;Hz;
"Skew factor of first harmonic";0.9971;;

E-Magnetics
"Airgap Torque (on load)";98.482;Nm;
"Shaft Torque";97.497;Nm;
"Output Mechanical Power";66364;Watts;
"Input Active Electrical Power (from Power Balance)";69601;Watts;
"Input Active Electrical Power (ideal)";69676;Watts;
"Input Reactive Power (on load)";42965;VA;
"Apparent Power";81857;VA;
"Power Factor (on load) (Phasor)";0.85118;;
"Power Factor (on load) (from Power Balance)";0.85028;;
"System Efficiency";95.349;%;
"Rotor Inertia";0.10197;kg.m©÷;
"Shaft Inertia";0.0022423;kg.m©÷;
"Total Inertia";0.10421;kg.m©÷;
"Torque per rotor volume";34.513;kNm/m©ø;
"Rotor peripheral velocity (on load)";59.219;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";173.78;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";178.53;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";100.33;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";103.08;Volts;
"Stator Terminal Line Voltage (rms) (on load)";180.45;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";104.18;Volts;
"Voltage drop across stator phase resistance (rms)";1.3034;Volts;
"Voltage drop across rotor leakage reactance (rms)";7.7403;Volts;
"Ideal Back EMF Phase Voltage (rms)";67.198;Volts;
"Line Current (rms) (on load)";261.9;Amps;
"Phase Current (rms) (on load)";261.9;Amps;
"Referred Rotor Current (rms) (on load)";224.07;Amps;
"Rotor Bar Current (rms) (on load)";183.41;Amps;
"Endring Current (rms) (on load)";819.04;Amps;
"Magnetizing Current (no load)";152.84;Amps;
"Magnetizing Current (rms) (on load)";111.86;Amps;
"Core Loss Current (rms) (on load) (T circuit)";4.44;Amps;
"Core Loss Current (rms) (on load) (L circuit)";4.3218;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";0.5778;mH;
"Magnetizing Inductance (Unsaturated)";0.5778;mH;
"Magnetizing Inductance (Saturated) (on load)";0.4379;mH;
"Magnetizing Reactance (Unsaturated)";1.183;Ohms;
"Magnetizing Reactance (Saturated) (on load)";0.8971;Ohms;
"Saturation Factor (on load)";0.758;;
"Core Loss Resistance (no load)";3.207;Ohms;
"Core Loss Resistance (Analytic on load)";22.6;Ohms;
"Rotor to Stator Transform for Impedance";18.76;;
"Rotor to Stator Transform for Current";0.8185;;
"Leakage Factor";1.023;;
"Phase Resistance";0.004977;Ohms;
"Rotor Bar Resistance (no skin effects)";6.329E-005;Ohms;
"Rotor Bar Resistance (skin effects)";6.331E-005;Ohms;
"Endring Resistance";2.35E-007;Ohms;
"Rotor Resistance (total)";7.269E-005;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.001187;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.001188;Ohms;
"Referred Endring Resistance";4.409E-006;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.001371;Ohms;
"K Rotor";1;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.95;mm©÷;
"Top Rotor Bar cross sectional area";42.95;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";0.006683;mH;
"Stator Differential Leakage Inductance";0.001362;mH;
