Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line Current (rms)";752.9;Amps;
"Line Current (peak)";1065;Amps;
"No Load Input active power";1.312E004;Watts;
"Fundamental Frequency";327.3;Hz;
"Synchronous speed";6546;rpm;
"Shaft Speed";6500;rpm;
Slip_(Motoring);0.007093;;
"Drive frequency";327.3;Hz;
"Slip Frequency";325;Hz;
"Mechanical Frequency";108.3;Hz;
"Skew factor of first harmonic";0.9971;;

E-Magnetics
"Airgap Torque (on load)";373.46;Nm;
"Shaft Torque";369.72;Nm;
"Output Mechanical Power";2.5166E005;Watts;
"Input Active Electrical Power (from Power Balance)";2.6706E005;Watts;
"Input Active Electrical Power (ideal)";2.6739E005;Watts;
"Total Losses (Analytic on load)";15396;Watts;
"Input Reactive Power (on load)";1.7517E005;VA;
"Apparent Power";3.1965E005;VA;
"Power Factor (on load) (Phasor)";0.83649;;
"Power Factor (on load) (from Power Balance)";0.83546;;
"System Efficiency";94.235;%;
"Rotor Inertia";0.10197;kg.m©÷;
"Shaft Inertia";0.0022423;kg.m©÷;
"Total Inertia";0.10421;kg.m©÷;
"Torque per rotor volume";121.39;kNm/m©ø;
"Rotor peripheral velocity (on load)";59.219;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";225.73;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";239.72;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";130.33;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";138.4;Volts;
"Stator Terminal Line Voltage (rms) (on load)";245.12;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";141.52;Volts;
"Voltage drop across stator phase resistance (rms)";3.747;Volts;
"Voltage drop across rotor leakage reactance (rms)";21.315;Volts;
"Ideal Back EMF Phase Voltage (rms)";30.033;Volts;
"Line Current (rms) (on load)";752.9;Amps;
"Phase Current (rms) (on load)";752.9;Amps;
"Referred Rotor Current (rms) (on load)";663.83;Amps;
"Rotor Bar Current (rms) (on load)";543.35;Amps;
"Endring Current (rms) (on load)";2426.4;Amps;
"Magnetizing Current (no load)";172.89;Amps;
"Magnetizing Current (rms) (on load)";251.05;Amps;
"Core Loss Current (rms) (on load) (T circuit)";6.5841;Amps;
"Core Loss Current (rms) (on load) (L circuit)";6.2;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";0.5778;mH;
"Magnetizing Inductance (Unsaturated)";0.5778;mH;
"Magnetizing Inductance (Saturated) (on load)";0.2525;mH;
"Magnetizing Reactance (Unsaturated)";1.188;Ohms;
"Magnetizing Reactance (Saturated) (on load)";0.5193;Ohms;
"Saturation Factor (on load)";0.4371;;
"Core Loss Resistance (no load)";0.4626;Ohms;
"Core Loss Resistance (Analytic on load)";19.79;Ohms;
"Rotor to Stator Transform for Impedance";18.76;;
"Rotor to Stator Transform for Current";0.8185;;
"Leakage Factor";1.04;;
"Phase Resistance";0.004977;Ohms;
"Rotor Bar Resistance (no skin effects)";6.329E-005;Ohms;
"Rotor Bar Resistance (skin effects)";6.343E-005;Ohms;
"Endring Resistance";2.35E-007;Ohms;
"Rotor Resistance (total)";7.281E-005;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.001187;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.00119;Ohms;
"Referred Endring Resistance";4.409E-006;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.001374;Ohms;
"K Rotor";1.002;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.95;mm©÷;
"Top Rotor Bar cross sectional area";42.95;mm©÷;
