Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line Current (rms)";259;Amps;
"Line Current (peak)";366.3;Amps;
"No Load Input active power";3806;Watts;
"Fundamental Frequency";325.9;Hz;
"Synchronous speed";6517;rpm;
"Shaft Speed";6500;rpm;
Slip_(Motoring);0.00267;;
"Drive frequency";325.9;Hz;
"Slip Frequency";325;Hz;
"Mechanical Frequency";108.3;Hz;
"Skew factor of first harmonic";0.9971;;

E-Magnetics
"Airgap Torque (on load)";97.494;Nm;
"Shaft Torque";96.52;Nm;
"Output Mechanical Power";65699;Watts;
"Input Active Electrical Power (from Power Balance)";69163;Watts;
"Input Active Electrical Power (ideal)";69260;Watts;
"Total Losses (Analytic on load)";3464.1;Watts;
"Input Reactive Power (on load)";53428;VA;
"Apparent Power";87473;VA;
"Power Factor (on load) (Phasor)";0.79179;;
"Power Factor (on load) (from Power Balance)";0.79068;;
"System Efficiency";94.991;%;
"Rotor Inertia";0.10197;kg.m©÷;
"Shaft Inertia";0.0022423;kg.m©÷;
"Total Inertia";0.10421;kg.m©÷;
"Torque per rotor volume";34.037;kNm/m©ø;
"Rotor peripheral velocity (on load)";59.219;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";187.68;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";193.23;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";108.36;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";111.56;Volts;
"Stator Terminal Line Voltage (rms) (on load)";194.99;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";112.58;Volts;
"Voltage drop across stator phase resistance (rms)";1.289;Volts;
"Voltage drop across rotor leakage reactance (rms)";18.688;Volts;
"Ideal Back EMF Phase Voltage (rms)";67.74;Volts;
"Line Current (rms) (on load)";259;Amps;
"Phase Current (rms) (on load)";259;Amps;
"Referred Rotor Current (rms) (on load)";207.82;Amps;
"Rotor Bar Current (rms) (on load)";170.1;Amps;
"Endring Current (rms) (on load)";759.62;Amps;
"Magnetizing Current (no load)";152.63;Amps;
"Magnetizing Current (rms) (on load)";116.17;Amps;
"Core Loss Current (rms) (on load) (T circuit)";4.9872;Amps;
"Core Loss Current (rms) (on load) (L circuit)";4.8441;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";0.5778;mH;
"Magnetizing Inductance (Unsaturated)";0.5778;mH;
"Magnetizing Inductance (Saturated) (on load)";0.4542;mH;
"Magnetizing Reactance (Unsaturated)";1.183;Ohms;
"Magnetizing Reactance (Saturated) (on load)";0.9299;Ohms;
"Saturation Factor (on load)";0.7861;;
"Core Loss Resistance (no load)";3.273;Ohms;
"Core Loss Resistance (Analytic on load)";21.73;Ohms;
"Rotor to Stator Transform for Impedance";18.76;;
"Rotor to Stator Transform for Current";0.8185;;
"Leakage Factor";1.022;;
"Phase Resistance";0.004977;Ohms;
"Rotor Bar Resistance (no skin effects)";6.329E-005;Ohms;
"Rotor Bar Resistance (skin effects)";6.331E-005;Ohms;
"Endring Resistance";2.35E-007;Ohms;
"Rotor Resistance (total)";7.268E-005;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.001187;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.001188;Ohms;
"Referred Endring Resistance";4.409E-006;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.001371;Ohms;
"K Rotor";1;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.95;mm©÷;
"Top Rotor Bar cross sectional area";42.95;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";0.006683;mH;
