Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line Current (rms)";254.6;Amps;
"Line Current (peak)";360.1;Amps;
"No Load Input active power";3748;Watts;
"Fundamental Frequency";325.9;Hz;
"Synchronous speed";6517;rpm;
"Shaft Speed";6500;rpm;
Slip_(Motoring);0.002651;;
"Drive frequency";325.9;Hz;
"Slip Frequency";325;Hz;
"Mechanical Frequency";108.3;Hz;
"Skew factor of first harmonic";0.9971;;

E-Magnetics
"Airgap Torque (on load)";97.756;Nm;
"Shaft Torque";96.779;Nm;
"Output Mechanical Power";65875;Watts;
"Input Active Electrical Power (from Power Balance)";69301;Watts;
"Input Active Electrical Power (ideal)";69393;Watts;
"Total Losses (Analytic on load)";3425.9;Watts;
"Input Reactive Power (on load)";50363;VA;
"Apparent Power";85743;VA;
"Power Factor (on load) (Phasor)";0.80931;;
"Power Factor (on load) (from Power Balance)";0.80825;;
"System Efficiency";95.056;%;
"Rotor Inertia";0.10197;kg.m©÷;
"Shaft Inertia";0.0022423;kg.m©÷;
"Total Inertia";0.10421;kg.m©÷;
"Torque per rotor volume";33.169;kNm/m©ø;
"Rotor peripheral velocity (on load)";59.219;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";187.43;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";192.66;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";108.21;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";111.23;Volts;
"Stator Terminal Line Voltage (rms) (on load)";194.44;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";112.26;Volts;
"Voltage drop across stator phase resistance (rms)";1.2671;Volts;
"Voltage drop across rotor leakage reactance (rms)";14.349;Volts;
"Ideal Back EMF Phase Voltage (rms)";68.627;Volts;
"Line Current (rms) (on load)";254.6;Amps;
"Phase Current (rms) (on load)";254.6;Amps;
"Referred Rotor Current (rms) (on load)";207.35;Amps;
"Rotor Bar Current (rms) (on load)";169.72;Amps;
"Endring Current (rms) (on load)";757.92;Amps;
"Magnetizing Current (no load)";152.32;Amps;
"Magnetizing Current (rms) (on load)";115.71;Amps;
"Core Loss Current (rms) (on load) (T circuit)";4.9773;Amps;
"Core Loss Current (rms) (on load) (L circuit)";4.8421;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";0.5778;mH;
"Magnetizing Inductance (Unsaturated)";0.5778;mH;
"Magnetizing Inductance (Saturated) (on load)";0.4553;mH;
"Magnetizing Reactance (Unsaturated)";1.183;Ohms;
"Magnetizing Reactance (Saturated) (on load)";0.9322;Ohms;
"Saturation Factor (on load)";0.788;;
"Core Loss Resistance (no load)";3.377;Ohms;
"Core Loss Resistance (Analytic on load)";21.74;Ohms;
"Rotor to Stator Transform for Impedance";18.76;;
"Rotor to Stator Transform for Current";0.8185;;
"Leakage Factor";1.022;;
"Phase Resistance";0.004977;Ohms;
"Rotor Bar Resistance (no skin effects)";6.329E-005;Ohms;
"Rotor Bar Resistance (skin effects)";6.331E-005;Ohms;
"Endring Resistance";2.35E-007;Ohms;
"Rotor Resistance (total)";7.268E-005;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.001187;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.001188;Ohms;
"Referred Endring Resistance";4.409E-006;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.001371;Ohms;
"K Rotor";1;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.95;mm©÷;
"Top Rotor Bar cross sectional area";42.95;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
