Drive
"DC Bus Voltage";720;Volts;
"Line-Line Supply Voltage (rms)";509.1;Volts;
"Phase Supply Voltage (rms)";293.9;Volts;
"Line Current (rms)";500;Amps;
"Line Current (peak)";707.1;Amps;
"No Load Input active power";2.395E004;Watts;
"Fundamental Frequency";680.4;Hz;
"Synchronous speed";2.041E004;rpm;
"Shaft Speed";2E004;rpm;
Slip_(Motoring);0.0202;;
"Drive frequency";680.4;Hz;
"Slip Frequency";666.7;Hz;
"Mechanical Frequency";333.3;Hz;

E-Magnetics
"Airgap Torque (on load)";205.81;Nm;
"Shaft Torque";203.68;Nm;
"Output Mechanical Power_Operating point outside voltage limit.";4.2658E005;Watts;
"Input Active Electrical Power (from Power Balance)";4.5686E005;Watts;
"Input Active Electrical Power (ideal)";4.5879E005;Watts;
"Input Reactive Power (on load)";7.037E005;VA;
"Apparent Power";8.4005E005;VA;
"Power Factor (on load) (Phasor)";0.54615;;
"Power Factor (on load) (from Power Balance)";0.54385;;
"System Efficiency";93.371;%;
"Rotor Inertia";0.026942;kg.m©÷;
"Shaft Inertia";0.00070575;kg.m©÷;
"Total Inertia";0.027648;kg.m©÷;
"Torque per rotor volume";117.12;kNm/m©ø;
"Rotor peripheral velocity (on load)";123.54;m/s;
"Magnetic Symmetry Factor";2;;
"Magnetic Axial Length";160.76;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.0364;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.0364;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";624.08;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";960.34;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";360.31;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";554.45;Volts;
"Stator Terminal Line Voltage (rms) (on load)";970;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";560.03;Volts;
"Voltage drop across stator phase resistance (rms)";10.342;Volts;
"Voltage drop across rotor leakage reactance (rms)";189.95;Volts;
"Ideal Back EMF Phase Voltage (rms)";86.478;Volts;
"Line Current (rms) (on load)";500;Amps;
"Phase Current (rms) (on load)";500;Amps;
"Referred Rotor Current (rms) (on load)";479.71;Amps;
"Rotor Bar Current (rms) (on load)";1326;Amps;
"Endring Current (rms) (on load)";5290;Amps;
"Magnetizing Current (no load)";72.903;Amps;
"Magnetizing Current (rms) (on load)";34.803;Amps;
"Core Loss Current (rms) (on load) (T circuit)";1.3059;Amps;
"Core Loss Current (rms) (on load) (L circuit)";0.84867;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated)";3.321;mH;
"Magnetizing Inductance (User adjustment)";0.9;;
"Magnetizing Inductance (Saturated) (on load)";2.67;mH;
"Magnetizing Reactance (Unsaturated)";14.2;Ohms;
"Magnetizing Reactance (Saturated) (on load)";11.41;Ohms;
"Saturation Factor (on load)";0.8038;;
"Core Loss Resistance (no load)";2.984;Ohms;
"Core Loss Resistance (Analytic on load)";275.9;Ohms;
"Rotor to Stator Transform for Impedance";127.3;;
"Rotor to Stator Transform for Current";2.764;;
"Leakage Factor";1.046;;
"Phase Resistance";0.02068;Ohms;
"Rotor Bar Resistance (no skin effects)";8.006E-005;Ohms;
"Rotor Bar Resistance (skin effects)";8.338E-005;Ohms;
"Endring Resistance";5.561E-007;Ohms;
"Rotor Resistance (total)";0.0001011;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.01019;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.01062;Ohms;
"Referred Endring Resistance";7.081E-005;Ohms;
"Referred Rotor Resistance (Total)";0.01287;Ohms;
"K Rotor";1.042;;
"K Endring";1.042;;
"Rotor Bar Cross sectional area";59.46;mm©÷;
"Top Rotor Bar cross sectional area";59.46;mm©÷;
"Rotor Endring Cross sectional area";338.8;mm©÷;
"Stator Slot Leakage Inductance";0.05686;mH;
"Stator Differential Leakage Inductance";0.04586;mH;
"Stator End Winding Inductance (Calculated)_(Rosa and Grover)";0.01016;mH;
"Armature End Winding Inductance Factor (User adjustment)";2;;
"Stator End Winding Inductance (Used)_(Rosa and Grover)";0.02031;mH;
"Stator Leakage Inductance (Total)";0.123;mH;
"Stator Slot Leakage Reactance";0.2431;Ohms;
"Stator Differential Leakage Reactance";0.1961;Ohms;
"Armature End Winding Reactance";0.08684;Ohms;
"Stator Leakage Reactance (Total)";0.526;Ohms;
"Rotor Slot leakage inductance (top bar)";0.0005191;mH;
"Rotor Slot leakage inductance (bottom bar)";0;mH;
"Rotor Slot Leakage Inductance (Total)";0.0005191;mH;
"Rotor Differential Leakage Inductance";0.0001505;mH;
"End Ring Inductance (Liwshitz-Garick)";6.388E-005;mH;
"Inter-Bar End Ring Inductance";2.007E-006;mH;
"Rotor Leakage Inductance (Total)";0.0007273;mH;
"Referred End Ring Inductance (Liwshitz-Garick)";0.008135;mH;
"Referred Rotor Leakage Inductance (Total)";0.09262;mH;
"Rotor Slot Leakage Reactance";0.002219;Ohms;
"Rotor Differential Leakage Reactance";0.0006434;Ohms;
"End Ring Reactance (Liwshitz-Garick)";0.0002731;Ohms;
"Rotor Leakage Reactance (Total)";0.003109;Ohms;
"Referred Rotor Differential Leakage Reactance";0.08194;Ohms;
"Referred End Ring Reactance (Liwshitz-Garick)";0.03478;Ohms;
"Referred Rotor Leakage Reactance (Total)";0.396;Ohms;
"T to L circuit conversion factor";1.046;;

Flux Densities
"Airgap Flux Density (mean) (Analytic on load)";0.3833;Tesla;
"Airgap Flux Density (peak) (Analytic on load)";0.542;Tesla;
"Stator Tooth Flux Density (peak) (Analytic on load)";1.118;Tesla;
"Stator Back Iron Flux Density (peak) (Analytic on load)";0.8904;Tesla;
"Rotor Tooth Flux Density (peak) (Analytic on load)";1.367;Tesla;
"Rotor Back Iron Flux Density (peak) (Analytic on load)";1.012;Tesla;

Losses
"Stator Copper Losses (Analytic on load)";1.551E004;Watts;
"Rotor Copper Losses (Analytic on load)";8887;Watts;
"Stray Load Losses (Analytic on load)";4311;Watts;
"Stator iron Loss [total] (adjusted) (Analytic on load)";1401;Watts;
"Rotor iron Loss [total] (Analytic on load)";10.46;Watts;
"Windage Loss (calculated)";162.2;Watts;
"Friction Loss (user input)";0;Watts;
"Total Losses (Analytic on load)";3.028E004;Watts;
"Stator back iron Loss [hysteresis] (Analytic on load)";124.9;Watts;
"Stator back iron Loss [eddy] (Analytic on load)";196.1;Watts;
"Stator back iron Loss [excess] (Analytic on load)";147.3;Watts;
"Stator back iron Loss [total] (Analytic on load)";468.3;Watts;
"Stator back iron Loss [total] (adjusted) (Analytic on load)";936.7;Watts;
"Stator tooth Loss [hysteresis] (Analytic on load)";64.12;Watts;
"Stator tooth Loss [eddy] (Analytic on load)";100.6;Watts;
"Stator tooth Loss [excess] (Analytic on load)";67.49;Watts;
"Stator tooth Loss [total] (Analytic on load)";232.2;Watts;
"Stator tooth Loss [total] (adjusted) (Analytic on load)";464.5;Watts;
"Stator iron Loss [total] (Analytic on load)";700.6;Watts;
"Stator Iron Loss Build Factor";2;;
"Stator iron Loss [total] (adjusted) (Analytic on load)";1401;Watts;
"Rotor back iron Loss [hysteresis] (Analytic on load)";1.027;Watts;
"Rotor back iron Loss [eddy] (Analytic on load)";1.613;Watts;
"Rotor back iron Loss [excess] (Analytic on load)";1.137;Watts;
"Rotor back iron Loss [total] (Analytic on load)";3.776;Watts;
"Rotor tooth Loss [hysteresis] (Analytic on load)";1.899;Watts;
"Rotor tooth Loss [eddy] (Analytic on load)";2.98;Watts;
"Rotor tooth Loss [excess] (Analytic on load)";1.807;Watts;
"Rotor tooth Loss [total] (Analytic on load)";6.686;Watts;
"Rotor iron Loss [total] (Analytic on load)";10.46;Watts;

Winding
"Armature Conductor CSA";18.55;mm©÷;
"Armature Conductor Current Density";26.96;Amps/mm©÷;
"Armature Conductor MLT";708.2;mm;
"Armature Turns per Phase";24;;
"Armature Turns per Coil";1;;
"Length of phase";1.7E004;mm;
"Phase Resistance";0.02068;Ohms;
"Line-Line Resistance";0.04137;Ohms;
"Armature Conductor Temperature";100;¡ÆC;
"Mean Coil Pitch (Calculated)";107.4;mm;
"Mean Coil Pitch (Used)";161.1;mm;
"Fundamental Winding Factor";0.9598;;
"Winding Factor Sum";0.01145;;
"Conductor Skin Depth";0;mm;
"Bundle Width (AC losses calc)";0;mm;
"Bundle Height (AC losses calc)";0;mm;
"Wire Ins Thickness";0.0779;mm;
"Copper Diameter";4.859;mm;
Conductors/Slot;4;;
"Armature End Winding MLT (Calculated)";257.8;mm;
"Armature End Winding MLT Factor (User adjustment)";1.5;;
"Armature End Winding MLT (Used)";386.7;mm;
"EWdg Bend Angle (Layer a)";27.03;MDeg;
"EWdg Bend Angle (Layer b)";28.66;MDeg;
"EWdg Bend Angle (Layer c)";30.52;MDeg;
"EWdg Bend Angle (Layer d)";32.66;MDeg;
"EWdg Length [Front] (Layer a)";2460;mm;
"EWdg Length [Front] (Layer b)";2342;mm;
"EWdg Length [Front] (Layer c)";2295;mm;
"EWdg Length [Front] (Layer d)";2173;mm;
"EWdg Length [Rear] (Layer a)";2329;mm;
"EWdg Length [Rear] (Layer b)";2366;mm;
"EWdg Length [Rear] (Layer c)";2087;mm;
"EWdg Length [Rear] (Layer d)";2222;mm;
"Copper Slot Fill (Wdg Area)";0.8083;;
"Wire Slot Fill (Slot Area)";0.7539;;
"Copper Slot Fill (Slot Area)";0.7077;;
"Heavy Build Slot Fill";0.8732;;
"Slot Area (Slot 1)";104.8;mm©÷;
"Winding Area (+ Liner) (Slot 1)";104.8;mm©÷;
"Slot Area (FEA)";104.8;mm©÷;
"Wedge Area";0.0279;mm©÷;
"Slot Opening Area";1.405;mm©÷;
"Liner-Lam Imp Area (Slot 1)";3.769;mm©÷;
"Impreg Area (Slot 1)";12.76;mm©÷;
"Liner Area (Slot 1)";9.246;mm©÷;
"Coil Divider Area (Slot 1)";0;mm©÷;
"Volume Copper EWdg Front";2.415E005;mm©ø;
"Volume Copper Active";4.293E005;mm©ø;
"Volume Copper EWdg Rear";2.771E005;mm©ø;

Miscellaneous
"FEA Mesh Nodes";9759;;
"FEA Mesh Elements";1.92E004;;
