Drive
"DC Bus Voltage";720;Volts;
"Line-Line Supply Voltage (rms)";509.1;Volts;
"Phase Supply Voltage (rms)";293.9;Volts;
"Line Current (rms)";500;Amps;
"Line Current (peak)";707.1;Amps;
"No Load Input active power";1.789E004;Watts;
"Fundamental Frequency";239.4;Hz;
"Synchronous speed";7182;rpm;
"Shaft Speed";7000;rpm;
Slip_(Motoring);0.02534;;
"Drive frequency";239.4;Hz;
"Slip Frequency";233.3;Hz;
"Mechanical Frequency";116.7;Hz;

E-Magnetics
"Airgap Torque (on load)";394.88;Nm;
"Shaft Torque";390.91;Nm;
"Output Mechanical Power_Operating point outside voltage limit.";2.8655E005;Watts;
"Input Active Electrical Power (from Power Balance)";3.134E005;Watts;
"Input Active Electrical Power (ideal)";3.1392E005;Watts;
"Total Losses (Analytic on load)";26849;Watts;
"Input Reactive Power (on load)";3.1184E005;VA;
"Apparent Power";4.4248E005;VA;
"Power Factor (on load) (Phasor)";0.70945;;
"Power Factor (on load) (from Power Balance)";0.70829;;
"System Efficiency";91.433;%;
"Rotor Inertia";0.026942;kg.m©÷;
"Shaft Inertia";0.00070575;kg.m©÷;
"Total Inertia";0.027648;kg.m©÷;
"Torque per rotor volume";203.96;kNm/m©ø;
"Rotor peripheral velocity (on load)";43.239;m/s;
"Magnetic Symmetry Factor";2;;
"Magnetic Axial Length";160.76;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.0364;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.0364;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";398.31;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";498.39;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";229.97;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";287.74;Volts;
"Stator Terminal Line Voltage (rms) (on load)";510.93;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";294.99;Volts;
"Voltage drop across stator phase resistance (rms)";10.342;Volts;
"Voltage drop across rotor leakage reactance (rms)";62.331;Volts;
"Ideal Back EMF Phase Voltage (rms)";30.427;Volts;
"Line Current (rms) (on load)";500;Amps;
"Phase Current (rms) (on load)";500;Amps;
"Referred Rotor Current (rms) (on load)";447.39;Amps;
"Rotor Bar Current (rms) (on load)";1236.7;Amps;
"Endring Current (rms) (on load)";4933.6;Amps;
"Magnetizing Current (no load)";65.612;Amps;
"Magnetizing Current (rms) (on load)";130.57;Amps;
"Core Loss Current (rms) (on load) (T circuit)";1.3147;Amps;
"Core Loss Current (rms) (on load) (L circuit)";1.0507;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated)";3.69;mH;
"Magnetizing Inductance (Saturated) (on load)";1.169;mH;
"Magnetizing Reactance (Unsaturated)";5.551;Ohms;
"Magnetizing Reactance (Saturated) (on load)";1.758;Ohms;
"Saturation Factor (on load)";0.3168;;
"Core Loss Resistance (no load)";1.745;Ohms;
"Core Loss Resistance (Analytic on load)";174.9;Ohms;
"Rotor to Stator Transform for Impedance";127.3;;
"Rotor to Stator Transform for Current";2.764;;
"Leakage Factor";1.105;;
"Phase Resistance";0.02068;Ohms;
"Rotor Bar Resistance (no skin effects)";8.006E-005;Ohms;
"Rotor Bar Resistance (skin effects)";8.071E-005;Ohms;
"Endring Resistance";5.561E-007;Ohms;
"Rotor Resistance (total)";9.841E-005;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.01019;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.01028;Ohms;
"Referred Endring Resistance";7.081E-005;Ohms;
"Referred Rotor Resistance (Total)";0.01253;Ohms;
"K Rotor";1.008;;
"K Endring";1.042;;
"Rotor Bar Cross sectional area";59.46;mm©÷;
"Top Rotor Bar cross sectional area";59.46;mm©÷;
"Rotor Endring Cross sectional area";338.8;mm©÷;
"Stator Slot Leakage Inductance";0.05686;mH;
"Stator Differential Leakage Inductance";0.04586;mH;
"Stator End Winding Inductance (Calculated)_(Rosa and Grover)";0.01016;mH;
"Armature End Winding Inductance Factor (User adjustment)";2;;
"Stator End Winding Inductance (Used)_(Rosa and Grover)";0.02031;mH;
"Stator Leakage Inductance (Total)";0.123;mH;
"Stator Slot Leakage Reactance";0.08553;Ohms;
"Stator Differential Leakage Reactance";0.06898;Ohms;
"Armature End Winding Reactance";0.03056;Ohms;
"Stator Leakage Reactance (Total)";0.1851;Ohms;
"Rotor Slot leakage inductance (top bar)";0.0005141;mH;
"Rotor Slot leakage inductance (bottom bar)";0;mH;
"Rotor Slot Leakage Inductance (Total)";0.0005141;mH;
"Rotor Differential Leakage Inductance";0.0001505;mH;
"End Ring Inductance (Liwshitz-Garick)";6.388E-005;mH;
"Inter-Bar End Ring Inductance";2.007E-006;mH;
"Rotor Leakage Inductance (Total)";0.0007273;mH;
"Referred End Ring Inductance (Liwshitz-Garick)";0.008135;mH;
"Referred Rotor Leakage Inductance (Total)";0.09262;mH;
"Rotor Slot Leakage Reactance";0.0007734;Ohms;
"Rotor Differential Leakage Reactance";0.0002264;Ohms;
"End Ring Reactance (Liwshitz-Garick)";9.609E-005;Ohms;
"Rotor Leakage Reactance (Total)";0.001094;Ohms;
"Referred Rotor Differential Leakage Reactance";0.02883;Ohms;
"Referred End Ring Reactance (Liwshitz-Garick)";0.01224;Ohms;
"Referred Rotor Leakage Reactance (Total)";0.1393;Ohms;
"T to L circuit conversion factor";1.105;;

Flux Densities
"Airgap Flux Density (mean) (Analytic on load)";0.6952;Tesla;
"Airgap Flux Density (peak) (Analytic on load)";0.9832;Tesla;
"Stator Tooth Flux Density (peak) (Analytic on load)";2.027;Tesla;
"Stator Back Iron Flux Density (peak) (Analytic on load)";1.615;Tesla;
"Rotor Tooth Flux Density (peak) (Analytic on load)";2.479;Tesla;
"Rotor Back Iron Flux Density (peak) (Analytic on load)";1.835;Tesla;
"Airgap flux density (mean) (FEA on load - skewed)";0.7154;Tesla;
"Airgap Flux Density (peak) (FEA on load - skewed)";1.367;Tesla;
"Stator Tooth Flux Density (peak) (FEA on load)";1.941;Tesla;
"Stator Tooth Tip Flux Density (peak) (FEA on load)";2.508;Tesla;
"Stator Back Iron Flux Density (peak) (FEA on load)";1.776;Tesla;
"Rotor Tooth Flux Density (peak) (FEA on load)";1.936;Tesla;
"Rotor Tooth Tip Flux Density (peak) (FEA on load)";2.704;Tesla;
"Rotor Back Iron Flux Density (peak) (FEA on load)";1.637;Tesla;

Single Load Point (FEA)
"Peak Current (FEA on load)";707.1;Amps;
"Core Loss Resistance";130.4;Ohms;
"Stored Magnetic Energy (FEA on load)";47.14;Joules;
"Stored Magnetic Conergy (FEA on load)";119.7;Joules;
"Peak Back EMF Phase Voltage (FEA on load)";350.5;Volts;
"Peak Back EMF Line Voltage (FEA on load)";649.6;Volts;
"Back EMF Phase Voltage (rms) (FEA on load)";257.8;Volts;
"Back EMF Line-Line Voltage (rms) (FEA on load)";446.8;Volts;
"D-Axis Flux Linkage (FEA on load)";168.9;mVs;
"Q-Axis Flux Linkage (FEA on load)";173.9;mVs;
"D-Axis Stator Current (FEA on load)";-6.94E-011;Amps;
"Q-Axis Stator Current (FEA on load)";707.1;Amps;
"Torque (Maxwell stress) (FEA on load)";353.3;Nm;
"Torque (Virtual work) (FEA on load)";353.2;Nm;
"Torque (Average) (FEA on load)";353.2;Nm;
"Torque (dq) (FEA on load)";358.4;Nm;
"Torque (Power balance) (FEA on load)";557.2;Nm;
"Torque Ripple (MsVw)";12.52;Nm;
"Torque Ripple (MsVw) [%]";3.543;%;
"Shaft Torque (FEA on load)";354.8;Nm;
"Output Power (FEA on load)";2.601E005;Watts;
"Input Power (FEA on load)";2.906E005;Watts;
"Power Factor (FEA on load)";0.7019;;
"System Efficiency (FEA on load)";89.48;%;
"Series Equivalent Resistance (FEA on load)";0.01161;Ohms;
"Series Equivalent Inductance (FEA on load)";0.2225;mH;
"Parallel Equivalent Resistance (FEA on load)";0.01673;Ohms;
"Parallel Equivalent Inductance (FEA on load)";0.07576;mH;
"Referred Rotor Bar Leakage Inductance (FEA on load)";0.02978;mH;
"Referred Rotor Bar Resistance (FEA on load)";0.01458;Ohms;
"Referred Rotor Leakage Inductance (FEA on load)";0.03792;mH;
"Referred Rotor Resistance (FEA on load)";0.01684;Ohms;
"Magnetizing Inductance (Unsaturated)";3.69;mH;
"Stator Slot leakage permeance factor";1.466;;
"Rotor Slot leakage permeance factor (top bar)";2.545;;
"Rotor Slot leakage permeance factor (bottom bar)";0;;
"Phase Inductance (FEA on load)";0.6061;mH;
"Stator leakage inductance";0.123;mH;
"Endring Resistance";5.561E-007;Ohms;
"End Ring Inductance (Liwshitz-Garick)";6.388E-005;mH;

Losses
"DC Stator Copper Losses (Analytic on load)";1.551E004;Watts;
"AC Loss (Total Proximity) (Hybrid)";2177;Watts;
"Rotor Bar Losses (FEA on load)";8709;Watts;
"Rotor Endring Losses (FEA on load)";1910;Watts;
"Rotor Cage Losses (FEA on load)";1.062E004;Watts;
"Stray Load Losses (FEA on load)";2627;Watts;
"Stator iron Loss [total] (adjusted) (on load)";1375;Watts;
"Rotor iron Loss [total] (on load)";154.1;Watts;
"Loss [Windage]";9.59;Watts;
"Friction Loss (user input)";0;Watts;
"Shaft Loss [total] (on load)";0;Watts;
"Total Losses (FEA on load)";3.056E004;Watts;
"Stator back iron Loss [hysteresis - fundamental] (on load)";190.9;Watts;
"Stator back iron Loss [hysteresis - minor loops] (on load)";2.214;Watts;
"Stator back iron Loss [hysteresis] (on load)";193.1;Watts;
"Stator back iron Loss [eddy] (on load)";132.7;Watts;
"Stator back iron Loss [excess] (on load)";98.28;Watts;
"Stator back iron Loss [total] (on load)";424;Watts;
"Stator back iron Loss [total] (adjusted) (on load)";848.1;Watts;
"Stator tooth Loss [hysteresis - fundamental] (on load)";69.93;Watts;
"Stator tooth Loss [hysteresis - minor loops] (on load)";22.35;Watts;
"Stator tooth Loss [hysteresis] (on load)";92.27;Watts;
"Stator tooth Loss [eddy] (on load)";113.9;Watts;
"Stator tooth Loss [excess] (on load)";57.13;Watts;
"Stator tooth Loss [total] (on load)";263.3;Watts;
"Stator tooth Loss [total] (adjusted) (on load)";526.6;Watts;
