Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line Current (rms)";289.1;Amps;
"Line Current (peak)";408.8;Amps;
"No Load Input active power";3.473;kW;
"Fundamental Frequency";326.6;Hz;
"Synchronous speed";6533;rpm;
"Shaft Speed";6500;rpm;
Slip_(Motoring);0.005;;
"Drive frequency";326.6;Hz;
"Slip Frequency";325;Hz;
"Mechanical Frequency";108.3;Hz;
"Skew factor of first harmonic";0.9971;;

E-Magnetics
"Airgap Torque (on load)";174.88;Nm;
"Shaft Torque";173.13;Nm;
"Output Mechanical Power_Operating point outside voltage limit.";117.85;kW;
"Input Active Electrical Power (from Power Balance)";122.84;kW;
"Input Active Electrical Power (ideal)";122.93;kW;
"Input Reactive Power (on load)";92593;VA;
"Apparent Power";1.539E005;VA;
"Power Factor (on load) (Phasor)";0.79876;;
"Power Factor (on load) (from Power Balance)";0.79822;;
"System Efficiency";95.934;%;
"Rotor Inertia";0.10197;kg.m©÷;
"Shaft Inertia";0.0019847;kg.m©÷;
"Total Inertia";0.10395;kg.m©÷;
"Torque per rotor volume";61.289;kNm/m©ø;
"Rotor peripheral velocity (on load)";59.219;m/s;
"Magnetic Symmetry Factor";3;;
"Magnetic Axial Length";120;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2728;;
"Rotor Carter Coefficient";1;;
"Total Carter Coefficient";1.2728;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";289.74;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";303.59;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";167.28;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";175.28;Volts;
"Stator Terminal Line Voltage (rms) (on load)";307.34;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";177.45;Volts;
"Voltage drop across stator phase resistance (rms)";2.7218;Volts;
"Voltage drop across rotor leakage reactance (rms)";17.395;Volts;
"Ideal Back EMF Phase Voltage (rms)";64.745;Volts;
"Line Current (rms) (on load)";289.1;Amps;
"Phase Current (rms) (on load)";289.1;Amps;
"Referred Rotor Current (rms) (on load)";239.7;Amps;
"Rotor Bar Current (rms) (on load)";294.3;Amps;
"Endring Current (rms) (on load)";1314.2;Amps;
"Magnetizing Current (no load)";104.98;Amps;
"Magnetizing Current (rms) (on load)";136.13;Amps;
"Core Loss Current (rms) (on load) (T circuit)";1.6856;Amps;
"Core Loss Current (rms) (on load) (L circuit)";1.6088;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";1.3;mH;
"Magnetizing Inductance (Unsaturated)";1.3;mH;
"Magnetizing Inductance (Saturated) (on load)";0.5996;mH;
"Magnetizing Reactance (Unsaturated)";2.668;Ohms;
"Magnetizing Reactance (Saturated) (on load)";1.231;Ohms;
"Saturation Factor (on load)";0.4613;;
"Core Loss Resistance (no load)";6.101;Ohms;
"Core Loss Resistance (Analytic on load)";99.24;Ohms;
"Rotor to Stator Transform for Impedance";42.21;;
"Rotor to Stator Transform for Current";1.228;;
"Leakage Factor";1.039;;
"Phase Resistance";0.009415;Ohms;
"Rotor Bar Resistance (no skin effects)";7.115E-005;Ohms;
"Rotor Bar Resistance (skin effects)";7.121E-005;Ohms;
"Endring Resistance";2.643E-007;Ohms;
"Rotor Resistance (total)";8.175E-005;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.003003;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.003006;Ohms;
"Referred Endring Resistance";1.115E-005;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.00347;Ohms;
"K Rotor";1.001;;
"K Endring";1.099;;
"Rotor Bar Cross sectional area";42.95;mm©÷;
"Top Rotor Bar cross sectional area";42.95;mm©÷;
"Rotor Endring Cross sectional area";600;mm©÷;
"Stator Slot Leakage Inductance";0.01504;mH;
