Drive
"DC Bus Voltage";350;Volts;
"Line-Line Supply Voltage (rms)";247.5;Volts;
"Phase Supply Voltage (rms)";247.5;Volts;
"Back EMF Line-Line Voltage (peak)";21.2;Volts;
"Back EMF Phase Voltage (peak)";21.2;Volts;
"Back EMF Line-Line Voltage (rms)";14.99;Volts;
"Back EMF Phase Voltage (rms)";14.99;Volts;
"Max Line-Line / Phase Voltage Ratio";1;;
"Line Current (peak)";707.1;Amps;
"Line Current (rms)";500;Amps;
"Phase Current (peak)";408.2;Amps;
"Phase Current (rms)";288.7;Amps;
"Phase Advance";45;EDeg;
"Drive Offset Angle (Open Circuit)";390;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";34.95;EDeg;
"Phasor Offset Angle";330;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"D Axis Inductance";0.2415;mH;
"Q Axis Inductance";0.448;mH;
"Line-Line Inductance (DQ)";0.2298;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.004178;mH;
"D Axis Phase Current (single point rms)";-204.1;Amps;
"Q Axis Phase Current (single point rms)";204.1;Amps;
"Back EMF Constant (Ke) (fundamental)";0.4048;Vs/Rad;
"Electrical Constant";21.31;msec;
"Electrical Loading";1.736E005;Amps/m;
"Stall Current";3.245E004;Amps;
"Stall Torque";0;Nm;
"Short Circuit Line Current (peak)";359.4;Amps;
"Short Circuit Current Density (peak)";11.29;Amps/mm©÷;
"Short Circuit Current Density (rms)";7.982;Amps/mm©÷;
"Short Circuit Braking Torque";-19.96;Nm;
"Short Circuit Max Braking Torque";-69.43;Nm;
"Short Circuit Max Braking Torque Speed";76.57;rpm;
"Fundamental Frequency";66.67;Hz;
"Shaft Speed";500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 34.95 EDeg)";397.2;Nm;
"Single point torque (DQ)_(For Phase Advance of 45 EDeg)";381.88;Nm;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";3159.3;rpm;
"No load speed";8255.6;rpm;
"Speed limit for zero q axis current";8709.9;rpm;
"Electromagnetic Power";20797;Watts;
"Power Factor [Waveform] (lagging)";0;;
"Power Factor Angle [Waveform]";0;EDeg;
"Power Factor [THD]";0;;
"Power Factor [Phasor] (lagging)";0.66913;;
"Power Factor Angle [Phasor]";48;EDeg;
"Load Angle [Phasor]";93.237;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";41.677;Volts;
"Rotor Inertia";0.1782;kg.m©÷;
"Shaft Inertia";0.0089902;kg.m©÷;
"Total Inertia";0.18719;kg.m©÷;
"Torque per rotor volume";87.445;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.7072;m/s;
"Flux Linkage D (Q axis current)";50.6061;mVs;
"Flux Linkage Q (Q axis current)";122.096;mVs;
"Flux linkage D (On load)";-19.0953;mVs;
"Flux linkage Q (On load)";129.333;mVs;
"Back EMF Constant (Ke) (fundamental)";0.404849;Vs/Rad;
"Stall Current";32446.5;Amps;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";400;Hz;
"Fundamental Frequency";66.6667;Hz;
"Mechanical Frequency";8.33333;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";117;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 34.95 EDeg)";397.2;Nm;
"Single point torque (DQ)_(For Phase Advance of 45 EDeg)";381.88;Nm;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";3159.3;rpm;
"No load speed";8255.6;rpm;
"Speed limit for zero q axis current";8709.9;rpm;
"Electromagnetic Power";20797;Watts;
"Power Factor [Waveform] (lagging)";0;;
"Power Factor Angle [Waveform]";0;EDeg;
"Power Factor [THD]";0;;
"Power Factor [Phasor] (lagging)";0.66913;;
"Power Factor Angle [Phasor]";48;EDeg;
"Load Angle [Phasor]";93.237;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";41.677;Volts;
"Rotor Inertia";0.1782;kg.m©÷;
"Shaft Inertia";0.0089902;kg.m©÷;
"Total Inertia";0.18719;kg.m©÷;
"Torque per rotor volume";87.445;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.7072;m/s;
"Flux Linkage D (Q axis current)";50.6061;mVs;
"Flux Linkage Q (Q axis current)";122.096;mVs;
