Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";41.6;Volts;
"Line-Line Terminal Voltage (rms)";29.63;Volts;
"Phase Terminal Voltage (peak)";22.91;Volts;
"Phase Terminal Voltage (rms)";17.14;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.411;%;
"Harmonic Distortion Phase Terminal Voltage";6.522;%;
"Back EMF Line-Line Voltage (peak)";39.45;Volts;
"Back EMF Phase Voltage (peak)";22.78;Volts;
"Back EMF Line-Line Voltage (rms)";27.89;Volts;
"Back EMF Phase Voltage (rms)";16.1;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";8.755;Amps;
"Line Current (peak)";11.62;Amps;
"Line Current (rms)";8.22;Amps;
"Phase Current (peak)";11.62;Amps;
"Phase Current (rms)";8.22;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.4132;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1142;mH;
"Q Axis Inductance";0.1232;mH;
"Line-Line Inductance (DQ)";0.2373;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008396;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";8.22;Amps;
"Torque Constant (Kt)";0.1084;Nm/A;
"Motor Constant (Km)";0.262;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1256;Vs/Rad;
"Electrical Constant";1.039;msec;
"Electrical Loading";1.61E004;Amps/m;
"Stall Current";210.2;Amps;
"Stall Torque";22.78;Nm;
"Short Circuit Line Current (peak)";107.2;Amps;
"Short Circuit Current Density (peak)";112.8;Amps/mm©÷;
"Short Circuit Current Density (rms)";79.76;Amps/mm©÷;
"Short Circuit Braking Torque";-6.265;Nm;
"Short Circuit Max Braking Torque";-6.916;Nm;
"Short Circuit Max Braking Torque Speed";1910;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.4132 EDeg)";1.2642;Nm;
"Average torque (Maxwell stress)";1.2602;Nm;
"Average torque (loop torque)";1.2617;Nm;
"Torque Ripple (MsVw)";0.098929;Nm;
"Torque Ripple (MsVw) [%]";7.8493;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3459.5;rpm;
"No load speed";3650.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";395.95;Watts;
"Input Power";420.26;Watts;
"Total Losses (on load)";30.881;Watts;
"Output Power";389.38;Watts;
"System Efficiency";92.652;%;
"Shaft Torque";1.2394;Nm;
"Power Factor [Waveform] (lagging)";0.99578;;
"Power Factor Angle [Waveform]";5.2671;EDeg;
"Power Factor [THD]";0.99367;;
"Power Factor [Phasor] (lagging)";0.99619;;
"Power Factor Angle [Phasor]";5;EDeg;
"Load Angle [Phasor]";5.3301;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.117;Volts;
"Rotor Inertia";9.3126E-005;kg.m©÷;
"Shaft Inertia";0.00010945;kg.m©÷;
"Total Inertia";0.00020258;kg.m©÷;
"Torque per rotor volume";19.949;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.4195;m/s;
"Flux Linkage D (Q axis current)";14.4993;mVs;
"Flux Linkage Q (Q axis current)";1.43396;mVs;
"Flux linkage D (On load)";14.4977;mVs;
"Flux linkage Q (On load)";1.4144;mVs;
"Torque Constant (Kt)";0.108419;Nm/A;
"Motor Constant (Km)";0.261952;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.125568;Vs/Rad;
"Stall Current";210.155;Amps;
"Stall Torque";22.7847;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";26.88;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0.4132 EDeg)";1.2642;Nm;
"Average torque (Maxwell stress)";1.2602;Nm;
"Average torque (loop torque)";1.2617;Nm;
"Torque Ripple (MsVw)";0.098929;Nm;
"Torque Ripple (MsVw) [%]";7.8493;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3459.5;rpm;
"No load speed";3650.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";395.95;Watts;
"Input Power";420.26;Watts;
"Total Losses (on load)";30.881;Watts;
"Output Power";389.38;Watts;
"System Efficiency";92.652;%;
