Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";33.94;Volts;
"Line-Line Terminal Voltage (peak)";10.79;Volts;
"Line-Line Terminal Voltage (rms)";7.604;Volts;
"Phase Terminal Voltage (peak)";10.79;Volts;
"Phase Terminal Voltage (rms)";7.604;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";9.84;%;
"Harmonic Distortion Phase Terminal Voltage";9.84;%;
"Back EMF Line-Line Voltage (peak)";7.334;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";7.601;Volts;
"Back EMF Phase Voltage (peak)";7.334;Volts;
"Back EMF Line-Line Voltage (rms)";5.378;Volts;
"Back EMF Phase Voltage (rms)";5.378;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";3.618;%;
"Harmonic Distortion Back EMF Phase Voltage";3.618;%;
"Max Line-Line / Phase Voltage Ratio";1;;
"DC Supply Current (mean)";4.484;Amps;
"Line Current (peak)";24.89;Amps;
"Line Current (rms)";17.6;Amps;
"Phase Current (peak)";14.37;Amps;
"Phase Current (rms)";10.16;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";6.146;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"D Axis Inductance";0.1083;mH;
"Q Axis Inductance";0.1469;mH;
"Line-Line Inductance (DQ)";0.08507;mH;
"Self Inductance";0.1805;mH;
"Mutual Inductance";-0.01288;mH;
"Line-Line Inductance";0.1289;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005519;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";10.16;Amps;
"Torque Constant (Kt)";0.05809;Nm/A;
"Motor Constant (Km)";0.1827;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.07004;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.07258;Vs/Rad;
"Electrical Constant";0.631;msec;
"Mechanical Constant";2.478;msec;
"Electrical Loading";6.062E004;Amps/m;
"Stall Current";356;Amps;
"Stall Torque";20.68;Nm;
"Short Circuit Line Current (peak)";50.62;Amps;
"Short Circuit Current Density (peak)";72.68;Amps/mm©÷;
"Short Circuit Current Density (rms)";51.39;Amps/mm©÷;
"Short Circuit Braking Torque";-2.474;Nm;
"Short Circuit Max Braking Torque";-2.546;Nm;
"Short Circuit Max Braking Torque Speed";1266;rpm;
"Fundamental Frequency";233.3;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 6.146 EDeg)";1.5381;Nm;
"Average torque (virtual work)";1.5003;Nm;
"Average torque (loop torque)";1.5068;Nm;
"Torque Ripple (MsVw)";0.089592;Nm;
"Torque Ripple (MsVw) [%]";6.1963;%;
"Cogging Torque Ripple (Vw)";0.0331;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";5629.8;rpm;
"No load speed";6544.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";151.41;Watts;
"Input Power";215.23;Watts;
"Total Losses (on load)";66.795;Watts;
"Output Power";148.44;Watts;
"System Efficiency";68.966;%;
"Shaft Torque";1.4175;Nm;
"Power Factor [Waveform] (leading)";0.96008;;
"Power Factor Angle [Waveform]";16.243;EDeg;
"Power Factor [THD]";0.95547;;
"Power Factor [Phasor] (leading)";0.96126;;
"Power Factor Angle [Phasor]";16;EDeg;
"Load Angle [Phasor]";16.408;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";7.7487;Volts;
"Rotor Inertia";4.9864E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.9864E-005;kg.m©÷;
"Torque per rotor volume";191.78;kNm/m©ø;
"Rotor peripheral velocity (on load)";3.2515;m/s;
"Flux Linkage D (Q axis current)";5.06672;mVs;
"Flux Linkage Q (Q axis current)";2.05432;mVs;
"Flux linkage D (On load)";5.02962;mVs;
"Flux linkage Q (On load)";2.06075;mVs;
"Torque Constant (Kt)";0.0580915;Nm/A;
"Motor Constant (Km)";0.182687;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.0700391;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.0725837;Vs/Rad;
"Stall Current";356.035;Amps;
"Stall Torque";20.6826;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";2800;Hz;
"Fundamental Frequency";233.333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";10;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 6.146 EDeg)";1.5381;Nm;
"Average torque (virtual work)";1.5003;Nm;
