Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";197.5;Volts;
"Line-Line Terminal Voltage (rms)";137.3;Volts;
"Phase Terminal Voltage (peak)";105.8;Volts;
"Phase Terminal Voltage (rms)";79.31;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.531;%;
"Harmonic Distortion Phase Terminal Voltage";4.359;%;
"Back EMF Line-Line Voltage (peak)";192.9;Volts;
"Back EMF Phase Voltage (peak)";111.3;Volts;
"Back EMF Line-Line Voltage (rms)";136.4;Volts;
"Back EMF Phase Voltage (rms)";78.73;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";8.343;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";126;EDeg;
"Drive Offset Angle (On load)";126;EDeg;
"Phase Advance to give maximum torque";0.16;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1808;mH;
"Q Axis Inductance";0.1931;mH;
"Line-Line Inductance (DQ)";0.3739;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.001255;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.536;Amps;
"Torque Constant (Kt)";0.5125;Nm/A;
"Motor Constant (Km)";0.894;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.6139;Vs/Rad;
"Electrical Constant";0.8534;msec;
"Electrical Loading";5432;Amps/m;
"Stall Current";228.3;Amps;
"Stall Torque";117;Nm;
"Short Circuit Line Current (peak)";119.1;Amps;
"Short Circuit Current Density (peak)";100.3;Amps/mm©÷;
"Short Circuit Current Density (rms)";70.93;Amps/mm©÷;
"Short Circuit Braking Torque";-14.85;Nm;
"Short Circuit Max Braking Torque";-32.61;Nm;
"Short Circuit Max Braking Torque Speed";723.2;rpm;
"Fundamental Frequency";800;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.16 EDeg)";2.6582;Nm;
"Average torque (virtual work)";2.5823;Nm;
"Average torque (loop torque)";2.6326;Nm;
"Torque Ripple (MsVw)";0.51061;Nm;
"Torque Ripple (MsVw) [%]";19.928;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";1524.6;rpm;
"No load speed";1555.5;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";804.98;Watts;
"Input Power";834.3;Watts;
"Total Losses (on load)";253.8;Watts;
"Output Power_Operating point outside voltage limit.";580.5;Watts;
"System Efficiency";69.579;%;
"Shaft Torque";1.8478;Nm;
"Power Factor [Waveform] (leading)";0.99912;;
"Power Factor Angle [Waveform]";2.4;EDeg;
"Power Factor [THD]";0.99818;;
"Power Factor [Phasor] (leading)";0.99939;;
"Power Factor Angle [Phasor]";2;EDeg;
"Load Angle [Phasor]";2.4719;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";79.583;Volts;
"Rotor Inertia";0.0010799;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";0.0010799;kg.m©÷;
"Torque per rotor volume";24.174;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.692;m/s;
"Flux Linkage D (Open circuit)";22.1442;mVs;
"Flux Linkage Q (Open circuit)";-0.0547397;mVs;
"Flux Linkage D (Q axis current)";22.1519;mVs;
"Flux Linkage Q (Q axis current)";0.966809;mVs;
"Flux linkage D (On load)";22.0992;mVs;
"Flux linkage Q (On load)";0.932121;mVs;
"Torque Constant (Kt)";0.512465;Nm/A;
"Motor Constant (Km)";0.894005;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.613893;Vs/Rad;
"Stall Current";228.251;Amps;
"Stall Torque";116.971;Nm;
"Cogging Period";0.75;MDeg;
"Cogging Frequency";24000;Hz;
"Fundamental Frequency";800;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";0.75;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";90;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0.16 EDeg)";2.6582;Nm;
"Average torque (virtual work)";2.5823;Nm;
"Average torque (loop torque)";2.6326;Nm;
"Torque Ripple (MsVw)";0.51061;Nm;
"Torque Ripple (MsVw) [%]";19.928;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";1524.6;rpm;
"No load speed";1555.5;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";804.98;Watts;
"Input Power";834.3;Watts;
"Total Losses (on load)";253.8;Watts;
"Output Power_Operating point outside voltage limit.";580.5;Watts;
"System Efficiency";69.579;%;
"Shaft Torque";1.8478;Nm;
"Power Factor [Waveform] (leading)";0.99912;;
"Power Factor Angle [Waveform]";2.4;EDeg;
"Power Factor [THD]";0.99818;;
"Power Factor [Phasor] (leading)";0.99939;;
"Power Factor Angle [Phasor]";2;EDeg;
"Load Angle [Phasor]";2.4719;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";79.583;Volts;
"Rotor Inertia";0.0010799;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";0.0010799;kg.m©÷;
"Torque per rotor volume";24.174;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.692;m/s;
"Flux Linkage D (Open circuit)";22.1442;mVs;
"Flux Linkage Q (Open circuit)";-0.0547397;mVs;
"Flux Linkage D (Q axis current)";22.1519;mVs;
"Flux Linkage Q (Q axis current)";0.966809;mVs;
"Flux linkage D (On load)";22.0992;mVs;
"Flux linkage Q (On load)";0.932121;mVs;
"Torque Constant (Kt)";0.512465;Nm/A;
"Motor Constant (Km)";0.894005;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.613893;Vs/Rad;
"Stall Current";228.251;Amps;
"Stall Torque";116.971;Nm;
"Cogging Period";0.75;MDeg;
"Cogging Frequency";24000;Hz;
"Fundamental Frequency";800;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";0.75;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";90;mm;

Flux Densities
"Airgap flux density (mean)";0.6193;Tesla;
"Airgap Flux Density (peak)";0.8409;Tesla;
"Stator Tooth Flux Density (peak)";1.636;Tesla;
"Stator Tooth Tip Flux Density (peak)";2.02;Tesla;
"Stator Back Iron Flux Density (peak)";1.295;Tesla;
"Rotor Back Iron Flux Density (peak)";1.558;Tesla;

Losses
"Armature DC Copper Loss (on load)";8.215;Watts;
"Magnet Loss (on load)";21.11;Watts;
"Stator iron Loss [total] (on load)";220.8;Watts;
"Rotor iron Loss [total] (on load)";3.662;Watts;
"Windage Loss (user input)";0;Watts;
"Friction Loss (user input)";0;Watts;
"Shaft Loss [total] (on load)";0;Watts;
"Total Losses (on load)";253.8;Watts;
"Magnet Block Width";7.47;mm;
"Magnet Loss Factor";0.7449;;
"Magnet Loss (on load)";21.11;Watts;
"Stator back iron Loss [hysteresis - fundamental] (on load)";10.2;Watts;
"Stator back iron Loss [hysteresis - minor loops] (on load)";0.1415;Watts;
"Stator back iron Loss [hysteresis] (on load)";10.34;Watts;
"Stator back iron Loss [eddy] (on load)";27.24;Watts;
