Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";33.94;Volts;
"Line-Line Terminal Voltage (peak)";15.53;Volts;
"Line-Line Terminal Voltage (rms)";11.32;Volts;
"Phase Terminal Voltage (peak)";15.53;Volts;
"Phase Terminal Voltage (rms)";11.32;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";9.326;%;
"Harmonic Distortion Phase Terminal Voltage";9.326;%;
"Back EMF Line-Line Voltage (peak)";10.56;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";11.53;Volts;
"Back EMF Phase Voltage (peak)";10.56;Volts;
"Back EMF Line-Line Voltage (rms)";8.187;Volts;
"Back EMF Phase Voltage (rms)";8.187;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";8.668;%;
"Harmonic Distortion Back EMF Phase Voltage";8.668;%;
"Max Line-Line / Phase Voltage Ratio";1;;
"DC Supply Current (mean)";10.54;Amps;
"Line Current (peak)";38.18;Amps;
"Line Current (rms)";27;Amps;
"Phase Current (peak)";22.05;Amps;
"Phase Current (rms)";15.59;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";2.504;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"D Axis Inductance";0.09031;mH;
"Q Axis Inductance";0.1005;mH;
"Line-Line Inductance (DQ)";0.06361;mH;
"Self Inductance";0.1165;mH;
"Mutual Inductance";-0.007458;mH;
"Line-Line Inductance";0.08266;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.004891;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";15.59;Amps;
"Torque Constant (Kt)";0.09201;Nm/A;
"Motor Constant (Km)";0.3097;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1008;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1101;Vs/Rad;
"Electrical Constant";0.5404;msec;
"Mechanical Constant";4.887;msec;
"Electrical Loading";6.719E004;Amps/m;
"Stall Current";407.8;Amps;
"Stall Torque";37.52;Nm;
"Short Circuit Line Current (peak)";73.7;Amps;
"Short Circuit Current Density (peak)";75.25;Amps/mm©÷;
"Short Circuit Current Density (rms)";53.21;Amps/mm©÷;
"Short Circuit Braking Torque";-4.579;Nm;
"Short Circuit Max Braking Torque";-4.611;Nm;
"Short Circuit Max Braking Torque Speed";888.7;rpm;
"Fundamental Frequency";350;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 2.504 EDeg)";3.5692;Nm;
"Average torque (virtual work)";3.5186;Nm;
"Average torque (loop torque)";3.5738;Nm;
"Torque Ripple (MsVw)";0.24861;Nm;
"Torque Ripple (MsVw) [%]";7.0763;%;
"Cogging Torque Ripple (Vw)";0.16389;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3610.2;rpm;
"No load speed";4547.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";367.91;Watts;
"Input Power";505.91;Watts;
"Total Losses (on load)";142.67;Watts;
"Output Power";363.24;Watts;
"System Efficiency";71.799;%;
"Shaft Torque";3.4687;Nm;
"Power Factor [Waveform] (leading)";0.95476;;
"Power Factor Angle [Waveform]";17.301;EDeg;
"Power Factor [THD]";0.95063;;
"Power Factor [Phasor] (leading)";0.9563;;
"Power Factor Angle [Phasor]";17;EDeg;
"Load Angle [Phasor]";17.486;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";11.469;Volts;
"Rotor Inertia";0.00025669;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";0.00025669;kg.m©÷;
"Torque per rotor volume";157.75;kNm/m©ø;
"Rotor peripheral velocity (on load)";4.8223;m/s;
"Flux Linkage D (Q axis current)";5.13482;mVs;
"Flux Linkage Q (Q axis current)";2.16959;mVs;
"Flux linkage D (On load)";5.1558;mVs;
"Flux linkage Q (On load)";2.15586;mVs;
"Torque Constant (Kt)";0.0920109;Nm/A;
"Motor Constant (Km)";0.30968;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.100798;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.110147;Vs/Rad;
"Stall Current";407.804;Amps;
"Stall Torque";37.5224;Nm;
"Cogging Period";1.42857;MDeg;
"Cogging Frequency";4200;Hz;
"Fundamental Frequency";350;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";1.42857;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";3;;
"Magnetic Axial Length (Slice1)";9.5;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 2.504 EDeg)";3.5692;Nm;
"Average torque (virtual work)";3.5186;Nm;
"Average torque (loop torque)";3.5738;Nm;
