Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";417.2;Volts;
"Line-Line Terminal Voltage (rms)";251.3;Volts;
"Phase Terminal Voltage (peak)";230.1;Volts;
"Phase Terminal Voltage (rms)";148;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";12.75;%;
"Harmonic Distortion Phase Terminal Voltage";23.93;%;
"Back EMF Line-Line Voltage (peak)";285.1;Volts;
"Back EMF Phase Voltage (peak)";164.6;Volts;
"Back EMF Line-Line Voltage (rms)";201.6;Volts;
"Back EMF Phase Voltage (rms)";116.4;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";812.2;Amps;
"Line Current (peak)";1273;Amps;
"Line Current (rms)";900.1;Amps;
"Phase Current (peak)";1273;Amps;
"Phase Current (rms)";900.1;Amps;
"Phase Advance";10;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";7.332;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.03439;mH;
"Q Axis Inductance";0.04066;mH;
"Line-Line Inductance (DQ)";0.07987;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.001483;mH;
"D Axis Phase Current (average rms)";-156.3;Amps;
"Q Axis Phase Current (average rms)";886.5;Amps;
"Torque Constant (Kt)";0.3638;Nm/A;
"Motor Constant (Km)";4.84;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.4188;Vs/Rad;
"Electrical Constant";9.961;msec;
"Electrical Loading";1.407E005;Amps/m;
"Stall Current";5.309E004;Amps;
"Stall Torque";1.932E004;Nm;
"Short Circuit Line Current (peak)";1539;Amps;
"Short Circuit Current Density (peak)";43.19;Amps/mm©÷;
"Short Circuit Current Density (rms)";30.54;Amps/mm©÷;
"Short Circuit Braking Torque";-19.65;Nm;
"Short Circuit Max Braking Torque";-279.3;Nm;
"Short Circuit Max Braking Torque Speed";229.1;rpm;
"Fundamental Frequency";433.3;Hz;
"Shaft Speed";6500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 7.332 EDeg)";465.63;Nm;
"Average torque (MsVw)";463.17;Nm;
"Average torque (DQ)";465.09;Nm;
"Average torque (loop torque)";461.7;Nm;
"Torque Ripple (MsVw)";73.731;Nm;
"Torque Ripple (MsVw) [%]";15.919;%;
"Speed limit for constant torque_(For Phase Advance of 10 EDeg)";7379.5;rpm;
"No load speed";9120.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";3.1527E005;Watts;
"Input Power";3.3287E005;Watts;
"Total Losses (on load)";20632;Watts;
"Output Power";3.1224E005;Watts;
"System Efficiency";93.802;%;
"Shaft Torque";458.71;Nm;
"Power Factor [Waveform] (lagging)";0.83662;;
"Power Factor Angle [Waveform]";33.215;EDeg;
"Power Factor [THD]";0.81366;;
"Power Factor [Phasor] (lagging)";0.83867;;
"Power Factor Angle [Phasor]";33;EDeg;
"Load Angle [Phasor]";43.212;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";144.18;Volts;
"Rotor Inertia";0.03691;kg.m©÷;
"Shaft Inertia";0.00039144;kg.m©÷;
"Total Inertia";0.037301;kg.m©÷;
"Torque per rotor volume";187.87;kNm/m©ø;
"Rotor peripheral velocity (on load)";49.233;m/s;
"Flux Linkage D (Q axis current)";60.447;mVs;
"Flux Linkage Q (Q axis current)";47.1724;mVs;
"Flux linkage D (On load)";52.8444;mVs;
"Flux linkage Q (On load)";50.9691;mVs;
"Torque Constant (Kt)";0.363842;Nm/A;
