Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";362;Volts;
"Line-Line Terminal Voltage (rms)";233.8;Volts;
"Phase Terminal Voltage (peak)";206.9;Volts;
"Phase Terminal Voltage (rms)";136.6;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";8.671;%;
"Harmonic Distortion Phase Terminal Voltage";17.67;%;
"Back EMF Line-Line Voltage (peak)";289.1;Volts;
"Back EMF Phase Voltage (peak)";166.9;Volts;
"Back EMF Line-Line Voltage (rms)";204.5;Volts;
"Back EMF Phase Voltage (rms)";118;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";657.1;Amps;
"Line Current (peak)";1008;Amps;
"Line Current (rms)";712.8;Amps;
"Phase Current (peak)";1008;Amps;
"Phase Current (rms)";712.8;Amps;
"Phase Advance";10;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";9.24;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.02968;mH;
"Q Axis Inductance";0.03998;mH;
"Line-Line Inductance (DQ)";0.07162;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.001483;mH;
"D Axis Phase Current (average rms)";-123.8;Amps;
"Q Axis Phase Current (average rms)";701.9;Amps;
"Torque Constant (Kt)";0.3718;Nm/A;
"Motor Constant (Km)";4.946;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.4248;Vs/Rad;
"Electrical Constant";9.245;msec;
"Electrical Loading";1.114E005;Amps/m;
"Stall Current";5.309E004;Amps;
"Stall Torque";1.974E004;Nm;
"Short Circuit Line Current (peak)";1909;Amps;
"Short Circuit Current Density (peak)";53.6;Amps/mm©÷;
"Short Circuit Current Density (rms)";37.9;Amps/mm©÷;
"Short Circuit Braking Torque";-30.27;Nm;
"Short Circuit Max Braking Torque";-355.3;Nm;
"Short Circuit Max Braking Torque Speed";279.7;rpm;
"Fundamental Frequency";433.3;Hz;
"Shaft Speed";6500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 9.24 EDeg)";375.95;Nm;
"Average torque (MsVw)";374.79;Nm;
"Average torque (DQ)";375.91;Nm;
"Average torque (loop torque)";373.17;Nm;
"Torque Ripple (MsVw)";64.836;Nm;
"Torque Ripple (MsVw) [%]";17.299;%;
"Speed limit for constant torque_(For Phase Advance of 10 EDeg)";7902;rpm;
"No load speed";8992.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";2.5511E005;Watts;
"Input Power";2.7083E005;Watts;
"Total Losses (on load)";18258;Watts;
"Output Power";2.5257E005;Watts;
"System Efficiency";93.258;%;
"Shaft Torque";371.05;Nm;
"Power Factor [Waveform] (lagging)";0.90791;;
"Power Factor Angle [Waveform]";24.782;EDeg;
"Power Factor [THD]";0.89406;;
"Power Factor [Phasor] (lagging)";0.90631;;
"Power Factor Angle [Phasor]";25;EDeg;
"Load Angle [Phasor]";34.781;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";134.76;Volts;
"Rotor Inertia";0.035989;kg.m©÷;
"Shaft Inertia";0.00039144;kg.m©÷;
"Total Inertia";0.036381;kg.m©÷;
"Torque per rotor volume";152.02;kNm/m©ø;
"Rotor peripheral velocity (on load)";49.233;m/s;
"Flux Linkage D (Q axis current)";61.3115;mVs;
"Flux Linkage Q (Q axis current)";37.4528;mVs;
"Flux linkage D (On load)";56.1163;mVs;
"Flux linkage Q (On load)";39.6855;mVs;
"Torque Constant (Kt)";0.371818;Nm/A;
