Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";321.4;Volts;
"Line-Line Terminal Voltage (rms)";209.2;Volts;
"Phase Terminal Voltage (peak)";187.8;Volts;
"Phase Terminal Voltage (rms)";121;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";9.356;%;
"Harmonic Distortion Phase Terminal Voltage";11.32;%;
"Back EMF Line-Line Voltage (peak)";255.8;Volts;
"Back EMF Phase Voltage (peak)";147.7;Volts;
"Back EMF Line-Line Voltage (rms)";180.9;Volts;
"Back EMF Phase Voltage (rms)";104.4;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";239.6;Amps;
"Line Current (peak)";427.8;Amps;
"Line Current (rms)";302.5;Amps;
"Phase Current (peak)";427.8;Amps;
"Phase Current (rms)";302.5;Amps;
"Phase Advance";-11.13;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.05792;mH;
"Q Axis Inductance";0.04552;mH;
"Line-Line Inductance (DQ)";0.1027;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.001483;mH;
"D Axis Phase Current (average rms)";58.39;Amps;
"Q Axis Phase Current (average rms)";296.8;Amps;
"Torque Constant (Kt)";0.3243;Nm/A;
"Motor Constant (Km)";4.313;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.3758;Vs/Rad;
"Electrical Constant";13.73;msec;
"Electrical Loading";4.727E004;Amps/m;
"Stall Current";5.309E004;Amps;
"Stall Torque";1.721E004;Nm;
"Short Circuit Line Current (peak)";941.5;Amps;
"Short Circuit Current Density (peak)";26.43;Amps/mm©÷;
"Short Circuit Current Density (rms)";18.69;Amps/mm©÷;
"Short Circuit Braking Torque";-7.36;Nm;
"Short Circuit Max Braking Torque";-155.5;Nm;
"Short Circuit Max Braking Torque Speed";156.7;rpm;
"Fundamental Frequency";433.3;Hz;
"Shaft Speed";6500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";139.24;Nm;
"Average torque (MsVw)";138.72;Nm;
"Average torque (DQ)";139.2;Nm;
"Average torque (loop torque)";138.19;Nm;
"Torque Ripple (MsVw)";42.921;Nm;
"Torque Ripple (MsVw) [%]";30.942;%;
"Speed limit for constant torque_(For Phase Advance of -11.13 EDeg)";8831.4;rpm;
"No load speed";10163;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";94421;Watts;
"Input Power";97308;Watts;
"Total Losses (on load)";4834.7;Watts;
"Output Power";92474;Watts;
"System Efficiency";95.032;%;
"Shaft Torque";135.86;Nm;
"Power Factor [Waveform] (lagging)";0.87627;;
"Power Factor Angle [Waveform]";28.805;EDeg;
"Power Factor [THD]";0.87071;;
"Power Factor [Phasor] (lagging)";0.87462;;
"Power Factor Angle [Phasor]";29;EDeg;
"Load Angle [Phasor]";17.674;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";120.45;Volts;
"Rotor Inertia";0.035989;kg.m©÷;
"Shaft Inertia";0.00039144;kg.m©÷;
"Total Inertia";0.036381;kg.m©÷;
"Torque per rotor volume";56.267;kNm/m©ø;
"Rotor peripheral velocity (on load)";49.233;m/s;
"Flux Linkage D (Q axis current)";54.2477;mVs;
"Flux Linkage Q (Q axis current)";20.2655;mVs;
"Flux linkage D (On load)";59.0311;mVs;
"Flux linkage Q (On load)";19.1086;mVs;
"Torque Constant (Kt)";0.324256;Nm/A;
