Drive
"DC Bus Voltage";366;Volts;
"Line-Line Supply Voltage (rms)";258.8;Volts;
"Phase Supply Voltage (rms)";149.4;Volts;
"Back EMF Line-Line Voltage (peak)";734.3;Volts;
"Back EMF Phase Voltage (peak)";423.9;Volts;
"Back EMF Line-Line Voltage (rms)";519.2;Volts;
"Back EMF Phase Voltage (rms)";299.8;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"Line Current (peak)";500.6;Amps;
"Line Current (rms)";354;Amps;
"Phase Current (peak)";500.6;Amps;
"Phase Current (rms)";354;Amps;
"Phase Advance";10;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";4.027;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.03119;mH;
"Q Axis Inductance";0.04075;mH;
"Line-Line Inductance (DQ)";0.07194;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.001109;mH;
"D Axis Phase Current (single point rms)";-61.47;Amps;
"Q Axis Phase Current (single point rms)";348.6;Amps;
"Back EMF Constant (Ke) (fundamental)";0.4675;Vs/Rad;
"Electrical Constant";13.94;msec;
"Electrical Loading";5.531E004;Amps/m;
"Stall Current";7.095E004;Amps;
"Stall Torque";0;Nm;
"Short Circuit Line Current (peak)";2163;Amps;
"Short Circuit Current Density (peak)";45.07;Amps/mm©÷;
"Short Circuit Current Density (rms)";31.87;Amps/mm©÷;
"Short Circuit Braking Torque";-11.53;Nm;
"Short Circuit Max Braking Torque";-445.7;Nm;
"Short Circuit Max Braking Torque Speed";196.6;rpm;
"Fundamental Frequency";1000;Hz;
"Shaft Speed";1.5E004;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 4.027 EDeg)";203.17;Nm;
"Single point torque (DQ)_(For Phase Advance of 10 EDeg)";202.04;Nm;
"Speed limit for constant torque_(For Phase Advance of 10 EDeg)";7394.7;rpm;
"No load speed";7476.5;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";3.1914E005;Watts;
"Power Factor [Waveform] (lagging)";0;;
"Power Factor Angle [Waveform]";0;EDeg;
"Power Factor [THD]";0;;
"Power Factor [Phasor] (lagging)";0.99255;;
"Power Factor Angle [Phasor]";7;EDeg;
"Load Angle [Phasor]";17.211;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";302.16;Volts;
"Rotor Inertia";0.036958;kg.m©÷;
"Shaft Inertia";0.0003749;kg.m©÷;
"Total Inertia";0.037333;kg.m©÷;
"Torque per rotor volume";81.953;kNm/m©ø;
"Rotor peripheral velocity (on load)";113.62;m/s;
"Flux Linkage D (Q axis current)";67.4733;mVs;
"Flux Linkage Q (Q axis current)";19.8192;mVs;
"Flux linkage D (On load)";64.7621;mVs;
"Flux linkage Q (On load)";20.088;mVs;
"Back EMF Constant (Ke) (fundamental)";0.467468;Vs/Rad;
"Stall Current";70947.6;Amps;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";12000;Hz;
"Fundamental Frequency";1000;Hz;
"Mechanical Frequency";250;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 4.027 EDeg)";203.17;Nm;
