Drive
"Line-Line Terminal Voltage (peak)";9761;Volts;
"Phase Terminal Voltage (peak)";5994;Volts;
"Line-Line Terminal Voltage (rms)";6859;Volts;
"Phase Terminal Voltage (rms)";3985;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.97;%;
"Harmonic Distortion Phase Terminal Voltage";11.29;%;
"Back EMF Line-Line Voltage (peak)";9898;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";9895;Volts;
"Back EMF Phase Voltage (peak)";5346;Volts;
"Back EMF Line-Line Voltage (rms)";6997;Volts;
"Back EMF Phase Voltage (rms)";4048;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.286;%;
"Harmonic Distortion Back EMF Phase Voltage";6.591;%;
"Drive Current (peak)";44.06;Amps;
"Phase Current (rms)";31.5;Amps;
"Harmonic Distortion Line Current";0.8046;%;
"Harmonic Distortion Phase Current";0.8046;%;
"Drive Effective Switching Frequency";314.2;kHz;
"D Axis Inductance";98.12;mH;
"Q Axis Inductance";191.8;mH;
"Line-Line Inductance (DQ)";289.9;mH;
"Self Inductance";100.4;mH;
"Mutual Inductance";-35.22;mH;
"Line-Line Inductance";271.3;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"D Axis Phase Current (average rms)";-13.89;Amps;
"Q Axis Phase Current (average rms)";-28.27;Amps;
"Torque Constant (Kt)";-73.11;Nm/A;
"Motor Constant (Km)";-1681;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.52;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.49;Vs/Rad;
"Electrical Constant";93.16;msec;
"Mechanical Constant";-5.089;msec;
"Electrical Loading";3.054E004;Amps/m;
"Stall Current";2570;Amps;
"Stall Torque";-1.879E005;Nm;
"Short Circuit Line Current (peak)";185.5;Amps;
"Short Circuit Current Density (peak)";28.53;Amps/mm©÷;
"Short Circuit Current Density (rms)";20.18;Amps/mm©÷;
"Short Circuit Braking Torque";-766.7;Nm;
"Short Circuit Max Braking Torque";-8417;Nm;
"Short Circuit Max Braking Torque Speed";47.85;rpm;
"Fundamental Frequency";50;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Average torque (virtual work)";-3620.9;Nm;
"Average torque (loop torque)";3597.1;Nm;
"Torque Ripple (MsVw)";571.98;Nm;
"Torque Ripple (MsVw) [%]";-15.806;%;
"Electromagnetic Power";-378.96;kW;
"Input Power";-383.89;kW;
"Total Losses (on load)";12.659;kW;
"Output Power";-371.23;kW;
"System Efficiency";96.702;%;
"Shaft Torque";-3665.9;Nm;
"Power Factor [Waveform] (leading)";-0.99995;;
"Power Factor Angle [Waveform]";-179.43;EDeg;
"Power Factor [THD]";-0.99361;;
"Rotor Inertia";22.599;kg.m©÷;
"Shaft Inertia";0.301;kg.m©÷;
"Total Inertia";22.9;kg.m©÷;
"Torque per rotor volume";-32.251;kNm/m©ø;
"Rotor peripheral velocity (on load)";26.808;m/s;
"Flux Linkage D (Q axis current)";18215.2;mVs;
"Flux Linkage Q (Q axis current)";-8528.55;mVs;
"Flux linkage D (On load)";16301.7;mVs;
"Flux linkage Q (On load)";-7812.67;mVs;
"Torque Constant (Kt)";-73.111;Nm/A;
"Motor Constant (Km)";-1681.46;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.5167;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.4892;Vs/Rad;
"Stall Current";2570.39;Amps;
"Stall Torque";-187924;Nm;
"Cogging Period";5;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";50;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";545;mm;

Phasor Diagram
"Average torque (virtual work)";-3620.9;Nm;
"Average torque (loop torque)";3597.1;Nm;
"Torque Ripple (MsVw)";571.98;Nm;
"Torque Ripple (MsVw) [%]";-15.806;%;
"Electromagnetic Power";-378.96;kW;
"Input Power";-383.89;kW;
"Total Losses (on load)";12.659;kW;
"Output Power";-371.23;kW;
"System Efficiency";96.702;%;
"Shaft Torque";-3665.9;Nm;
"Power Factor [Waveform] (leading)";-0.99995;;
"Power Factor Angle [Waveform]";-179.43;EDeg;
"Power Factor [THD]";-0.99361;;
"Rotor Inertia";22.599;kg.m©÷;
"Shaft Inertia";0.301;kg.m©÷;
"Total Inertia";22.9;kg.m©÷;
"Torque per rotor volume";-32.251;kNm/m©ø;
"Rotor peripheral velocity (on load)";26.808;m/s;
"Flux Linkage D (Q axis current)";18215.2;mVs;
"Flux Linkage Q (Q axis current)";-8528.55;mVs;
"Flux linkage D (On load)";16301.7;mVs;
"Flux linkage Q (On load)";-7812.67;mVs;
"Torque Constant (Kt)";-73.111;Nm/A;
"Motor Constant (Km)";-1681.46;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.5167;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.4892;Vs/Rad;
"Stall Current";2570.39;Amps;
"Stall Torque";-187924;Nm;
"Cogging Period";5;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";50;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";545;mm;

Equivalent Circuit
"Phase Resistance";1.556;Ohms;
"D Axis Inductance";98.12;mH;
"Q Axis Inductance";191.8;mH;
"Stator Slot Leakage Inductance";8.456;mH;
"Stator Differential Leakage Inductance";2.632;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"Stator Leakage Inductance (Total)";12.79;mH;
"Magnetizing Inductance (D Axis)";85.33;mH;
"Magnetizing Inductance (Q Axis)";179;mH;
"D Axis Reactance";30.83;Ohms;
"Q Axis Reactance";60.26;Ohms;
"Stator Slot Leakage Reactance";2.657;Ohms;
"Stator Differential Leakage Reactance";0.8269;Ohms;
"Armature End Winding Reactance";0.5348;Ohms;
"Stator Leakage Reactance (Total)";4.018;Ohms;
"Magnetizing Reactance (D Axis)";26.81;Ohms;
"Magnetizing Reactance (Q Axis)";56.24;Ohms;
"Field Winding Resistance";0.3095;Ohms;
"Field Winding Inductance";308.2;mH;
"Field Winding Reactance";96.81;Ohms;
"Referred Field Winding Reactance";121.2;Ohms;
"Field Winding Leakage Inductance";240;mH;
"Referred Field Winding Leakage Inductance";300.5;mH;
"Field Winding Leakage Reactance";75.4;Ohms;
"Referred Field Winding Leakage Reactance";94.42;Ohms;
"First Order Transient Reactance (D Axis)";24.9;Ohms;
"First Order Transient Reactance (Q Axis)";60.26;Ohms;
"Excitation Time Constant (Te)";0.9957;secs;
"First Order Transient Time Constant (Td')";0.8042;secs;
"Armature Time Constant (Ta)";0.0871;secs;

Flux Densities
"Airgap flux density (mean)";0.4905;Tesla;
"Airgap Flux Density (peak)";1.317;Tesla;
"Stator Tooth Flux Density (peak)";1.622;Tesla;
"Stator Tooth Tip Flux Density (peak)";2.196;Tesla;
"Stator Back Iron Flux Density (peak)";1.012;Tesla;
"Rotor Tooth Flux Density (peak)";1.77;Tesla;
"Rotor Tooth Tip Flux Density (peak)";1.891;Tesla;
