Drive
"Line-Line Terminal Voltage (peak)";9567;Volts;
"Phase Terminal Voltage (peak)";5894;Volts;
"Line-Line Terminal Voltage (rms)";6727;Volts;
"Phase Terminal Voltage (rms)";3910;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.9531;%;
"Harmonic Distortion Phase Terminal Voltage";11.73;%;
"Back EMF Line-Line Voltage (peak)";9734;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";9730;Volts;
"Back EMF Phase Voltage (peak)";5258;Volts;
"Back EMF Line-Line Voltage (rms)";6881;Volts;
"Back EMF Phase Voltage (rms)";3981;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.303;%;
"Harmonic Distortion Back EMF Phase Voltage";6.594;%;
"Drive Current (peak)";43.17;Amps;
"Phase Current (rms)";30.89;Amps;
"Harmonic Distortion Line Current";0.8073;%;
"Harmonic Distortion Phase Current";0.8073;%;
"Drive Effective Switching Frequency";314.2;kHz;
"D Axis Inductance";100.9;mH;
"Q Axis Inductance";199.6;mH;
"Line-Line Inductance (DQ)";300.5;mH;
"Self Inductance";103.1;mH;
"Mutual Inductance";-35.91;mH;
"Line-Line Inductance";278;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"D Axis Phase Current (average rms)";-13.87;Amps;
"Q Axis Phase Current (average rms)";-27.6;Amps;
"Torque Constant (Kt)";-76.91;Nm/A;
"Motor Constant (Km)";-1649;Nm/(kW^0.5);
"Back EMF Constant (Ke)";92.95;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";92.92;Vs/Rad;
"Electrical Constant";96.55;msec;
"Mechanical Constant";-4.919;msec;
"Electrical Loading";2.995E004;Amps/m;
"Stall Current";2570;Amps;
"Stall Torque";-1.977E005;Nm;
"Short Circuit Line Current (peak)";177.1;Amps;
"Short Circuit Current Density (peak)";27.25;Amps/mm©÷;
"Short Circuit Current Density (rms)";19.27;Amps/mm©÷;
"Short Circuit Braking Torque";-699.1;Nm;
"Short Circuit Max Braking Torque";-7915;Nm;
"Short Circuit Max Braking Torque Speed";46.44;rpm;
"Fundamental Frequency";50;Hz;
