Drive
"DC Bus Voltage";9000;Volts;
"Line-Line Supply Voltage (rms)";6364;Volts;
"Phase Supply Voltage (rms)";3674;Volts;
"Line-Line Terminal Voltage (peak)";9951;Volts;
"Line-Line Terminal Voltage (rms)";6852;Volts;
"Phase Terminal Voltage (peak)";6034;Volts;
"Phase Terminal Voltage (rms)";3981;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";2.009;%;
"Harmonic Distortion Phase Terminal Voltage";11.41;%;
"Back EMF Line-Line Voltage (peak)";9912;Volts;
"Back EMF Phase Voltage (peak)";5723;Volts;
"Back EMF Line-Line Voltage (rms)";7009;Volts;
"Back EMF Phase Voltage (rms)";4047;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";-41.2;Amps;
"Line Current (peak)";44.55;Amps;
"Line Current (rms)";31.5;Amps;
"Phase Current (peak)";44.55;Amps;
"Phase Current (rms)";31.5;Amps;
"Phase Advance";153.6;EDeg;
"Drive Offset Angle (Open Circuit)";15;EDeg;
"Drive Offset Angle (On load)";15;EDeg;
"Phase Advance to give maximum torque";12.6;EDeg;
"Phasor Offset Angle";7.5;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";97.46;mH;
"Q Axis Inductance";195.5;mH;
"Line-Line Inductance (DQ)";295.1;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"D Axis Phase Current (average rms)";-14.01;Amps;
"Q Axis Phase Current (average rms)";-28.21;Amps;
"Torque Constant (Kt)";-81.14;Nm/A;
"Motor Constant (Km)";-1680;Nm/(kW^0.5);
"Back EMF Constant (Ke) (fundamental)";94.65;Vs/Rad;
"Electrical Constant";94.13;msec;
"Electrical Loading";3.054E004;Amps/m;
"Stall Current";2892;Amps;
"Stall Torque";-2.346E005;Nm;
"Short Circuit Line Current (peak)";185.3;Amps;
"Short Circuit Current Density (peak)";28.5;Amps/mm©÷;
"Short Circuit Current Density (rms)";20.15;Amps/mm©÷;
"Short Circuit Braking Torque";-765;Nm;
"Short Circuit Max Braking Torque";-8465;Nm;
"Short Circuit Max Braking Torque Speed";47.56;rpm;
