Drive
"Line-Line Terminal Voltage (peak)";9647;Volts;
"Phase Terminal Voltage (peak)";5868;Volts;
"Line-Line Terminal Voltage (rms)";6836;Volts;
"Phase Terminal Voltage (rms)";3959;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.946;%;
"Harmonic Distortion Phase Terminal Voltage";7.758;%;
"Back EMF Line-Line Voltage (peak)";9909;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";9922;Volts;
"Back EMF Phase Voltage (peak)";5419;Volts;
"Back EMF Line-Line Voltage (rms)";7016;Volts;
"Back EMF Phase Voltage (rms)";4057;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.5272;%;
"Harmonic Distortion Back EMF Phase Voltage";5.394;%;
"Drive Current (peak)";44.86;Amps;
"Phase Current (rms)";31.59;Amps;
"Harmonic Distortion Line Current";0.6941;%;
"Harmonic Distortion Phase Current";0.6941;%;
"Drive Effective Switching Frequency";314.2;kHz;
"D Axis Inductance";96.38;mH;
"Q Axis Inductance";150.5;mH;
"Line-Line Inductance (DQ)";246.8;mH;
"Self Inductance";88.57;mH;
"Mutual Inductance";-30.81;mH;
"Line-Line Inductance";238.8;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"D Axis Phase Current (average rms)";-11.34;Amps;
"Q Axis Phase Current (average rms)";-29.49;Amps;
"Torque Constant (Kt)";-73.13;Nm/A;
"Motor Constant (Km)";-1677;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.62;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.75;Vs/Rad;
"Electrical Constant";79.31;msec;
"Mechanical Constant";-4.976;msec;
"Electrical Loading";3.063E004;Amps/m;
"Stall Current";2570;Amps;
"Stall Torque";-1.88E005;Nm;
"Short Circuit Line Current (peak)";190.3;Amps;
"Short Circuit Current Density (peak)";29.28;Amps/mm©÷;
"Short Circuit Current Density (rms)";20.7;Amps/mm©÷;
"Short Circuit Braking Torque";-807.2;Nm;
"Short Circuit Max Braking Torque";-8250;Nm;
"Short Circuit Max Braking Torque Speed";50.45;rpm;
"Fundamental Frequency";50;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Average torque (virtual work)";-3621.5;Nm;
"Average torque (loop torque)";3596.7;Nm;
"Torque Ripple (MsVw)";354.54;Nm;
"Torque Ripple (MsVw) [%]";-9.7943;%;
"Electromagnetic Power";-379.07;kW;
"Input Power";-383.69;kW;
"Total Losses (on load)";12.389;kW;
"Output Power";-371.3;kW;
"System Efficiency";96.771;%;
"Shaft Torque";-3664;Nm;
"Power Factor [Waveform] (leading)";-0.99999;;
"Power Factor Angle [Waveform]";-179.8;EDeg;
"Power Factor [THD]";-0.99697;;
"Rotor Inertia";22.125;kg.m©÷;
"Shaft Inertia";0.301;kg.m©÷;
"Total Inertia";22.426;kg.m©÷;
"Torque per rotor volume";-32.26;kNm/m©ø;
"Rotor peripheral velocity (on load)";26.808;m/s;
"Flux Linkage D (Q axis current)";18360.8;mVs;
"Flux Linkage Q (Q axis current)";7430.46;mVs;
"Flux linkage D (On load)";16840.1;mVs;
"Flux linkage Q (On load)";-6411.01;mVs;
"Torque Constant (Kt)";-73.1322;Nm/A;
"Motor Constant (Km)";-1676.83;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.621;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.7485;Vs/Rad;
"Stall Current";2570.39;Amps;
"Stall Torque";-187978;Nm;
"Cogging Period";5;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";50;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";545;mm;

Phasor Diagram
"Average torque (virtual work)";-3621.5;Nm;
"Average torque (loop torque)";3596.7;Nm;
"Torque Ripple (MsVw)";354.54;Nm;
"Torque Ripple (MsVw) [%]";-9.7943;%;
"Electromagnetic Power";-379.07;kW;
"Input Power";-383.69;kW;
"Total Losses (on load)";12.389;kW;
"Output Power";-371.3;kW;
"System Efficiency";96.771;%;
"Shaft Torque";-3664;Nm;
"Power Factor [Waveform] (leading)";-0.99999;;
"Power Factor Angle [Waveform]";-179.8;EDeg;
"Power Factor [THD]";-0.99697;;
"Rotor Inertia";22.125;kg.m©÷;
"Shaft Inertia";0.301;kg.m©÷;
"Total Inertia";22.426;kg.m©÷;
"Torque per rotor volume";-32.26;kNm/m©ø;
"Rotor peripheral velocity (on load)";26.808;m/s;
"Flux Linkage D (Q axis current)";18360.8;mVs;
"Flux Linkage Q (Q axis current)";7430.46;mVs;
"Flux linkage D (On load)";16840.1;mVs;
"Flux linkage Q (On load)";-6411.01;mVs;
"Torque Constant (Kt)";-73.1322;Nm/A;
"Motor Constant (Km)";-1676.83;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.621;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.7485;Vs/Rad;
"Stall Current";2570.39;Amps;
"Stall Torque";-187978;Nm;
"Cogging Period";5;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";50;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";545;mm;

Equivalent Circuit
"Phase Resistance";1.556;Ohms;
"D Axis Inductance";96.38;mH;
"Q Axis Inductance";150.5;mH;
"Stator Slot Leakage Inductance";8.456;mH;
"Stator Differential Leakage Inductance";2.632;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"Stator Leakage Inductance (Total)";12.79;mH;
"Magnetizing Inductance (D Axis)";83.59;mH;
"Magnetizing Inductance (Q Axis)";137.7;mH;
"D Axis Reactance";30.28;Ohms;
"Q Axis Reactance";47.27;Ohms;
"Stator Slot Leakage Reactance";2.657;Ohms;
"Stator Differential Leakage Reactance";0.8269;Ohms;
"Armature End Winding Reactance";0.5348;Ohms;
"Stator Leakage Reactance (Total)";4.018;Ohms;
"Magnetizing Reactance (D Axis)";26.26;Ohms;
"Magnetizing Reactance (Q Axis)";43.25;Ohms;
"Damper Bar Resistance";0.000375;Ohms;
"Damper End Ring Resistance";1.7E-006;Ohms;
"Damper Cage Resistance (total)";0.0003922;Ohms;
"Rotor to Stator Transform for Impedance";1.704E004;;
"Referred Damper Bar Resistance";6.39;Ohms;
"Referred Damper End Ring Resistance";0.02897;Ohms;
"Referred Damper Cage Resistance (total)";6.682;Ohms;
"Damper Bar Cross Sectional Area";78.54;mm©÷;
"Damper End Ring Cross Sectional Area";400;mm©÷;
"Field Winding Resistance";0.3095;Ohms;
"Field Winding Inductance";306.9;mH;
"Field Winding Reactance";96.43;Ohms;
"Referred Field Winding Reactance";120.7;Ohms;
"Field Winding Leakage Inductance";240.2;mH;
"Referred Field Winding Leakage Inductance";300.8;mH;
"Field Winding Leakage Reactance";75.46;Ohms;
"Referred Field Winding Leakage Reactance";94.48;Ohms;
"Damper Bar Slot Leakage Inductance";0.0004439;mH;
"Damper Bar Differential Leakage Inductance";0.0004348;mH;
"Damper End Ring Inductance";0.0002482;mH;
"Inter-Bar Damper End Ring Inductance";2.458E-005;mH;
"Damper Cage Leakage Inductance (total)";0.001127;mH;
"Damper Cage Leakage Reactance (total)";0.000354;Ohms;
"Referred Damper Cage Leakage Inductance (total)";19.2;mH;
"Referred Damper Cage Leakage Reactance (total)";6.032;Ohms;
"First Order Transient Reactance (D Axis)";24.57;Ohms;
"First Order Transient Reactance (Q Axis)";47.27;Ohms;
"Second Order Transient Reactance (D Axis)";8.732;Ohms;
"Second Order Transient Reactance (Q Axis)";9.312;Ohms;
"Excitation Time Constant (Te)";0.9918;secs;
"First Order Transient Time Constant (Td')";0.8047;secs;
"First Order Damper Cage Transient Constant (Tdd')";0.01315;secs;
"Second Order Transient Time Constant (Td'')";0.004673;secs;
"Armature Time Constant (Ta)";0.01845;secs;

Flux Densities
"Airgap flux density (mean)";0.5197;Tesla;
"Airgap Flux Density (peak)";1.168;Tesla;
"Stator Tooth Flux Density (peak)";1.478;Tesla;
"Stator Tooth Tip Flux Density (peak)";2.006;Tesla;
"Stator Back Iron Flux Density (peak)";1.106;Tesla;
"Rotor Tooth Flux Density (peak)";1.807;Tesla;
"Rotor Tooth Tip Flux Density (peak)";1.768;Tesla;
"Rotor Back Iron Flux Density (peak)";1.643;Tesla;

Losses
"Armature DC Copper Loss (on load)";4.66;kW;
"Field DC Copper Loss (on load)";3.095;kW;
"Damper Cage Loss (on load)";0.01401;kW;
"Stator iron Loss [total] (on load)";2.548;kW;
"Rotor iron Loss [total] (on load)";0.04608;kW;
"Wedge Loss (on load)";0;kW;
"Windage Loss (calculated)";0.0257;kW;
"Friction Loss (user input)";2;kW;
"Shaft Loss [total] (on load)";0;kW;
"Total Losses (on load)";12.39;kW;
"Stator back iron Loss [hysteresis - fundamental] (on load)";1.196;kW;
"Stator back iron Loss [hysteresis - minor loops] (on load)";0.001291;kW;
"Stator back iron Loss [hysteresis] (on load)";1.198;kW;
"Stator back iron Loss [eddy] (on load)";0.2294;kW;
"Stator back iron Loss [excess] (on load)";0;kW;
"Stator back iron Loss [total] (on load)";1.427;kW;
"Stator tooth Loss [hysteresis - fundamental] (on load)";0.9189;kW;
"Stator tooth Loss [hysteresis - minor loops] (on load)";0.02476;kW;
"Stator tooth Loss [hysteresis] (on load)";0.9436;kW;
"Stator tooth Loss [eddy] (on load)";0.177;kW;
"Stator tooth Loss [excess] (on load)";0;kW;
"Stator tooth Loss [total] (on load)";1.121;kW;
"Stator iron Loss [total] (on load)";2.548;kW;
"Rotor back iron Loss [hysteresis] (on load)";0.0008069;kW;
"Rotor back iron Loss [eddy] (on load)";6.255E-007;kW;
"Rotor back iron Loss [excess] (on load)";0;kW;
"Rotor back iron Loss [total] (on load)";0.0008075;kW;
"Rotor tooth Loss [hysteresis] (on load)";0.03626;kW;
"Rotor tooth Loss [eddy] (on load)";0.009007;kW;
"Rotor tooth Loss [excess] (on load)";0;kW;
"Rotor tooth Loss [total] (on load)";0.04527;kW;
"Rotor iron Loss [total] (on load)";0.04608;kW;
"Shaft Loss [eddy] (on load)";0;kW;
"Armature DC Copper Loss (open circuit)";0;kW;
"Field DC Copper Loss (on load)";3.095;kW;
"Stator iron Loss [total] (open circuit)";2.292;kW;
"Rotor iron Loss [total] (open circuit)";0.04995;kW;
"Wedge Loss (open circuit)";0;kW;
"Windage Loss (calculated)";0.0257;kW;
"Friction Loss (user input)";2;kW;
"Shaft Loss [total] (open circuit)";0;kW;
"Total Losses (open circuit)";7.463;kW;
"Stator back iron Loss [hysteresis - fundamental] (open circuit)";1.346;kW;
"Stator back iron Loss [hysteresis - minor loops] (open circuit)";0.0002212;kW;
"Stator back iron Loss [hysteresis] (open circuit)";1.347;kW;
"Stator back iron Loss [eddy] (open circuit)";0.2257;kW;
"Stator back iron Loss [excess] (open circuit)";0;kW;
"Stator back iron Loss [total] (open circuit)";1.572;kW;
"Stator tooth Loss [hysteresis - fundamental] (open circuit)";0.5699;kW;
"Stator tooth Loss [hysteresis - minor loops] (open circuit)";0.0004869;kW;
"Stator tooth Loss [hysteresis] (open circuit)";0.5703;kW;
"Stator tooth Loss [eddy] (open circuit)";0.15;kW;
"Stator tooth Loss [excess] (open circuit)";0;kW;
"Stator tooth Loss [total] (open circuit)";0.7203;kW;
"Stator iron Loss [total] (open circuit)";2.292;kW;
"Rotor back iron Loss [hysteresis] (open circuit)";0.03979;kW;
"Rotor back iron Loss [eddy] (open circuit)";0.01016;kW;
"Rotor back iron Loss [excess] (open circuit)";0;kW;
"Rotor back iron Loss [total] (open circuit)";0.04995;kW;
"Rotor iron Loss [total] (open circuit)";0.04995;kW;
"Shaft Loss [eddy] (open circuit)";0;kW;

Winding
"Armature Conductor CSA";6.5;mm©÷;
"Armature Conductor Current Density";4.861;Amps/mm©÷;
"Armature Conductor MLT";1893;mm;
"Armature Turns per Phase";264;;
"Armature Turns per Coil";11;;
"Length of phase";4.999E005;mm;
"Phase Resistance";1.556;Ohms;
"Line-Line Resistance";3.112;Ohms;
"Armature Conductor Temperature";65;¡ÆC;
