Drive
"DC Bus Voltage";7000;Volts;
"Line-Line Supply Voltage (rms)";4950;Volts;
"Phase Supply Voltage (rms)";2858;Volts;
"Line-Line Terminal Voltage (peak)";6031;Volts;
"Line-Line Terminal Voltage (rms)";4358;Volts;
"Phase Terminal Voltage (peak)";4856;Volts;
"Phase Terminal Voltage (rms)";2641;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";3.186;%;
"Harmonic Distortion Phase Terminal Voltage";32.1;%;
"Back EMF Line-Line Voltage (peak)";9898;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";9895;Volts;
"Back EMF Phase Voltage (peak)";5346;Volts;
"Back EMF Line-Line Voltage (rms)";6997;Volts;
"Back EMF Phase Voltage (rms)";4048;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.286;%;
"Harmonic Distortion Back EMF Phase Voltage";6.591;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";-60.57;Amps;
"Line Current (peak)";82.02;Amps;
"Line Current (rms)";58;Amps;
"Phase Current (peak)";82.02;Amps;
"Phase Current (rms)";58;Amps;
"Phase Advance";120;EDeg;
"Drive Offset Angle (Open Circuit)";15;EDeg;
"Drive Offset Angle (On load)";15;EDeg;
"Phase Advance to give maximum torque";15.33;EDeg;
"Phasor Offset Angle";7.5;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";145.6;mH;
"Q Axis Inductance";212.3;mH;
"Line-Line Inductance (DQ)";359.8;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"D Axis Phase Current (average rms)";-50.23;Amps;
"Q Axis Phase Current (average rms)";-29;Amps;
"Torque Constant (Kt)";-51.55;Nm/A;
"Motor Constant (Km)";-1067;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.52;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.49;Vs/Rad;
"Electrical Constant";115;msec;
"Mechanical Constant";-7.219;msec;
"Electrical Loading";5.624E004;Amps/m;
"Stall Current";2249;Amps;
"Stall Torque";-1.159E005;Nm;
"Short Circuit Line Current (peak)";124.9;Amps;
"Short Circuit Current Density (peak)";19.21;Amps/mm©÷;
"Short Circuit Current Density (rms)";13.58;Amps/mm©÷;
"Short Circuit Braking Torque";-347.6;Nm;
"Short Circuit Max Braking Torque";-5305;Nm;
"Short Circuit Max Braking Torque Speed";33.55;rpm;
"Fundamental Frequency";50;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 15.33 EDeg)";7011.2;Nm;
"Average torque (virtual work)";-4230;Nm;
"Average torque (loop torque)";4204.4;Nm;
"Torque Ripple (MsVw)";632.96;Nm;
"Torque Ripple (MsVw) [%]";-14.971;%;
"Speed limit for constant torque_(For Phase Advance of 120 EDeg)";1130;rpm;
"No load speed";707.23;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";-442.76;kW;
"Input Power";-447.07;kW;
"Total Losses (on load)";23.116;kW;
"Output Power";-423.96;kW;
"System Efficiency";94.829;%;
"Shaft Torque";-4269.2;Nm;
"Power Factor [Waveform] (leading)";-0.97612;;
"Power Factor Angle [Waveform]";-167.45;EDeg;
"Power Factor [THD]";-0.92942;;
"Power Factor [Phasor] (leading)";-0.97437;;
"Power Factor Angle [Phasor]";193;EDeg;
"Load Angle [Phasor]";312.58;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";2520.1;Volts;
"Rotor Inertia";22.599;kg.m©÷;
"Shaft Inertia";0.301;kg.m©÷;
"Total Inertia";22.9;kg.m©÷;
"Torque per rotor volume";-37.68;kNm/m©ø;
"Rotor peripheral velocity (on load)";26.808;m/s;
"Flux Linkage D (Q axis current)";18215.9;mVs;
"Flux Linkage Q (Q axis current)";-8040.76;mVs;
"Flux linkage D (On load)";7870.69;mVs;
"Flux linkage Q (On load)";-8705.18;mVs;
"Torque Constant (Kt)";-51.546;Nm/A;
"Motor Constant (Km)";-1066.89;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.5167;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.4892;Vs/Rad;
"Stall Current";2249.09;Amps;
"Stall Torque";-115932;Nm;
"Cogging Period";5;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";50;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";545;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 15.33 EDeg)";7011.2;Nm;
"Average torque (virtual work)";-4230;Nm;
"Average torque (loop torque)";4204.4;Nm;
"Torque Ripple (MsVw)";632.96;Nm;
"Torque Ripple (MsVw) [%]";-14.971;%;
"Speed limit for constant torque_(For Phase Advance of 120 EDeg)";1130;rpm;
"No load speed";707.23;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";-442.76;kW;
"Input Power";-447.07;kW;
"Total Losses (on load)";23.116;kW;
"Output Power";-423.96;kW;
"System Efficiency";94.829;%;
"Shaft Torque";-4269.2;Nm;
"Power Factor [Waveform] (leading)";-0.97612;;
"Power Factor Angle [Waveform]";-167.45;EDeg;
"Power Factor [THD]";-0.92942;;
"Power Factor [Phasor] (leading)";-0.97437;;
"Power Factor Angle [Phasor]";193;EDeg;
"Load Angle [Phasor]";312.58;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";2520.1;Volts;
"Rotor Inertia";22.599;kg.m©÷;
"Shaft Inertia";0.301;kg.m©÷;
"Total Inertia";22.9;kg.m©÷;
"Torque per rotor volume";-37.68;kNm/m©ø;
"Rotor peripheral velocity (on load)";26.808;m/s;
"Flux Linkage D (Q axis current)";18215.9;mVs;
"Flux Linkage Q (Q axis current)";-8040.76;mVs;
"Flux linkage D (On load)";7870.69;mVs;
"Flux linkage Q (On load)";-8705.18;mVs;
"Torque Constant (Kt)";-51.546;Nm/A;
"Motor Constant (Km)";-1066.89;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.5167;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.4892;Vs/Rad;
"Stall Current";2249.09;Amps;
"Stall Torque";-115932;Nm;
"Cogging Period";5;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";50;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";545;mm;

Equivalent Circuit
"Phase Resistance";1.556;Ohms;
"D Axis Inductance";145.6;mH;
"Q Axis Inductance";212.3;mH;
"Stator Slot Leakage Inductance";8.456;mH;
"Stator Differential Leakage Inductance";2.632;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"Stator Leakage Inductance (Total)";12.79;mH;
"Magnetizing Inductance (D Axis)";132.8;mH;
"Magnetizing Inductance (Q Axis)";199.5;mH;
"D Axis Reactance";45.75;Ohms;
"Q Axis Reactance";66.68;Ohms;
"Stator Slot Leakage Reactance";2.657;Ohms;
"Stator Differential Leakage Reactance";0.8269;Ohms;
"Armature End Winding Reactance";0.5348;Ohms;
"Stator Leakage Reactance (Total)";4.018;Ohms;
