Drive
"DC Load Power (mean)";360.9;kW;
"Rectifier Losses";0.05413;kW;
"DC Load Voltage (mean)";8000;Volts;
"Line-Line Terminal Voltage (peak)";8744;Volts;
"Phase Terminal Voltage (peak)";6241;Volts;
"Line-Line Terminal Voltage (rms)";6596;Volts;
"Phase Terminal Voltage (rms)";3846;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";21.32;%;
"Harmonic Distortion Phase Terminal Voltage";25.77;%;
"Back EMF Line-Line Voltage (peak)";9898;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";9895;Volts;
"Back EMF Phase Voltage (peak)";5346;Volts;
"Back EMF Line-Line Voltage (rms)";6997;Volts;
"Back EMF Phase Voltage (rms)";4048;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.286;%;
"Harmonic Distortion Back EMF Phase Voltage";6.591;%;
"DC Load Current (mean)";45.11;Amps;
"Drive Current (peak)";47.64;Amps;
"Phase Current (rms)";34.56;Amps;
"Harmonic Distortion Line Current";12.44;%;
"Harmonic Distortion Phase Current";12.44;%;
"Drive Effective Switching Frequency";314.2;kHz;
"D Axis Inductance";99.87;mH;
"Q Axis Inductance";197;mH;
"Line-Line Inductance (DQ)";296.9;mH;
"Self Inductance";102.4;mH;
"Mutual Inductance";-35.37;mH;
"Line-Line Inductance";275.6;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.702;mH;
"D Axis Phase Current (average rms)";-20.88;Amps;
"Q Axis Phase Current (average rms)";-27.21;Amps;
"Torque Constant (Kt)";-73.66;Nm/A;
"Motor Constant (Km)";-1544;Nm/(kW^0.5);
"Back EMF Constant (Ke)";94.52;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";94.49;Vs/Rad;
"Electrical Constant";95.4;msec;
"Mechanical Constant";-5.051;msec;
"Electrical Loading";3.352E004;Amps/m;
"Stall Current";2570;Amps;
"Stall Torque";-1.893E005;Nm;
"Short Circuit Line Current (peak)";182.2;Amps;
"Short Circuit Current Density (peak)";28.03;Amps/mm©÷;
"Short Circuit Current Density (rms)";19.82;Amps/mm©÷;
"Short Circuit Braking Torque";-740.2;Nm;
"Short Circuit Max Braking Torque";-8291;Nm;
"Short Circuit Max Braking Torque Speed";46.93;rpm;
"Fundamental Frequency";50;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Average torque (virtual work)";-3648.3;Nm;
"Average torque (loop torque)";3620.5;Nm;
"Torque Ripple (MsVw)";854.58;Nm;
"Torque Ripple (MsVw) [%]";-23.437;%;
"Electromagnetic Power";-381.83;kW;
"Input Power";-386.77;kW;
"Total Losses (on load)";13.614;kW;
"Output Power";-373.16;kW;
"Converter Efficiency";99.986;%;
"Motor Efficiency";96.48;%;
"System Efficiency";96.467;%;
"Shaft Torque";-3693.4;Nm;
"Power Factor [Waveform] (leading)";-0.98064;;
"Power Factor Angle [Waveform]";-168.71;EDeg;
"Power Factor [THD]";-0.94237;;
"Rotor Inertia";22.599;kg.m©÷;
"Shaft Inertia";0.301;kg.m©÷;
"Total Inertia";22.9;kg.m©÷;
