Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";3.089E004;Volts;
"Line-Line Terminal Voltage (rms)";2.205E004;Volts;
"Phase Terminal Voltage (peak)";1.629E004;Volts;
"Phase Terminal Voltage (rms)";1.288E004;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.082;%;
"Harmonic Distortion Phase Terminal Voltage";16.38;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";487.4;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";45;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";45.02;EDeg;
"Phasor Offset Angle";20;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";1660;mH;
"Q Axis Inductance";3670;mH;
"Line-Line Inductance (DQ)";5375;mH;
"Armature End Winding Inductance_(Rosa and Grover)";7.741;mH;
"D Axis Phase Current (average rms)";-2.5;Amps;
"Q Axis Phase Current (average rms)";2.5;Amps;
"Torque Constant (Kt)";29.53;Nm/A;
"Motor Constant (Km)";3.05;Nm/(Watts^0.5);
"Electrical Constant";42.62;msec;
"Electrical Loading";5.525E004;Amps/m;
"Stall Current";0.7997;Amps;
"Stall Torque";23.62;Nm;
"Short Circuit Line Current (peak)";0.00601;Amps;
"Short Circuit Current Density (peak)";0.0209;Amps/mm©÷;
"Short Circuit Current Density (rms)";0.01478;Amps/mm©÷;
"Short Circuit Braking Torque";-1.078E-005;Nm;
"Short Circuit Max Braking Torque";-0.0002081;Nm;
"Short Circuit Max Braking Torque Speed";82.29;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 45.02 EDeg)";150.53;Nm;
"Average torque (virtual work)";150.03;Nm;
"Average torque (loop torque)";149.44;Nm;
"Torque Ripple (MsVw)";23.53;Nm;
"Torque Ripple (MsVw) [%]";15.935;%;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";0;rpm;
"No load speed";-13693;rpm;
"Speed limit for zero q axis current";16.586;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";46391;Watts;
"Input Power";48736;Watts;
"Total Losses (on load)";3876.3;Watts;
"Output Power_Operating point outside voltage limit.";44859;Watts;
"System Efficiency";92.046;%;
"Shaft Torque";142.79;Nm;
"Power Factor [Waveform] (lagging)";0.36735;;
"Power Factor Angle [Waveform]";68.448;EDeg;
"Power Factor [THD]";0.36251;;
"Power Factor [Phasor] (lagging)";0.37461;;
"Power Factor Angle [Phasor]";68;EDeg;
"Load Angle [Phasor]";113.44;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12737;Volts;
"Rotor Inertia";0.060725;kg.m©÷;
"Shaft Inertia";0.0023147;kg.m©÷;
"Total Inertia";0.063039;kg.m©÷;
"Torque per rotor volume";30.553;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.882;m/s;
"Flux Linkage D (Q axis current)";-10.0656;mVs;
"Flux Linkage Q (Q axis current)";13859.1;mVs;
"Flux linkage D (On load)";-5879.11;mVs;
"Flux linkage Q (On load)";12975.3;mVs;
"Torque Constant (Kt)";29.5335;Nm/A;
"Motor Constant (Km)";3.04962;Nm/(Watts^0.5);
"Stall Current";0.799694;Amps;
"Stall Torque";23.6177;Nm;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";290;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 45.02 EDeg)";150.53;Nm;
"Average torque (virtual work)";150.03;Nm;
"Average torque (loop torque)";149.44;Nm;
"Torque Ripple (MsVw)";23.53;Nm;
"Torque Ripple (MsVw) [%]";15.935;%;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";0;rpm;
"No load speed";-13693;rpm;
"Speed limit for zero q axis current";16.586;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";46391;Watts;
"Input Power";48736;Watts;
"Total Losses (on load)";3876.3;Watts;
"Output Power_Operating point outside voltage limit.";44859;Watts;
"System Efficiency";92.046;%;
"Shaft Torque";142.79;Nm;
"Power Factor [Waveform] (lagging)";0.36735;;
"Power Factor Angle [Waveform]";68.448;EDeg;
"Power Factor [THD]";0.36251;;
"Power Factor [Phasor] (lagging)";0.37461;;
"Power Factor Angle [Phasor]";68;EDeg;
"Load Angle [Phasor]";113.44;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12737;Volts;
"Rotor Inertia";0.060725;kg.m©÷;
"Shaft Inertia";0.0023147;kg.m©÷;
"Total Inertia";0.063039;kg.m©÷;
"Torque per rotor volume";30.553;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.882;m/s;
"Flux Linkage D (Q axis current)";-10.0656;mVs;
"Flux Linkage Q (Q axis current)";13859.1;mVs;
"Flux linkage D (On load)";-5879.11;mVs;
"Flux linkage Q (On load)";12975.3;mVs;
"Torque Constant (Kt)";29.5335;Nm/A;
"Motor Constant (Km)";3.04962;Nm/(Watts^0.5);
"Stall Current";0.799694;Amps;
"Stall Torque";23.6177;Nm;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";290;mm;

Flux Densities
"Airgap flux density (mean)";0.7762;Tesla;
"Airgap Flux Density (peak)";1.145;Tesla;
"Stator Tooth Flux Density (peak)";1.818;Tesla;
"Stator Tooth Tip Flux Density (peak)";1.407;Tesla;
"Stator Back Iron Flux Density (peak)";1.41;Tesla;
"Rotor Back Iron Flux Density (peak)";0.2931;Tesla;

Losses
"Armature DC Copper Loss (on load)";2345;Watts;
"Stator iron Loss [total] (on load)";1455;Watts;
"Rotor iron Loss [total] (on load)";76.24;Watts;
"Wedge Loss (on load)";0;Watts;
"Windage Loss (user input)";0;Watts;
"Friction Loss (user input)";0;Watts;
"Shaft Loss [total] (on load)";0;Watts;
"Total Losses (on load)";3876;Watts;
"Stator back iron Loss [hysteresis - fundamental] (on load)";442.1;Watts;
"Stator back iron Loss [hysteresis - minor loops] (on load)";0.2549;Watts;
"Stator back iron Loss [hysteresis] (on load)";442.4;Watts;
"Stator back iron Loss [eddy] (on load)";265;Watts;
"Stator back iron Loss [excess] (on load)";0;Watts;
"Stator back iron Loss [total] (on load)";707.4;Watts;
"Stator tooth Loss [hysteresis - fundamental] (on load)";373.7;Watts;
"Stator tooth Loss [hysteresis - minor loops] (on load)";7.433;Watts;
"Stator tooth Loss [hysteresis] (on load)";381.2;Watts;
"Stator tooth Loss [eddy] (on load)";366.9;Watts;
"Stator tooth Loss [excess] (on load)";0;Watts;
"Stator tooth Loss [total] (on load)";748;Watts;
"Stator iron Loss [total] (on load)";1455;Watts;
"Rotor back iron Loss [hysteresis] (on load)";0.04386;Watts;
"Rotor back iron Loss [eddy] (on load)";0.002649;Watts;
"Rotor back iron Loss [excess] (on load)";0;Watts;
"Rotor back iron Loss [total] (on load)";0.04651;Watts;
"Rotor magnet pole Loss [hysteresis] (on load)";39.8;Watts;
"Rotor magnet pole Loss [eddy] (on load)";36.39;Watts;
"Rotor magnet pole Loss [excess] (on load)";0;Watts;
