Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";3.051E004;Volts;
"Line-Line Terminal Voltage (rms)";2.177E004;Volts;
"Phase Terminal Voltage (peak)";1.602E004;Volts;
"Phase Terminal Voltage (rms)";1.272E004;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";4.932;%;
"Harmonic Distortion Phase Terminal Voltage";16.37;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";490.1;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";45;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";45.03;EDeg;
"Phasor Offset Angle";20;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";1613;mH;
"Q Axis Inductance";3634;mH;
"Line-Line Inductance (DQ)";5290;mH;
"Armature End Winding Inductance_(Rosa and Grover)";7.741;mH;
"D Axis Phase Current (average rms)";-2.5;Amps;
"Q Axis Phase Current (average rms)";2.5;Amps;
"Torque Constant (Kt)";29.71;Nm/A;
"Motor Constant (Km)";3.066;Nm/(Watts^0.5);
"Electrical Constant";41.91;msec;
"Electrical Loading";5.525E004;Amps/m;
"Stall Current";0.7987;Amps;
"Stall Torque";23.73;Nm;
"Short Circuit Line Current (peak)";0.00805;Amps;
"Short Circuit Current Density (peak)";0.02799;Amps/mm©÷;
"Short Circuit Current Density (rms)";0.01979;Amps/mm©÷;
"Short Circuit Braking Torque";-1.937E-005;Nm;
"Short Circuit Max Braking Torque";-0.0003652;Nm;
"Short Circuit Max Braking Torque Speed";84.35;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 45.03 EDeg)";151.33;Nm;
"Average torque (virtual work)";150.88;Nm;
"Average torque (loop torque)";150.22;Nm;
"Torque Ripple (MsVw)";22.916;Nm;
"Torque Ripple (MsVw) [%]";15.427;%;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";0;rpm;
"No load speed";-10507;rpm;
"Speed limit for zero q axis current";17.062;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";46665;Watts;
"Input Power";49013;Watts;
"Total Losses (on load)";3087.9;Watts;
"Output Power_Operating point outside voltage limit.";45925;Watts;
"System Efficiency";93.7;%;
"Shaft Torque";146.18;Nm;
"Power Factor [Waveform] (lagging)";0.3739;;
"Power Factor Angle [Waveform]";68.043;EDeg;
"Power Factor [THD]";0.36899;;
"Power Factor [Phasor] (lagging)";0.37461;;
"Power Factor Angle [Phasor]";68;EDeg;
"Load Angle [Phasor]";113.04;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12578;Volts;
"Rotor Inertia";0.060725;kg.m©÷;
"Shaft Inertia";0.0023147;kg.m©÷;
"Total Inertia";0.063039;kg.m©÷;
"Torque per rotor volume";30.734;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.882;m/s;
"Flux Linkage D (Q axis current)";-13.1176;mVs;
"Flux Linkage Q (Q axis current)";13657.5;mVs;
"Flux linkage D (On load)";-5715.96;mVs;
"Flux linkage Q (On load)";12849.6;mVs;
"Torque Constant (Kt)";29.7081;Nm/A;
"Motor Constant (Km)";3.06572;Nm/(Watts^0.5);
"Stall Current";0.798686;Amps;
"Stall Torque";23.7275;Nm;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";290;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 45.03 EDeg)";151.33;Nm;
"Average torque (virtual work)";150.88;Nm;
"Average torque (loop torque)";150.22;Nm;
"Torque Ripple (MsVw)";22.916;Nm;
"Torque Ripple (MsVw) [%]";15.427;%;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";0;rpm;
"No load speed";-10507;rpm;
"Speed limit for zero q axis current";17.062;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";46665;Watts;
"Input Power";49013;Watts;
"Total Losses (on load)";3087.9;Watts;
"Output Power_Operating point outside voltage limit.";45925;Watts;
"System Efficiency";93.7;%;
"Shaft Torque";146.18;Nm;
"Power Factor [Waveform] (lagging)";0.3739;;
"Power Factor Angle [Waveform]";68.043;EDeg;
"Power Factor [THD]";0.36899;;
"Power Factor [Phasor] (lagging)";0.37461;;
"Power Factor Angle [Phasor]";68;EDeg;
"Load Angle [Phasor]";113.04;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12578;Volts;
"Rotor Inertia";0.060725;kg.m©÷;
"Shaft Inertia";0.0023147;kg.m©÷;
"Total Inertia";0.063039;kg.m©÷;
"Torque per rotor volume";30.734;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.882;m/s;
"Flux Linkage D (Q axis current)";-13.1176;mVs;
"Flux Linkage Q (Q axis current)";13657.5;mVs;
"Flux linkage D (On load)";-5715.96;mVs;
"Flux linkage Q (On load)";12849.6;mVs;
"Torque Constant (Kt)";29.7081;Nm/A;
"Motor Constant (Km)";3.06572;Nm/(Watts^0.5);
"Stall Current";0.798686;Amps;
"Stall Torque";23.7275;Nm;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";290;mm;

Flux Densities
"Airgap flux density (mean)";0.7656;Tesla;
"Airgap Flux Density (peak)";1.136;Tesla;
"Stator Tooth Flux Density (peak)";1.8;Tesla;
"Stator Tooth Tip Flux Density (peak)";1.393;Tesla;
"Stator Back Iron Flux Density (peak)";1.389;Tesla;
"Rotor Back Iron Flux Density (peak)";0.2912;Tesla;

Losses
"Armature DC Copper Loss (on load)";2348;Watts;
"Stator iron Loss [total] (on load)";699.2;Watts;
"Rotor iron Loss [total] (on load)";41.15;Watts;
"Wedge Loss (on load)";0;Watts;
"Windage Loss (user input)";0;Watts;
"Friction Loss (user input)";0;Watts;
"Shaft Loss [total] (on load)";0;Watts;
"Total Losses (on load)";3088;Watts;
"Stator back iron Loss [hysteresis - fundamental] (on load)";261.2;Watts;
"Stator back iron Loss [hysteresis - minor loops] (on load)";0.3748;Watts;
"Stator back iron Loss [hysteresis] (on load)";261.5;Watts;
"Stator back iron Loss [eddy] (on load)";105.2;Watts;
"Stator back iron Loss [excess] (on load)";0;Watts;
"Stator back iron Loss [total] (on load)";366.7;Watts;
"Stator tooth Loss [hysteresis - fundamental] (on load)";180.2;Watts;
"Stator tooth Loss [hysteresis - minor loops] (on load)";5.703;Watts;
"Stator tooth Loss [hysteresis] (on load)";185.9;Watts;
"Stator tooth Loss [eddy] (on load)";146.6;Watts;
"Stator tooth Loss [excess] (on load)";0;Watts;
"Stator tooth Loss [total] (on load)";332.5;Watts;
"Stator iron Loss [total] (on load)";699.2;Watts;
"Rotor back iron Loss [hysteresis] (on load)";0.06863;Watts;
"Rotor back iron Loss [eddy] (on load)";0.001176;Watts;
"Rotor back iron Loss [excess] (on load)";0;Watts;
"Rotor back iron Loss [total] (on load)";0.0698;Watts;
"Rotor magnet pole Loss [hysteresis] (on load)";26.33;Watts;
"Rotor magnet pole Loss [eddy] (on load)";14.75;Watts;
"Rotor magnet pole Loss [excess] (on load)";0;Watts;
