Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";1.718;Volts;
"Line-Line Terminal Voltage (rms)";1.217;Volts;
"Phase Terminal Voltage (peak)";0.9922;Volts;
"Phase Terminal Voltage (rms)";0.7027;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.093;%;
"Harmonic Distortion Phase Terminal Voltage";0.2515;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";0.001542;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";45;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";45.04;EDeg;
"Phasor Offset Angle";20;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1563;mH;
"Q Axis Inductance";0.1605;mH;
"Line-Line Inductance (DQ)";0.3169;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0002322;mH;
"D Axis Phase Current (average rms)";-2.5;Amps;
"Q Axis Phase Current (average rms)";2.5;Amps;
"Torque Constant (Kt)";2.483E-005;Nm/A;
"Motor Constant (Km)";0.0005125;Nm/(Watts^0.5);
"Electrical Constant";101.2;msec;
"Electrical Loading";276.2;Amps/m;
"Stall Current";3.195E004;Amps;
"Stall Torque";0.7932;Nm;
"Short Circuit Line Current (peak)";0.0002345;Amps;
"Short Circuit Current Density (peak)";4.077E-006;Amps/mm©÷;
"Short Circuit Current Density (rms)";2.883E-006;Amps/mm©÷;
"Short Circuit Braking Torque";0;Nm;
"Short Circuit Max Braking Torque";-2.581E-011;Nm;
"Short Circuit Max Braking Torque Speed";23.89;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 45.04 EDeg)";0.00030865;Nm;
"Average torque (virtual work)";0.00028109;Nm;
"Average torque (loop torque)";0.0003064;Nm;
"Torque Ripple (MsVw)";0.00023724;Nm;
"Torque Ripple (MsVw) [%]";191.1;%;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";1.74E005;rpm;
"No load speed";-3.7577E009;rpm;
"Speed limit for zero q axis current";1.7631E005;rpm;
"Electromagnetic Power";0.039002;Watts;
"Input Power";0.1542;Watts;
"Total Losses (on load)";0.1542;Watts;
"Output Power";0;Watts;
"System Efficiency";0;%;
"Shaft Torque";0;Nm;
"Power Factor [Waveform] (lagging)";0.020818;;
"Power Factor Angle [Waveform]";88.807;EDeg;
"Power Factor [THD]";0.020818;;
"Power Factor [Phasor] (lagging)";0.017452;;
"Power Factor Angle [Phasor]";89;EDeg;
"Load Angle [Phasor]";133.81;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";0.70397;Volts;
"Rotor Inertia";0.060725;kg.m©÷;
"Shaft Inertia";0.0023147;kg.m©÷;
"Total Inertia";0.063039;kg.m©÷;
"Torque per rotor volume";2.5687E-005;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.882;m/s;
"Flux Linkage D (Q axis current)";-3.66795E-005;mVs;
"Flux Linkage Q (Q axis current)";0.566296;mVs;
"Flux linkage D (On load)";-0.552803;mVs;
"Flux linkage Q (On load)";0.567353;mVs;
"Torque Constant (Kt)";2.48294E-005;Nm/A;
"Motor Constant (Km)";0.000512453;Nm/(Watts^0.5);
"Stall Current";31947.4;Amps;
"Stall Torque";0.793237;Nm;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";290;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 45.04 EDeg)";0.00030865;Nm;
"Average torque (virtual work)";0.00028109;Nm;
"Average torque (loop torque)";0.0003064;Nm;
"Torque Ripple (MsVw)";0.00023724;Nm;
"Torque Ripple (MsVw) [%]";191.1;%;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";1.74E005;rpm;
"No load speed";-3.7577E009;rpm;
"Speed limit for zero q axis current";1.7631E005;rpm;
"Electromagnetic Power";0.039002;Watts;
"Input Power";0.1542;Watts;
"Total Losses (on load)";0.1542;Watts;
"Output Power";0;Watts;
"System Efficiency";0;%;
"Shaft Torque";0;Nm;
"Power Factor [Waveform] (lagging)";0.020818;;
"Power Factor Angle [Waveform]";88.807;EDeg;
"Power Factor [THD]";0.020818;;
"Power Factor [Phasor] (lagging)";0.017452;;
"Power Factor Angle [Phasor]";89;EDeg;
"Load Angle [Phasor]";133.81;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";0.70397;Volts;
"Rotor Inertia";0.060725;kg.m©÷;
"Shaft Inertia";0.0023147;kg.m©÷;
"Total Inertia";0.063039;kg.m©÷;
"Torque per rotor volume";2.5687E-005;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.882;m/s;
"Flux Linkage D (Q axis current)";-3.66795E-005;mVs;
"Flux Linkage Q (Q axis current)";0.566296;mVs;
"Flux linkage D (On load)";-0.552803;mVs;
"Flux linkage Q (On load)";0.567353;mVs;
"Torque Constant (Kt)";2.48294E-005;Nm/A;
"Motor Constant (Km)";0.000512453;Nm/(Watts^0.5);
"Stall Current";31947.4;Amps;
"Stall Torque";0.793237;Nm;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";290;mm;

Flux Densities
"Airgap flux density (mean)";0.007979;Tesla;
"Airgap Flux Density (peak)";0.01564;Tesla;
"Stator Tooth Flux Density (peak)";0.0258;Tesla;
"Stator Tooth Tip Flux Density (peak)";0.01919;Tesla;
"Stator Back Iron Flux Density (peak)";0.01354;Tesla;
"Rotor Back Iron Flux Density (peak)";0.002811;Tesla;

Losses
"Armature DC Copper Loss (on load)";0.05869;Watts;
"Stator iron Loss [total] (on load)";0.08897;Watts;
"Rotor iron Loss [total] (on load)";0.006545;Watts;
"Wedge Loss (on load)";0;Watts;
"Windage Loss (user input)";0;Watts;
"Friction Loss (user input)";0;Watts;
"Shaft Loss [total] (on load)";0;Watts;
"Total Losses (on load)";0.1542;Watts;
"Stator back iron Loss [hysteresis - fundamental] (on load)";0.03208;Watts;
"Stator back iron Loss [hysteresis - minor loops] (on load)";1.24E-008;Watts;
"Stator back iron Loss [hysteresis] (on load)";0.03208;Watts;
"Stator back iron Loss [eddy] (on load)";0.009943;Watts;
"Stator back iron Loss [excess] (on load)";0;Watts;
"Stator back iron Loss [total] (on load)";0.04203;Watts;
"Stator tooth Loss [hysteresis - fundamental] (on load)";0.03569;Watts;
"Stator tooth Loss [hysteresis - minor loops] (on load)";6.886E-011;Watts;
"Stator tooth Loss [hysteresis] (on load)";0.03569;Watts;
"Stator tooth Loss [eddy] (on load)";0.01126;Watts;
"Stator tooth Loss [excess] (on load)";0;Watts;
"Stator tooth Loss [total] (on load)";0.04694;Watts;
"Stator iron Loss [total] (on load)";0.08897;Watts;
"Rotor back iron Loss [hysteresis] (on load)";1.264E-005;Watts;
"Rotor back iron Loss [eddy] (on load)";2.974E-007;Watts;
"Rotor back iron Loss [excess] (on load)";0;Watts;
"Rotor back iron Loss [total] (on load)";1.294E-005;Watts;
"Rotor magnet pole Loss [hysteresis] (on load)";0.005039;Watts;
