Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";337.9;Volts;
"Line-Line Terminal Voltage (rms)";240.9;Volts;
"Phase Terminal Voltage (peak)";181.7;Volts;
"Phase Terminal Voltage (rms)";140.4;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";4.668;%;
"Harmonic Distortion Phase Terminal Voltage";14.71;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";386.9;Amps;
"Line Current (peak)";1153;Amps;
"Line Current (rms)";815;Amps;
"Phase Current (peak)";1153;Amps;
"Phase Current (rms)";815;Amps;
"Phase Advance";58.52;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";45;EDeg;
"Phasor Offset Angle";20;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.03912;mH;
"Q Axis Inductance";0.101;mH;
"Line-Line Inductance (DQ)";0.1412;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0001941;mH;
"D Axis Phase Current (average rms)";-695.1;Amps;
"Q Axis Phase Current (average rms)";425.6;Amps;
"Torque Constant (Kt)";0.1902;Nm/A;
"Motor Constant (Km)";3.422;Nm/(Watts^0.5);
"Electrical Constant";34.02;msec;
"Electrical Loading";6.367E004;Amps/m;
"Stall Current";9.715E004;Amps;
"Stall Torque";1.847E004;Nm;
"Short Circuit Line Current (peak)";0.03175;Amps;
"Short Circuit Current Density (peak)";0.000595;Amps/mm©÷;
"Short Circuit Current Density (rms)";0.0004208;Amps/mm©÷;
"Short Circuit Braking Torque";-4.574E-009;Nm;
"Short Circuit Max Braking Torque";-1.434E-007;Nm;
"Short Circuit Max Braking Torque Speed";110.9;rpm;
"Fundamental Frequency";433.3;Hz;
"Shaft Speed";6500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 45 EDeg)";246.43;Nm;
"Average torque (virtual work)";219.59;Nm;
"Average torque (Maxwell stress)";218.75;Nm;
"Average torque (DQ)";219.49;Nm;
"Average torque (loop torque)";217.89;Nm;
"Torque Ripple (MsVw)";12.285;Nm;
"Torque Ripple (MsVw) [%]";5.6053;%;
"Speed limit for constant torque_(For Phase Advance of 58.52 EDeg)";7631.9;rpm;
"No load speed";-4.427E008;rpm;
"Speed limit for zero q axis current";12227;rpm;
"Electromagnetic Power";1.4918E005;Watts;
"Input Power";1.5475E005;Watts;
"Total Losses (on load)";10769;Watts;
"Output Power";1.4398E005;Watts;
"System Efficiency";93.041;%;
"Shaft Torque";211.53;Nm;
"Power Factor [Waveform] (lagging)";0.45102;;
"Power Factor Angle [Waveform]";63.191;EDeg;
"Power Factor [THD]";0.44622;;
"Power Factor [Phasor] (lagging)";0.45399;;
"Power Factor Angle [Phasor]";63;EDeg;
"Load Angle [Phasor]";121.71;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";139.19;Volts;
"Rotor Inertia";0.060725;kg.m©÷;
"Shaft Inertia";0.0023147;kg.m©÷;
"Total Inertia";0.063039;kg.m©÷;
"Torque per rotor volume";45.348;kNm/m©ø;
"Rotor peripheral velocity (on load)";49.577;m/s;
"Flux Linkage D (Q axis current)";-0.00124537;mVs;
"Flux Linkage Q (Q axis current)";69.3231;mVs;
"Flux linkage D (On load)";-38.455;mVs;
"Flux linkage Q (On load)";60.7632;mVs;
"Torque Constant (Kt)";0.190156;Nm/A;
"Motor Constant (Km)";3.42189;Nm/(Watts^0.5);
"Stall Current";97147.9;Amps;
"Stall Torque";18473.3;Nm;
"Fundamental Frequency";433.333;Hz;
"Mechanical Frequency";108.333;Hz;
"Optimum Skewing Angle";5;MDeg;
