Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";874.2;Volts;
"Line-Line Terminal Voltage (rms)";608.3;Volts;
"Phase Terminal Voltage (peak)";511.6;Volts;
"Phase Terminal Voltage (rms)";351.9;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.729;%;
"Harmonic Distortion Phase Terminal Voltage";6.624;%;
"Back EMF Line-Line Voltage (peak)";808.7;Volts;
"Back EMF Phase Voltage (peak)";466.9;Volts;
"Back EMF Line-Line Voltage (rms)";571.8;Volts;
"Back EMF Phase Voltage (rms)";330.1;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";36.32;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";8.284;EDeg;
"Phasor Offset Angle";10;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";14.99;mH;
"Q Axis Inductance";37.33;mH;
"Line-Line Inductance (DQ)";52.31;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.888;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.536;Amps;
"Torque Constant (Kt)";2.23;Nm/A;
"Motor Constant (Km)";0.9858;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";2.574;Vs/Rad;
"Electrical Constant";7.669;msec;
"Electrical Loading";2.532E004;Amps/m;
"Stall Current";14.66;Amps;
"Stall Torque";32.69;Nm;
"Short Circuit Line Current (peak)";47.6;Amps;
"Short Circuit Current Density (peak)";69.42;Amps/mm©÷;
"Short Circuit Current Density (rms)";49.09;Amps/mm©÷;
"Short Circuit Braking Torque";-36.9;Nm;
"Short Circuit Max Braking Torque";-65.84;Nm;
"Short Circuit Max Braking Torque Speed";972.9;rpm;
"Fundamental Frequency";100;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 8.284 EDeg)";11.269;Nm;
"Average torque (virtual work)";11.149;Nm;
"Average torque (loop torque)";11.081;Nm;
"Torque Ripple (MsVw)";0.98728;Nm;
"Torque Ripple (MsVw) [%]";8.856;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";255.8;rpm;
"No load speed";370.97;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";3502.3;Watts;
"Input Power";3632.4;Watts;
"Total Losses (on load)";203.85;Watts;
"Output Power_Operating point outside voltage limit.";3428.5;Watts;
"System Efficiency";94.388;%;
"Shaft Torque";10.913;Nm;
"Power Factor [Waveform] (lagging)";0.97399;;
"Power Factor Angle [Waveform]";13.097;EDeg;
"Power Factor [THD]";0.97186;;
"Power Factor [Phasor] (lagging)";0.9703;;
"Power Factor Angle [Phasor]";14;EDeg;
"Load Angle [Phasor]";13.621;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";352.11;Volts;
"Rotor Inertia";0.0023158;kg.m©÷;
"Shaft Inertia";7.4782E-005;kg.m©÷;
"Total Inertia";0.0023906;kg.m©÷;
"Torque per rotor volume";25.923;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.252;m/s;
"Flux Linkage D (Q axis current)";743.091;mVs;
"Flux Linkage Q (Q axis current)";182.732;mVs;
"Flux linkage D (On load)";744.139;mVs;
"Flux linkage Q (On load)";179.417;mVs;
"Torque Constant (Kt)";2.22963;Nm/A;
"Motor Constant (Km)";0.985791;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";2.57414;Vs/Rad;
"Stall Current";14.6611;Amps;
"Stall Torque";32.6887;Nm;
"Cogging Period";10;MDeg;
"Cogging Frequency";1800;Hz;
"Fundamental Frequency";100;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";10;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";90;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 8.284 EDeg)";11.269;Nm;
"Average torque (virtual work)";11.149;Nm;
"Average torque (loop torque)";11.081;Nm;
"Torque Ripple (MsVw)";0.98728;Nm;
"Torque Ripple (MsVw) [%]";8.856;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";255.8;rpm;
"No load speed";370.97;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";3502.3;Watts;
"Input Power";3632.4;Watts;
"Total Losses (on load)";203.85;Watts;
"Output Power_Operating point outside voltage limit.";3428.5;Watts;
"System Efficiency";94.388;%;
"Shaft Torque";10.913;Nm;
"Power Factor [Waveform] (lagging)";0.97399;;
"Power Factor Angle [Waveform]";13.097;EDeg;
"Power Factor [THD]";0.97186;;
"Power Factor [Phasor] (lagging)";0.9703;;
"Power Factor Angle [Phasor]";14;EDeg;
"Load Angle [Phasor]";13.621;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";352.11;Volts;
"Rotor Inertia";0.0023158;kg.m©÷;
"Shaft Inertia";7.4782E-005;kg.m©÷;
"Total Inertia";0.0023906;kg.m©÷;
"Torque per rotor volume";25.923;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.252;m/s;
"Flux Linkage D (Q axis current)";743.091;mVs;
"Flux Linkage Q (Q axis current)";182.732;mVs;
"Flux linkage D (On load)";744.139;mVs;
"Flux linkage Q (On load)";179.417;mVs;
"Torque Constant (Kt)";2.22963;Nm/A;
"Motor Constant (Km)";0.985791;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";2.57414;Vs/Rad;
"Stall Current";14.6611;Amps;
"Stall Torque";32.6887;Nm;
"Cogging Period";10;MDeg;
"Cogging Frequency";1800;Hz;
"Fundamental Frequency";100;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";10;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";90;mm;

Equivalent Circuit
"Phase Resistance";3.41;Ohms;
"D Axis Inductance";14.99;mH;
"Q Axis Inductance";37.33;mH;
"Stator Slot Leakage Inductance";7.324;mH;
"Stator Differential Leakage Inductance";1.609;mH;
"Armature End Winding Inductance_(Rosa and Grover)";1.888;mH;
"Stator Leakage Inductance (Total)";10.82;mH;
"Magnetizing Inductance (D Axis)";4.165;mH;
"Magnetizing Inductance (Q Axis)";26.51;mH;
"D Axis Reactance";9.416;Ohms;
"Q Axis Reactance";23.45;Ohms;
"Stator Slot Leakage Reactance";4.602;Ohms;
"Stator Differential Leakage Reactance";1.011;Ohms;
"Armature End Winding Reactance";1.186;Ohms;
"Stator Leakage Reactance (Total)";6.799;Ohms;
"Magnetizing Reactance (D Axis)";2.617;Ohms;
"Magnetizing Reactance (Q Axis)";16.65;Ohms;
"Rotor Referred Resistance";139.2;Ohms;
"First Order Transient Reactance (D Axis)";6.799;Ohms;
"First Order Transient Reactance (Q Axis)";23.45;Ohms;
"Excitation Time Constant (Te)";2.991E-005;secs;
"First Order Transient Time Constant (Td')";2.16E-005;secs;
"Armature Time Constant (Ta)";0.007059;secs;

Flux Densities
"Airgap flux density (mean)";0.5543;Tesla;
"Airgap Flux Density (peak)";0.9435;Tesla;
"Stator Tooth Flux Density (peak)";1.485;Tesla;
