Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";30.96;Volts;
"Line-Line Terminal Voltage (rms)";21.98;Volts;
"Phase Terminal Voltage (peak)";17.94;Volts;
"Phase Terminal Voltage (rms)";12.69;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.4538;%;
"Harmonic Distortion Phase Terminal Voltage";1.596;%;
"Back EMF Line-Line Voltage (peak)";27.64;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";27.67;Volts;
"Back EMF Phase Voltage (peak)";16.05;Volts;
"Back EMF Line-Line Voltage (rms)";19.57;Volts;
"Back EMF Phase Voltage (rms)";11.3;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.1442;%;
"Harmonic Distortion Back EMF Phase Voltage";0.588;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.634;Amps;
"Line Current (peak)";13.58;Amps;
"Line Current (rms)";9.606;Amps;
"Phase Current (peak)";13.58;Amps;
"Phase Current (rms)";9.606;Amps;
"Phase Advance";1.237;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.4829;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2859;mH;
"Q Axis Inductance";0.2944;mH;
"Line-Line Inductance (DQ)";0.5802;mH;
"Self Inductance";0.3053;mH;
"Mutual Inductance";-0.03077;mH;
"Line-Line Inductance";0.6721;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0107;mH;
"D Axis Phase Current (average rms)";-0.2074;Amps;
"Q Axis Phase Current (average rms)";9.604;Amps;
"Torque Constant (Kt)";0.103;Nm/A;
"Motor Constant (Km)";0.2419;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.12;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1201;Vs/Rad;
"Electrical Constant";2.402;msec;
"Mechanical Constant";1.162;msec;
"Electrical Loading";2.219E004;Amps/m;
"Stall Current";198.7;Amps;
"Stall Torque";20.46;Nm;
"Short Circuit Line Current (peak)";45.14;Amps;
"Short Circuit Current Density (peak)";47.5;Amps/mm©÷;
"Short Circuit Current Density (rms)";33.59;Amps/mm©÷;
"Short Circuit Braking Torque";-1.602;Nm;
"Short Circuit Max Braking Torque";-2.478;Nm;
"Short Circuit Max Braking Torque Speed";806.8;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.4829 EDeg)";1.4003;Nm;
"Average torque (virtual work)";1.4001;Nm;
"Average torque (loop torque)";1.3911;Nm;
"Torque Ripple (MsVw)";0.028315;Nm;
"Torque Ripple (MsVw) [%]";2.0243;%;
"Cogging Torque Ripple (Vw)";0.029929;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.237 EDeg)";3505.8;rpm;
"No load speed";3820.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";322.25;Watts;
"Input Power";355.88;Watts;
"Total Losses (on load)";66.572;Watts;
"Output Power";289.31;Watts;
"Converter Efficiency";97.124;%;
"Motor Efficiency";81.294;%;
"System Efficiency";78.956;%;
"Shaft Torque";1.2558;Nm;
"Power Factor [Waveform] (lagging)";0.97218;;
"Power Factor Angle [Waveform]";13.547;EDeg;
"Power Factor [THD]";0.97205;;
"Power Factor [Phasor] (lagging)";0.9703;;
"Power Factor Angle [Phasor]";14;EDeg;
"Load Angle [Phasor]";14.836;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12.817;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";7.2089E-006;kg.m©÷;
"Total Inertia";0.00012609;kg.m©÷;
"Torque per rotor volume";19.325;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.5292;m/s;
"Flux Linkage D (Q axis current)";13.7432;mVs;
"Flux Linkage Q (Q axis current)";3.94106;mVs;
"Flux linkage D (On load)";13.6716;mVs;
"Flux linkage Q (On load)";3.95203;mVs;
"Torque Constant (Kt)";0.102963;Nm/A;
"Motor Constant (Km)";0.241919;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.119962;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.120119;Vs/Rad;
"Stall Current";198.735;Amps;
"Stall Torque";20.4625;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
