Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";32.74;Volts;
"Line-Line Terminal Voltage (rms)";22.91;Volts;
"Phase Terminal Voltage (peak)";18.18;Volts;
"Phase Terminal Voltage (rms)";13.24;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.501;%;
"Harmonic Distortion Phase Terminal Voltage";5.034;%;
"Back EMF Line-Line Voltage (peak)";29.44;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";29.39;Volts;
"Back EMF Phase Voltage (peak)";17.06;Volts;
"Back EMF Line-Line Voltage (rms)";20.78;Volts;
"Back EMF Phase Voltage (rms)";12;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3431;%;
"Harmonic Distortion Back EMF Phase Voltage";0.6401;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.49;Amps;
"Line Current (peak)";13.15;Amps;
"Line Current (rms)";9.297;Amps;
"Phase Current (peak)";13.15;Amps;
"Phase Current (rms)";9.297;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.4289;mH;
"Q Axis Inductance";0.4051;mH;
"Line-Line Inductance (DQ)";0.834;mH;
"Self Inductance";0.6666;mH;
"Mutual Inductance";-0.09143;mH;
"Line-Line Inductance";1.516;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009677;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";9.297;Amps;
"Torque Constant (Kt)";0.1065;Nm/A;
"Motor Constant (Km)";0.2734;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1278;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1275;Vs/Rad;
"Electrical Constant";4.124;msec;
"Mechanical Constant";0.9392;msec;
"Electrical Loading";2.148E004;Amps/m;
"Stall Current";237.4;Amps;
"Stall Torque";25.27;Nm;
"Short Circuit Line Current (peak)";32.58;Amps;
"Short Circuit Current Density (peak)";28.7;Amps/mm©÷;
"Short Circuit Current Density (rms)";20.3;Amps/mm©÷;
"Short Circuit Braking Torque";-0.6986;Nm;
"Short Circuit Max Braking Torque";-1.779;Nm;
"Short Circuit Max Braking Torque Speed";450.3;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4062;Nm;
"Average torque (virtual work)";1.403;Nm;
"Average torque (loop torque)";1.3958;Nm;
"Torque Ripple (MsVw)";0.024637;Nm;
"Torque Ripple (MsVw) [%]";1.7598;%;
"Cogging Torque Ripple (Vw)";0.0063873;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3320.2;rpm;
"No load speed";3587.1;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";322.52;Watts;
"Input Power";348.96;Watts;
"Total Losses (on load)";60.235;Watts;
"Output Power";288.72;Watts;
"Converter Efficiency";97.068;%;
"Motor Efficiency";82.739;%;
"System Efficiency";80.313;%;
"Shaft Torque";1.2532;Nm;
"Power Factor [Waveform] (lagging)";0.94741;;
"Power Factor Angle [Waveform]";18.663;EDeg;
"Power Factor [THD]";0.94622;;
"Power Factor [Phasor] (lagging)";0.94552;;
"Power Factor Angle [Phasor]";19;EDeg;
"Load Angle [Phasor]";18.54;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";13.645;Volts;
"Rotor Inertia";0.00012638;kg.m©÷;
"Shaft Inertia";7.2089E-006;kg.m©÷;
"Total Inertia";0.00013359;kg.m©÷;
"Torque per rotor volume";18.866;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.5983;m/s;
"Flux Linkage D (Q axis current)";14.2602;mVs;
"Flux Linkage Q (Q axis current)";5.18383;mVs;
"Flux linkage D (On load)";14.259;mVs;
"Flux linkage Q (On load)";5.20466;mVs;
"Torque Constant (Kt)";0.106475;Nm/A;
"Motor Constant (Km)";0.273402;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.12778;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.127549;Vs/Rad;
"Stall Current";237.361;Amps;
"Stall Torque";25.273;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
