Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";30.77;Volts;
"Line-Line Terminal Voltage (rms)";21.68;Volts;
"Phase Terminal Voltage (peak)";17.71;Volts;
"Phase Terminal Voltage (rms)";12.52;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.161;%;
"Harmonic Distortion Phase Terminal Voltage";1.562;%;
"Back EMF Line-Line Voltage (peak)";28.82;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";28.45;Volts;
"Back EMF Phase Voltage (peak)";16.64;Volts;
"Back EMF Line-Line Voltage (rms)";20.12;Volts;
"Back EMF Phase Voltage (rms)";11.62;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.425;%;
"Harmonic Distortion Back EMF Phase Voltage";1.52;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.421;Amps;
"Line Current (peak)";13.19;Amps;
"Line Current (rms)";9.329;Amps;
"Phase Current (peak)";13.19;Amps;
"Phase Current (rms)";9.329;Amps;
"Phase Advance";0.1927;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1769;mH;
"Q Axis Inductance";0.1761;mH;
"Line-Line Inductance (DQ)";0.353;mH;
"Self Inductance";0.4167;mH;
"Mutual Inductance";-0.05009;mH;
"Line-Line Inductance";0.9336;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008756;mH;
"D Axis Phase Current (average rms)";-0.03138;Amps;
"Q Axis Phase Current (average rms)";9.329;Amps;
"Torque Constant (Kt)";0.1059;Nm/A;
"Motor Constant (Km)";0.2899;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1251;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1235;Vs/Rad;
"Electrical Constant";1.983;msec;
"Mechanical Constant";0.9461;msec;
"Electrical Loading";2.109E004;Amps/m;
"Stall Current";269.7;Amps;
"Stall Torque";28.57;Nm;
"Short Circuit Line Current (peak)";73.54;Amps;
"Short Circuit Current Density (peak)";57.8;Amps/mm©÷;
"Short Circuit Current Density (rms)";40.87;Amps/mm©÷;
"Short Circuit Braking Torque";-3.133;Nm;
"Short Circuit Max Braking Torque";-4.272;Nm;
"Short Circuit Max Braking Torque Speed";960.7;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4046;Nm;
"Average torque (virtual work)";1.401;Nm;
"Average torque (loop torque)";1.3964;Nm;
"Torque Ripple (MsVw)";0.047779;Nm;
"Torque Ripple (MsVw) [%]";3.4193;%;
"Cogging Torque Ripple (Vw)";0.011644;Nm;
"Speed limit for constant torque_(For Phase Advance of 0.1927 EDeg)";3527.5;rpm;
"No load speed";3663.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";321.92;Watts;
"Input Power";345.66;Watts;
"Total Losses (on load)";57.535;Watts;
"Output Power";288.13;Watts;
"Converter Efficiency";97.041;%;
"Motor Efficiency";83.355;%;
"System Efficiency";80.889;%;
"Shaft Torque";1.2507;Nm;
"Power Factor [Waveform] (lagging)";0.98935;;
"Power Factor Angle [Waveform]";8.3705;EDeg;
"Power Factor [THD]";0.98923;;
"Power Factor [Phasor] (lagging)";0.99027;;
"Power Factor Angle [Phasor]";8;EDeg;
"Load Angle [Phasor]";8.6594;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12.584;Volts;
"Rotor Inertia";0.00014088;kg.m©÷;
"Shaft Inertia";7.2089E-006;kg.m©÷;
"Total Inertia";0.00014808;kg.m©÷;
"Torque per rotor volume";18.007;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.725;m/s;
"Flux Linkage D (Q axis current)";14.1953;mVs;
"Flux Linkage Q (Q axis current)";2.29559;mVs;
"Flux linkage D (On load)";14.2083;mVs;
"Flux linkage Q (On load)";2.28898;mVs;
"Torque Constant (Kt)";0.105913;Nm/A;
"Motor Constant (Km)";0.289895;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.125102;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1235;Vs/Rad;
"Stall Current";269.705;Amps;
"Stall Torque";28.5652;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
