Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";27.57;Volts;
"Line-Line Terminal Voltage (rms)";19.64;Volts;
"Phase Terminal Voltage (peak)";15.55;Volts;
"Phase Terminal Voltage (rms)";11.35;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.323;%;
"Harmonic Distortion Phase Terminal Voltage";2.978;%;
"Back EMF Line-Line Voltage (peak)";24.98;Volts;
"Back EMF Phase Voltage (peak)";14.42;Volts;
"Back EMF Line-Line Voltage (rms)";17.66;Volts;
"Back EMF Phase Voltage (rms)";10.2;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.47;Amps;
"Line Current (peak)";14.95;Amps;
"Line Current (rms)";10.57;Amps;
"Phase Current (peak)";14.95;Amps;
"Phase Current (rms)";10.57;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2428;mH;
"Q Axis Inductance";0.2328;mH;
"Line-Line Inductance (DQ)";0.4756;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007083;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";10.57;Amps;
"Torque Constant (Kt)";0.09343;Nm/A;
"Motor Constant (Km)";0.2734;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1084;Vs/Rad;
"Electrical Constant";3.056;msec;
"Electrical Loading";2.65E004;Amps/m;
"Stall Current";308.4;Amps;
"Stall Torque";28.81;Nm;
"Short Circuit Line Current (peak)";49.67;Amps;
"Short Circuit Current Density (peak)";35.04;Amps/mm©÷;
"Short Circuit Current Density (rms)";24.78;Amps/mm©÷;
"Short Circuit Braking Torque";-1.25;Nm;
"Short Circuit Max Braking Torque";-2.421;Nm;
"Short Circuit Max Braking Torque Speed";612.1;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4036;Nm;
"Average torque (virtual work)";1.4005;Nm;
"Average torque (loop torque)";1.3931;Nm;
"Torque Ripple (MsVw)";0.033721;Nm;
"Torque Ripple (MsVw) [%]";2.4146;%;
"Cogging Torque Ripple (Vw)";0.0052138;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3908.2;rpm;
"No load speed";4227.6;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";321.74;Watts;
"Input Power";348.01;Watts;
"Total Losses (on load)";59.369;Watts;
"Output Power";288.64;Watts;
"Converter Efficiency";97.06;%;
"Motor Efficiency";82.94;%;
"System Efficiency";80.502;%;
"Shaft Torque";1.2529;Nm;
"Power Factor [Waveform] (lagging)";0.9696;;
"Power Factor Angle [Waveform]";14.165;EDeg;
"Power Factor [THD]";0.96917;;
"Power Factor [Phasor] (lagging)";0.9703;;
"Power Factor Angle [Phasor]";14;EDeg;
"Load Angle [Phasor]";14.423;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";11.379;Volts;
"Rotor Inertia";8.251E-005;kg.m©÷;
"Shaft Inertia";7.2089E-006;kg.m©÷;
"Total Inertia";8.9719E-005;kg.m©÷;
"Torque per rotor volume";22.248;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.1491;m/s;
"Flux Linkage D (Q axis current)";12.5195;mVs;
"Flux Linkage Q (Q axis current)";3.40287;mVs;
"Flux linkage D (On load)";12.5173;mVs;
"Flux linkage Q (On load)";3.4132;mVs;
"Torque Constant (Kt)";0.0934252;Nm/A;
"Motor Constant (Km)";0.273436;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.108422;Vs/Rad;
"Stall Current";308.379;Amps;
"Stall Torque";28.8104;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
"Magnetic Axial Length (Slice3)";5.53;mm;
"Magnetic Axial Length (Slice4)";5.53;mm;
"Magnetic Axial Length (Slice5)";5.53;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4036;Nm;
"Average torque (virtual work)";1.4005;Nm;
"Average torque (loop torque)";1.3931;Nm;
"Torque Ripple (MsVw)";0.033721;Nm;
"Torque Ripple (MsVw) [%]";2.4146;%;
