Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";29.33;Volts;
"Line-Line Terminal Voltage (rms)";20.67;Volts;
"Phase Terminal Voltage (peak)";16.87;Volts;
"Phase Terminal Voltage (rms)";11.93;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.078;%;
"Harmonic Distortion Phase Terminal Voltage";1.591;%;
"Back EMF Line-Line Voltage (peak)";27.49;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";27.18;Volts;
"Back EMF Phase Voltage (peak)";15.78;Volts;
"Back EMF Line-Line Voltage (rms)";19.22;Volts;
"Back EMF Phase Voltage (rms)";11.1;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.302;%;
"Harmonic Distortion Back EMF Phase Voltage";1.344;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.5;Amps;
"Line Current (peak)";13.96;Amps;
"Line Current (rms)";9.874;Amps;
"Phase Current (peak)";13.96;Amps;
"Phase Current (rms)";9.874;Amps;
"Phase Advance";0.5123;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.2343;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1505;mH;
"Q Axis Inductance";0.1545;mH;
"Line-Line Inductance (DQ)";0.3051;mH;
"Self Inductance";0.4105;mH;
"Mutual Inductance";-0.05008;mH;
"Line-Line Inductance";0.9212;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007767;mH;
"D Axis Phase Current (average rms)";-0.08829;Amps;
"Q Axis Phase Current (average rms)";9.874;Amps;
"Torque Constant (Kt)";0.1013;Nm/A;
"Motor Constant (Km)";0.2947;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1193;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.118;Vs/Rad;
"Electrical Constant";1.937;msec;
"Mechanical Constant";0.9178;msec;
"Electrical Loading";2.232E004;Amps/m;
"Stall Current";304.8;Amps;
"Stall Torque";30.87;Nm;
"Short Circuit Line Current (peak)";81.98;Amps;
"Short Circuit Current Density (peak)";57.83;Amps/mm©÷;
"Short Circuit Current Density (rms)";40.89;Amps/mm©÷;
"Short Circuit Braking Torque";-3.446;Nm;
"Short Circuit Max Braking Torque";-4.577;Nm;
"Short Circuit Max Braking Torque Speed";999.1;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.2343 EDeg)";1.4196;Nm;
"Average torque (virtual work)";1.4185;Nm;
"Average torque (loop torque)";1.4123;Nm;
"Torque Ripple (MsVw)";0.054234;Nm;
"Torque Ripple (MsVw) [%]";3.8339;%;
"Cogging Torque Ripple (Vw)";0.027571;Nm;
"Speed limit for constant torque_(For Phase Advance of 0.5123 EDeg)";3709.8;rpm;
"No load speed";3841.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";325.9;Watts;
"Input Power";349.48;Watts;
"Total Losses (on load)";57.362;Watts;
"Output Power";292.12;Watts;
"Converter Efficiency";97.072;%;
"Motor Efficiency";83.586;%;
"System Efficiency";81.139;%;
"Shaft Torque";1.268;Nm;
"Power Factor [Waveform] (lagging)";0.99058;;
"Power Factor Angle [Waveform]";7.8722;EDeg;
"Power Factor [THD]";0.99045;;
"Power Factor [Phasor] (lagging)";0.99027;;
"Power Factor Angle [Phasor]";8;EDeg;
"Load Angle [Phasor]";8.4618;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";11.99;Volts;
"Rotor Inertia";0.00014088;kg.m©÷;
"Shaft Inertia";7.2089E-006;kg.m©÷;
"Total Inertia";0.00014808;kg.m©÷;
"Torque per rotor volume";18.229;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.725;m/s;
"Flux Linkage D (Q axis current)";13.5549;mVs;
"Flux Linkage Q (Q axis current)";2.13353;mVs;
"Flux linkage D (On load)";13.5658;mVs;
"Flux linkage Q (On load)";2.13116;mVs;
"Torque Constant (Kt)";0.101303;Nm/A;
"Motor Constant (Km)";0.294743;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.119329;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.117975;Vs/Rad;
"Stall Current";304.75;Amps;
"Stall Torque";30.8721;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
