Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";29.13;Volts;
"Line-Line Terminal Voltage (rms)";20.55;Volts;
"Phase Terminal Voltage (peak)";16.6;Volts;
"Phase Terminal Voltage (rms)";11.86;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.018;%;
"Harmonic Distortion Phase Terminal Voltage";1.69;%;
"Back EMF Line-Line Voltage (peak)";27.15;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";27.13;Volts;
"Back EMF Phase Voltage (peak)";15.62;Volts;
"Back EMF Line-Line Voltage (rms)";19.18;Volts;
"Back EMF Phase Voltage (rms)";11.08;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.2786;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5001;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.367;Amps;
"Line Current (peak)";13.86;Amps;
"Line Current (rms)";9.802;Amps;
"Phase Current (peak)";13.86;Amps;
"Phase Current (rms)";9.802;Amps;
"Phase Advance";0.241;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.1084;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1813;mH;
"Q Axis Inductance";0.1832;mH;
"Line-Line Inductance (DQ)";0.3645;mH;
"Self Inductance";0.4806;mH;
"Mutual Inductance";-0.06271;mH;
"Line-Line Inductance";1.087;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007835;mH;
"D Axis Phase Current (average rms)";-0.04123;Amps;
"Q Axis Phase Current (average rms)";9.802;Amps;
"Torque Constant (Kt)";0.1009;Nm/A;
"Motor Constant (Km)";0.308;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1178;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1178;Vs/Rad;
"Electrical Constant";2.549;msec;
"Mechanical Constant";0.7153;msec;
"Electrical Loading";2.292E004;Amps/m;
"Stall Current";335.6;Amps;
"Stall Torque";33.85;Nm;
"Short Circuit Line Current (peak)";70.53;Amps;
"Short Circuit Current Density (peak)";44.9;Amps/mm©÷;
"Short Circuit Current Density (rms)";31.75;Amps/mm©÷;
"Short Circuit Braking Torque";-2.316;Nm;
"Short Circuit Max Braking Torque";-3.779;Nm;
"Short Circuit Max Braking Torque Speed";753.1;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.1084 EDeg)";1.4054;Nm;
"Average torque (virtual work)";1.4022;Nm;
"Average torque (loop torque)";1.3961;Nm;
"Torque Ripple (MsVw)";0.0381;Nm;
"Torque Ripple (MsVw) [%]";2.7251;%;
"Cogging Torque Ripple (Vw)";0.011544;Nm;
"Speed limit for constant torque_(For Phase Advance of 0.241 EDeg)";3715.4;rpm;
"No load speed";3890;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";322.11;Watts;
"Input Power";343.07;Watts;
"Total Losses (on load)";54.867;Watts;
"Output Power";288.2;Watts;
"Converter Efficiency";97.019;%;
"Motor Efficiency";84.007;%;
"System Efficiency";81.503;%;
"Shaft Torque";1.251;Nm;
"Power Factor [Waveform] (lagging)";0.9859;;
"Power Factor Angle [Waveform]";9.632;EDeg;
"Power Factor [THD]";0.98576;;
"Power Factor [Phasor] (lagging)";0.98481;;
"Power Factor Angle [Phasor]";10;EDeg;
"Load Angle [Phasor]";9.9831;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";11.949;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";7.2748E-006;kg.m©÷;
"Total Inertia";0.00012616;kg.m©÷;
"Torque per rotor volume";19.316;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.5292;m/s;
"Flux Linkage D (Q axis current)";13.5181;mVs;
"Flux Linkage Q (Q axis current)";2.50337;mVs;
"Flux linkage D (On load)";13.5168;mVs;
"Flux linkage Q (On load)";2.49812;mVs;
"Torque Constant (Kt)";0.10086;Nm/A;
"Motor Constant (Km)";0.307966;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.117832;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.117755;Vs/Rad;
"Stall Current";335.638;Amps;
"Stall Torque";33.8524;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
