Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";28.57;Volts;
"Line-Line Terminal Voltage (rms)";20.2;Volts;
"Phase Terminal Voltage (peak)";16.38;Volts;
"Phase Terminal Voltage (rms)";11.68;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.372;%;
"Harmonic Distortion Phase Terminal Voltage";5.028;%;
"Back EMF Line-Line Voltage (peak)";25.95;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";26.1;Volts;
"Back EMF Phase Voltage (peak)";14.98;Volts;
"Back EMF Line-Line Voltage (rms)";18.46;Volts;
"Back EMF Phase Voltage (rms)";10.66;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.7819;%;
"Harmonic Distortion Back EMF Phase Voltage";0.8938;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.419;Amps;
"Line Current (peak)";14.72;Amps;
"Line Current (rms)";10.41;Amps;
"Phase Current (peak)";14.72;Amps;
"Phase Current (rms)";10.41;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.3214;mH;
"Q Axis Inductance";0.3073;mH;
"Line-Line Inductance (DQ)";0.6287;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.00727;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";10.41;Amps;
"Torque Constant (Kt)";0.09503;Nm/A;
"Motor Constant (Km)";0.291;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1126;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1133;Vs/Rad;
"Electrical Constant";4.422;msec;
"Mechanical Constant";0.5545;msec;
"Electrical Loading";2.605E004;Amps/m;
"Stall Current";337.6;Amps;
"Stall Torque";32.09;Nm;
"Short Circuit Line Current (peak)";38.92;Amps;
"Short Circuit Current Density (peak)";24.77;Amps/mm©÷;
"Short Circuit Current Density (rms)";17.52;Amps/mm©÷;
"Short Circuit Braking Torque";-0.7009;Nm;
"Short Circuit Max Braking Torque";-1.894;Nm;
"Short Circuit Max Braking Torque Speed";422.4;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4064;Nm;
"Average torque (virtual work)";1.4032;Nm;
"Average torque (loop torque)";1.3959;Nm;
"Torque Ripple (MsVw)";0.030236;Nm;
"Torque Ripple (MsVw) [%]";2.1611;%;
"Cogging Torque Ripple (Vw)";0.010337;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3776.1;rpm;
"No load speed";4069.5;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";322.33;Watts;
"Input Power";345.59;Watts;
"Total Losses (on load)";56.845;Watts;
"Output Power";288.75;Watts;
"Converter Efficiency";97.04;%;
"Motor Efficiency";83.551;%;
"System Efficiency";81.079;%;
"Shaft Torque";1.2533;Nm;
"Power Factor [Waveform] (lagging)";0.95105;;
"Power Factor Angle [Waveform]";18.001;EDeg;
"Power Factor [THD]";0.94985;;
"Power Factor [Phasor] (lagging)";0.95106;;
"Power Factor Angle [Phasor]";18;EDeg;
"Load Angle [Phasor]";17.917;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";11.977;Volts;
"Rotor Inertia";8.3498E-005;kg.m©÷;
"Shaft Inertia";7.2748E-006;kg.m©÷;
"Total Inertia";9.0773E-005;kg.m©÷;
"Torque per rotor volume";22.189;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.1606;m/s;
"Flux Linkage D (Q axis current)";12.7372;mVs;
"Flux Linkage Q (Q axis current)";4.40156;mVs;
"Flux linkage D (On load)";12.7354;mVs;
"Flux linkage Q (On load)";4.43243;mVs;
"Torque Constant (Kt)";0.0950343;Nm/A;
"Motor Constant (Km)";0.291036;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.112636;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.113299;Vs/Rad;
"Stall Current";337.625;Amps;
"Stall Torque";32.086;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
"Magnetic Axial Length (Slice4)";5.6;mm;
