Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";41.99;Volts;
"Line-Line Terminal Voltage (rms)";29.32;Volts;
"Phase Terminal Voltage (peak)";24.08;Volts;
"Phase Terminal Voltage (rms)";16.97;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.417;%;
"Harmonic Distortion Phase Terminal Voltage";7.127;%;
"Back EMF Line-Line Voltage (peak)";34.46;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";34.5;Volts;
"Back EMF Phase Voltage (peak)";20.01;Volts;
"Back EMF Line-Line Voltage (rms)";24.4;Volts;
"Back EMF Phase Voltage (rms)";14.09;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.2468;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5901;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";19.7;Amps;
"Line Current (peak)";28.61;Amps;
"Line Current (rms)";20.23;Amps;
"Phase Current (peak)";28.61;Amps;
"Phase Current (rms)";20.23;Amps;
"Phase Advance";1.923;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2933;mH;
"Q Axis Inductance";0.2865;mH;
"Line-Line Inductance (DQ)";0.5799;mH;
"Self Inductance";0.3989;mH;
"Mutual Inductance";-0.04615;mH;
"Line-Line Inductance";0.8902;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009678;mH;
"D Axis Phase Current (average rms)";-0.6788;Amps;
"Q Axis Phase Current (average rms)";20.22;Amps;
"Torque Constant (Kt)";0.1081;Nm/A;
"Motor Constant (Km)";0.2777;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1316;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1318;Vs/Rad;
"Electrical Constant";2.867;msec;
"Mechanical Constant";0.8978;msec;
"Electrical Loading";4.674E004;Amps/m;
"Stall Current";237.4;Amps;
"Stall Torque";25.67;Nm;
"Short Circuit Line Current (peak)";47.75;Amps;
"Short Circuit Current Density (peak)";42.08;Amps/mm©÷;
"Short Circuit Current Density (rms)";29.75;Amps/mm©÷;
"Short Circuit Braking Torque";-1.321;Nm;
"Short Circuit Max Braking Torque";-2.683;Nm;
"Short Circuit Max Braking Torque Speed";658.3;rpm;
"Fundamental Frequency";208.3;Hz;
"Shaft Speed";2500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";3.1083;Nm;
"Average torque (virtual work)";3.1001;Nm;
"Average torque (loop torque)";3.084;Nm;
"Torque Ripple (MsVw)";0.042137;Nm;
"Torque Ripple (MsVw) [%]";1.3619;%;
"Cogging Torque Ripple (Vw)";0.023049;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.923 EDeg)";2926.5;rpm;
"No load speed";3482.5;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";810.01;Watts;
"Input Power";935.1;Watts;
"Total Losses (on load)";166.73;Watts;
"Output Power";768.37;Watts;
"Converter Efficiency";98.885;%;
"Motor Efficiency";82.17;%;
"System Efficiency";81.254;%;
"Shaft Torque";2.9349;Nm;
"Power Factor [Waveform] (lagging)";0.91053;;
"Power Factor Angle [Waveform]";24.421;EDeg;
"Power Factor [THD]";0.90823;;
"Power Factor [Phasor] (lagging)";0.91355;;
"Power Factor Angle [Phasor]";24;EDeg;
"Load Angle [Phasor]";25.742;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.618;Volts;
"Rotor Inertia";0.00012638;kg.m©÷;
"Shaft Inertia";7.2089E-006;kg.m©÷;
"Total Inertia";0.00013359;kg.m©÷;
"Torque per rotor volume";41.696;kNm/m©ø;
"Rotor peripheral velocity (on load)";6.3617;m/s;
"Flux Linkage D (Q axis current)";14.4858;mVs;
"Flux Linkage Q (Q axis current)";7.97412;mVs;
"Flux linkage D (On load)";14.2161;mVs;
"Flux linkage Q (On load)";8.05555;mVs;
"Torque Constant (Kt)";0.108146;Nm/A;
"Motor Constant (Km)";0.277688;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.131619;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.131791;Vs/Rad;
"Stall Current";237.353;Amps;
"Stall Torque";25.6688;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2500;Hz;
"Fundamental Frequency";208.333;Hz;
"Mechanical Frequency";41.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
