Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";37.81;Volts;
"Line-Line Terminal Voltage (rms)";26.9;Volts;
"Phase Terminal Voltage (peak)";21.65;Volts;
"Phase Terminal Voltage (rms)";15.54;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.5969;%;
"Harmonic Distortion Phase Terminal Voltage";4.167;%;
"Back EMF Line-Line Voltage (peak)";33.38;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";33.06;Volts;
"Back EMF Phase Voltage (peak)";19.23;Volts;
"Back EMF Line-Line Voltage (rms)";23.38;Volts;
"Back EMF Phase Voltage (rms)";13.5;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.9207;%;
"Harmonic Distortion Back EMF Phase Voltage";1.087;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";19.16;Amps;
"Line Current (peak)";28.99;Amps;
"Line Current (rms)";20.5;Amps;
"Phase Current (peak)";28.99;Amps;
"Phase Current (rms)";20.5;Amps;
"Phase Advance";1.709;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1956;mH;
"Q Axis Inductance";0.1934;mH;
"Line-Line Inductance (DQ)";0.3889;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008224;mH;
"D Axis Phase Current (average rms)";-0.6114;Amps;
"Q Axis Phase Current (average rms)";20.49;Amps;
"Torque Constant (Kt)";0.1063;Nm/A;
"Motor Constant (Km)";0.3068;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1275;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1263;Vs/Rad;
"Electrical Constant";2.429;msec;
"Mechanical Constant";0.702;msec;
"Electrical Loading";4.794E004;Amps/m;
"Stall Current";299.8;Amps;
"Stall Torque";31.88;Nm;
"Short Circuit Line Current (peak)";69.46;Amps;
"Short Circuit Current Density (peak)";48.99;Amps/mm©÷;
"Short Circuit Current Density (rms)";34.64;Amps/mm©÷;
"Short Circuit Braking Torque";-2.213;Nm;
"Short Circuit Max Braking Torque";-3.884;Nm;
"Short Circuit Max Braking Torque Speed";781.8;rpm;
"Fundamental Frequency";208.3;Hz;
"Shaft Speed";2500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";3.0946;Nm;
"Average torque (virtual work)";3.0902;Nm;
"Average torque (loop torque)";3.0761;Nm;
"Torque Ripple (MsVw)";0.072878;Nm;
"Torque Ripple (MsVw) [%]";2.364;%;
"Cogging Torque Ripple (Vw)";0.0056845;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.709 EDeg)";3219.7;rpm;
"No load speed";3594.8;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";807.07;Watts;
"Input Power";908.98;Watts;
"Total Losses (on load)";143.37;Watts;
"Output Power";765.6;Watts;
"Converter Efficiency";98.854;%;
"Motor Efficiency";84.227;%;
"System Efficiency";83.262;%;
"Shaft Torque";2.9244;Nm;
"Power Factor [Waveform] (lagging)";0.95305;;
"Power Factor Angle [Waveform]";17.627;EDeg;
"Power Factor [THD]";0.95222;;
"Power Factor [Phasor] (lagging)";0.95106;;
"Power Factor Angle [Phasor]";18;EDeg;
"Load Angle [Phasor]";19.265;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";15.868;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";7.2748E-006;kg.m©÷;
"Total Inertia";0.00012616;kg.m©÷;
"Torque per rotor volume";42.59;kNm/m©ø;
"Rotor peripheral velocity (on load)";6.2832;m/s;
"Flux Linkage D (Q axis current)";14.2324;mVs;
"Flux Linkage Q (Q axis current)";5.49235;mVs;
"Flux linkage D (On load)";14.0932;mVs;
"Flux linkage Q (On load)";5.51227;mVs;
"Torque Constant (Kt)";0.106334;Nm/A;
"Motor Constant (Km)";0.306847;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.127508;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.126265;Vs/Rad;
"Stall Current";299.777;Amps;
"Stall Torque";31.8766;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2500;Hz;
"Fundamental Frequency";208.333;Hz;
"Mechanical Frequency";41.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
"Magnetic Axial Length (Slice4)";5.6;mm;
