Drive
"DC Bus Voltage";0;Volts;
"Line-Line Supply Voltage (rms)";0;Volts;
"Phase Supply Voltage (rms)";0;Volts;
"Line-Line Terminal Voltage (peak)";13.35;Volts;
"Line-Line Terminal Voltage (rms)";9.35;Volts;
"Phase Terminal Voltage (peak)";7.693;Volts;
"Phase Terminal Voltage (rms)";5.399;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.9133;%;
"Harmonic Distortion Phase Terminal Voltage";1.08;%;
"Back EMF Line-Line Voltage (peak)";13.35;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";13.22;Volts;
"Back EMF Phase Voltage (peak)";7.693;Volts;
"Back EMF Line-Line Voltage (rms)";9.35;Volts;
"Back EMF Phase Voltage (rms)";5.399;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.9133;%;
"Harmonic Distortion Back EMF Phase Voltage";1.08;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";INF;Amps;
"Line Current (peak)";0;Amps;
"Line Current (rms)";0;Amps;
"Phase Current (peak)";0;Amps;
"Phase Current (rms)";0;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0;mH;
"Q Axis Inductance";0;mH;
"Line-Line Inductance (DQ)";0;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008224;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0;Amps;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1275;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1263;Vs/Rad;
"Electrical Constant";0;msec;
"Mechanical Constant";0;msec;
"Electrical Loading";0;Amps/m;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Short Circuit Line Current (peak)";95.51;Amps;
"Short Circuit Current Density (peak)";67.37;Amps/mm©÷;
"Short Circuit Current Density (rms)";47.64;Amps/mm©÷;
"Short Circuit Braking Torque";-10.46;Nm;
"Short Circuit Max Braking Torque";0;Nm;
"Short Circuit Max Braking Torque Speed";0;rpm;
"Fundamental Frequency";83.33;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.00046496;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.006563;Nm;
"Torque Ripple (MsVw) [%]";-1239.1;%;
"Cogging Torque Ripple (Vw)";0.0056845;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";-0.055463;Watts;
"Input Power";-13.996;Watts;
"Total Losses (on load)";13.984;Watts;
"Output Power_Operating point outside voltage limit.";-0.012728;Watts;
"Converter Efficiency";57.043;%;
"Motor Efficiency";0.090935;%;
"System Efficiency";0.051872;%;
"Shaft Torque";-0.13365;Nm;
"Power Factor [Waveform] (leading)";-0.96596;;
"Power Factor Angle [Waveform]";-165.01;EDeg;
"Power Factor [THD]";-0.9659;;
"Power Factor [Phasor] (leading)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.3985;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";7.2748E-006;kg.m©÷;
"Total Inertia";0.00012616;kg.m©÷;
"Torque per rotor volume";-0.0073172;kNm/m©ø;
"Rotor peripheral velocity (on load)";2.5133;m/s;
"Flux Linkage D (Q axis current)";14.6041;mVs;
"Flux Linkage Q (Q axis current)";0.00246504;mVs;
"Flux linkage D (On load)";14.6069;mVs;
"Flux linkage Q (On load)";-0.00166966;mVs;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.127497;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.126269;Vs/Rad;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";1000;Hz;
"Fundamental Frequency";83.3333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
"Magnetic Axial Length (Slice4)";5.6;mm;
"Magnetic Axial Length (Slice5)";5.6;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.00046496;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.006563;Nm;
"Torque Ripple (MsVw) [%]";-1239.1;%;
"Cogging Torque Ripple (Vw)";0.0056845;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";-0.055463;Watts;
"Input Power";-13.996;Watts;
"Total Losses (on load)";13.984;Watts;
"Output Power_Operating point outside voltage limit.";-0.012728;Watts;
"Converter Efficiency";57.043;%;
