Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";31.38;Volts;
"Line-Line Terminal Voltage (rms)";22.28;Volts;
"Phase Terminal Voltage (peak)";18.21;Volts;
"Phase Terminal Voltage (rms)";12.86;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.4986;%;
"Harmonic Distortion Phase Terminal Voltage";1.591;%;
"Back EMF Line-Line Voltage (peak)";27.45;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";27.44;Volts;
"Back EMF Phase Voltage (peak)";15.95;Volts;
"Back EMF Line-Line Voltage (rms)";19.4;Volts;
"Back EMF Phase Voltage (rms)";11.2;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.1546;%;
"Harmonic Distortion Back EMF Phase Voltage";0.6435;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.73;Amps;
"Line Current (peak)";13.59;Amps;
"Line Current (rms)";9.613;Amps;
"Phase Current (peak)";13.59;Amps;
"Phase Current (rms)";9.613;Amps;
"Phase Advance";1.242;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.4259;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2936;mH;
"Q Axis Inductance";0.301;mH;
"Line-Line Inductance (DQ)";0.5946;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01031;mH;
"D Axis Phase Current (average rms)";-0.2084;Amps;
"Q Axis Phase Current (average rms)";9.611;Amps;
"Torque Constant (Kt)";0.102;Nm/A;
"Motor Constant (Km)";0.2175;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1191;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1191;Vs/Rad;
"Electrical Constant";2.026;msec;
"Mechanical Constant";1.435;msec;
"Electrical Loading";2.221E004;Amps/m;
"Stall Current";163.6;Amps;
"Stall Torque";16.69;Nm;
"Short Circuit Line Current (peak)";42.5;Amps;
"Short Circuit Current Density (peak)";44.72;Amps/mm©÷;
"Short Circuit Current Density (rms)";31.62;Amps/mm©÷;
"Short Circuit Braking Torque";-1.725;Nm;
"Short Circuit Max Braking Torque";-2.363;Nm;
"Short Circuit Max Braking Torque Speed";954.6;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.4259 EDeg)";1.3866;Nm;
"Average torque (virtual work)";1.3871;Nm;
"Average torque (loop torque)";1.387;Nm;
"Torque Ripple (MsVw)";0.028574;Nm;
"Torque Ripple (MsVw) [%]";2.0598;%;
"Cogging Torque Ripple (Vw)";0.024712;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.242 EDeg)";3488.2;rpm;
"No load speed";3847.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";319.6;Watts;
"Input Power";360.49;Watts;
"Total Losses (on load)";73.858;Watts;
"Output Power";286.63;Watts;
"Converter Efficiency";97.159;%;
"Motor Efficiency";79.512;%;
"System Efficiency";77.253;%;
"Shaft Torque";1.2442;Nm;
"Power Factor [Waveform] (lagging)";0.97138;;
"Power Factor Angle [Waveform]";13.741;EDeg;
"Power Factor [THD]";0.97126;;
"Power Factor [Phasor] (lagging)";0.9703;;
"Power Factor Angle [Phasor]";14;EDeg;
"Load Angle [Phasor]";15.011;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12.985;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";9.5338E-006;kg.m©÷;
"Total Inertia";0.00012842;kg.m©÷;
"Torque per rotor volume";19.165;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.5292;m/s;
"Flux Linkage D (Q axis current)";13.599;mVs;
"Flux Linkage Q (Q axis current)";4.04166;mVs;
"Flux linkage D (On load)";13.5252;mVs;
"Flux linkage Q (On load)";4.04558;mVs;
"Torque Constant (Kt)";0.102042;Nm/A;
"Motor Constant (Km)";0.217499;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.119136;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.119098;Vs/Rad;
"Stall Current";163.554;Amps;
"Stall Torque";16.6893;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
"Magnetic Axial Length (Slice3)";5.53;mm;
"Magnetic Axial Length (Slice4)";5.53;mm;
