Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";13.44;Volts;
"Line-Line Terminal Voltage (rms)";9.365;Volts;
"Phase Terminal Voltage (peak)";7.718;Volts;
"Phase Terminal Voltage (rms)";5.407;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.083;%;
"Harmonic Distortion Phase Terminal Voltage";1.271;%;
"Back EMF Line-Line Voltage (peak)";13.44;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";13.24;Volts;
"Back EMF Phase Voltage (peak)";7.718;Volts;
"Back EMF Line-Line Voltage (rms)";9.365;Volts;
"Back EMF Phase Voltage (rms)";5.407;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.083;%;
"Harmonic Distortion Back EMF Phase Voltage";1.271;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";0.2197;Amps;
"Line Current (peak)";0;Amps;
"Line Current (rms)";0;Amps;
"Phase Current (peak)";0;Amps;
"Phase Current (rms)";0;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0;mH;
"Q Axis Inductance";0;mH;
"Line-Line Inductance (DQ)";0;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008081;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0;Amps;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1283;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1265;Vs/Rad;
"Electrical Constant";0;msec;
"Mechanical Constant";0;msec;
"Electrical Loading";0;Amps/m;
"Stall Current";299.8;Amps;
"Stall Torque";-INF;Nm;
"Short Circuit Line Current (peak)";95.51;Amps;
"Short Circuit Current Density (peak)";67.37;Amps/mm©÷;
"Short Circuit Current Density (rms)";47.64;Amps/mm©÷;
"Short Circuit Braking Torque";-10.46;Nm;
"Short Circuit Max Braking Torque";0;Nm;
"Short Circuit Max Braking Torque Speed";0;rpm;
"Fundamental Frequency";83.33;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.00039282;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.0026883;Nm;
"Torque Ripple (MsVw) [%]";-686.72;%;
"Cogging Torque Ripple (Vw)";0.0026704;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3624.4;rpm;
"No load speed";3571.8;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";-0.040995;Watts;
"Input Power";-14.044;Watts;
"Total Losses (on load)";14.047;Watts;
"Output Power";0.003365;Watts;
"Converter Efficiency";57.126;%;
"Motor Efficiency";0.023961;%;
"System Efficiency";0.013688;%;
"Shaft Torque";-0.13411;Nm;
"Power Factor [Waveform] (leading)";-0.96592;;
"Power Factor Angle [Waveform]";-165;EDeg;
"Power Factor [THD]";-0.96585;;
"Power Factor [Phasor] (leading)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.4071;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";9.5338E-006;kg.m©÷;
"Total Inertia";0.00012842;kg.m©÷;
"Torque per rotor volume";-0.0054084;kNm/m©ø;
"Rotor peripheral velocity (on load)";2.5133;m/s;
"Flux Linkage D (Q axis current)";14.6032;mVs;
"Flux Linkage Q (Q axis current)";0.00403191;mVs;
"Flux linkage D (On load)";14.6047;mVs;
"Flux linkage Q (On load)";0.000103438;mVs;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.128328;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.126466;Vs/Rad;
"Stall Current";299.777;Amps;
"Stall Torque";-INF;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";1000;Hz;
"Fundamental Frequency";83.3333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
"Magnetic Axial Length (Slice4)";5.6;mm;
"Magnetic Axial Length (Slice5)";5.6;mm;

Phasor Diagram
