Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";31.49;Volts;
"Line-Line Terminal Voltage (rms)";22.14;Volts;
"Phase Terminal Voltage (peak)";17.97;Volts;
"Phase Terminal Voltage (rms)";12.78;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.164;%;
"Harmonic Distortion Phase Terminal Voltage";1.375;%;
"Back EMF Line-Line Voltage (peak)";29.43;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";29.32;Volts;
"Back EMF Phase Voltage (peak)";17;Volts;
"Back EMF Line-Line Voltage (rms)";20.73;Volts;
"Back EMF Phase Voltage (rms)";11.97;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.4378;%;
"Harmonic Distortion Back EMF Phase Voltage";0.7233;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.377;Amps;
"Line Current (peak)";12.85;Amps;
"Line Current (rms)";9.086;Amps;
"Phase Current (peak)";12.85;Amps;
"Phase Current (rms)";9.086;Amps;
"Phase Advance";0.05746;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1912;mH;
"Q Axis Inductance";0.1896;mH;
"Line-Line Inductance (DQ)";0.3808;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008066;mH;
"D Axis Phase Current (average rms)";-0.009112;Amps;
"Q Axis Phase Current (average rms)";9.086;Amps;
"Torque Constant (Kt)";0.1093;Nm/A;
"Motor Constant (Km)";0.3152;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1277;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1273;Vs/Rad;
"Electrical Constant";2.378;msec;
"Mechanical Constant";0.6822;msec;
"Electrical Loading";2.125E004;Amps/m;
"Stall Current";299.7;Amps;
"Stall Torque";32.74;Nm;
"Short Circuit Line Current (peak)";71.96;Amps;
"Short Circuit Current Density (peak)";50.76;Amps/mm©÷;
"Short Circuit Current Density (rms)";35.89;Amps/mm©÷;
"Short Circuit Braking Torque";-2.7;Nm;
"Short Circuit Max Braking Torque";-4.204;Nm;
"Short Circuit Max Braking Torque Speed";799.9;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4109;Nm;
"Average torque (virtual work)";1.4078;Nm;
"Average torque (loop torque)";1.4015;Nm;
"Torque Ripple (MsVw)";0.036973;Nm;
"Torque Ripple (MsVw) [%]";2.6336;%;
"Cogging Torque Ripple (Vw)";0.0063234;Nm;
"Speed limit for constant torque_(For Phase Advance of 0.05746 EDeg)";3436.1;rpm;
"No load speed";3588.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";323.43;Watts;
"Input Power";343.55;Watts;
"Total Losses (on load)";54.379;Watts;
"Output Power";289.17;Watts;
"Converter Efficiency";97.023;%;
"Motor Efficiency";84.171;%;
"System Efficiency";81.666;%;
"Shaft Torque";1.2552;Nm;
"Power Factor [Waveform] (lagging)";0.98843;;
"Power Factor Angle [Waveform]";8.7242;EDeg;
"Power Factor [THD]";0.98834;;
"Power Factor [Phasor] (lagging)";0.98769;;
"Power Factor Angle [Phasor]";9;EDeg;
"Load Angle [Phasor]";8.8879;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12.849;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";9.5338E-006;kg.m©÷;
"Total Inertia";0.00012842;kg.m©÷;
"Torque per rotor volume";19.395;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.5292;m/s;
"Flux Linkage D (Q axis current)";14.6401;mVs;
"Flux Linkage Q (Q axis current)";2.40741;mVs;
"Flux linkage D (On load)";14.6476;mVs;
"Flux linkage Q (On load)";2.39937;mVs;
"Torque Constant (Kt)";0.109256;Nm/A;
"Motor Constant (Km)";0.315223;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.127742;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.127258;Vs/Rad;
"Stall Current";299.674;Amps;
"Stall Torque";32.7411;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
"Magnetic Axial Length (Slice4)";5.6;mm;
