Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";31.49;Volts;
"Line-Line Terminal Voltage (rms)";22.12;Volts;
"Phase Terminal Voltage (peak)";17.94;Volts;
"Phase Terminal Voltage (rms)";12.77;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.246;%;
"Harmonic Distortion Phase Terminal Voltage";1.752;%;
"Back EMF Line-Line Voltage (peak)";29.27;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";29.25;Volts;
"Back EMF Phase Voltage (peak)";16.86;Volts;
"Back EMF Line-Line Voltage (rms)";20.69;Volts;
"Back EMF Phase Voltage (rms)";11.94;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3168;%;
"Harmonic Distortion Back EMF Phase Voltage";0.6753;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.367;Amps;
"Line Current (peak)";12.85;Amps;
"Line Current (rms)";9.086;Amps;
"Phase Current (peak)";12.85;Amps;
"Phase Current (rms)";9.086;Amps;
"Phase Advance";0.05746;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2205;mH;
"Q Axis Inductance";0.2144;mH;
"Line-Line Inductance (DQ)";0.4349;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008149;mH;
"D Axis Phase Current (average rms)";-0.009112;Amps;
"Q Axis Phase Current (average rms)";9.086;Amps;
"Torque Constant (Kt)";0.1091;Nm/A;
"Motor Constant (Km)";0.3147;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.127;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.127;Vs/Rad;
"Electrical Constant";2.715;msec;
"Mechanical Constant";0.6871;msec;
"Electrical Loading";2.125E004;Amps/m;
"Stall Current";299.6;Amps;
"Stall Torque";32.69;Nm;
"Short Circuit Line Current (peak)";62.92;Amps;
"Short Circuit Current Density (peak)";44.38;Amps/mm©÷;
"Short Circuit Current Density (rms)";31.38;Amps/mm©÷;
"Short Circuit Braking Torque";-2.065;Nm;
"Short Circuit Max Braking Torque";-3.6;Nm;
"Short Circuit Max Braking Torque Speed";693.8;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.402;Nm;
"Average torque (virtual work)";1.4019;Nm;
"Average torque (loop torque)";1.402;Nm;
"Torque Ripple (MsVw)";0.039648;Nm;
"Torque Ripple (MsVw) [%]";2.8282;%;
"Cogging Torque Ripple (Vw)";0.0097816;Nm;
"Speed limit for constant torque_(For Phase Advance of 0.05746 EDeg)";3444.8;rpm;
"No load speed";3608.1;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";322.97;Watts;
"Input Power";343.07;Watts;
"Total Losses (on load)";54.525;Watts;
"Output Power";288.55;Watts;
"Converter Efficiency";97.019;%;
"Motor Efficiency";84.107;%;
"System Efficiency";81.6;%;
"Shaft Torque";1.2525;Nm;
"Power Factor [Waveform] (lagging)";0.9851;;
"Power Factor Angle [Waveform]";9.9045;EDeg;
"Power Factor [THD]";0.98494;;
"Power Factor [Phasor] (lagging)";0.98481;;
"Power Factor Angle [Phasor]";10;EDeg;
"Load Angle [Phasor]";10.047;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12.866;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";9.5338E-006;kg.m©÷;
"Total Inertia";0.00012842;kg.m©÷;
"Torque per rotor volume";19.368;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.5292;m/s;
"Flux Linkage D (Q axis current)";14.5475;mVs;
"Flux Linkage Q (Q axis current)";2.71405;mVs;
"Flux linkage D (On load)";14.552;mVs;
"Flux linkage Q (On load)";2.71203;mVs;
"Torque Constant (Kt)";0.1091;Nm/A;
"Motor Constant (Km)";0.314744;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.127038;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.126976;Vs/Rad;
"Stall Current";299.616;Amps;
"Stall Torque";32.6883;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
"Magnetic Axial Length (Slice4)";5.6;mm;
